author,message
Sindiswa Moolman,Patiently waiting for Vytjie We dont want to listen to SABC presenters please ENCA is continuing with the live stream guys. you can go there I think Vytjie has some sort of amnesia
The Consigliere,this needs theme music...
Nduduzo Zondi,"Sanibona "we've heard those whose names are connected to state capture as per evidence thus far poor service Theressa show "discussing with Brits way forward to exploiting African resources partners for African exploitation the theme is Sello's show....vs Mentor Sello is ipantsula...checking from her posture no more with errored documentation but she just agreed...she isn't sure what she's agreeing to... sello's posture...body size...outlook=ipantsula... ...this is hard truth....compelling evidence....
AFRICA AZANIA,ndaa u miss jz dancing u
thokozani mbambo,"in the words of jacob Zuma "not really "indeed "lord are we really being lectured on Mandela by those who created and supported apartheid ? "were now being lectured on how great capitalism is "Cyril has been a naughty boy allowing land expropriation without compensation "Ganasan "indeed spave to solve it "not just punish them "ganasan "@Ganasan "@Tp "so justice must be delayed once more "@Tp "@Ganasan "@Zondi "@Jerry "@Shabalala "@Shabalalala "@Mandla "@Jery "@Justice "Avis "@MaNdlovu "@Justice "@Mandla "@Mandla "@Mandla "@Mandla "@Mandla "@Mandla "@Mandla "@Mpala "@Mandla
Trucker Trucker,"Eish "Aggg
Jeffrey Magongoe,well after disappointing submission of yesterday we here once more what now hae man channel captured now
Philani Madlala,Is this man who I don't know credible? When is Zuma explaining himself?
Nozipho Thembeka,We dnt want to watch you guys Imagine whyyyyyy Is Fikile Mbalul going to testify???? Guys come to eNca I'm switching to ENca guys byeeee
Edward Nndwamato,Thanx u is boring now she is here.she must relax poor sound please 😉😉😉😉😉 👍
Mseni Mlindeni Ndlovu,No interested in watching nina eNCA
Justice Ndlovu,tight #zymbrocacamiosis
Charles Agaba,please switch to eNCA lets all meet on eNCA see you guys😀 this is distraction morover SABC was some seconds behind
Zz,Ah! Tar Wongaz...i only write because i see you Great bro!
Frederick Monyepao,eNCA is covering it better.
Merle ORyan,thanks
Themba Meso,but also we are more interested in the enquiry. Can we please be respected
Bonani Maphini,This is sabotage "same colonizer that oppressed us for many years  back to the real business we want minister of french mirror and curry my advocate THIS COUNTRY IS SICK
Delphin kapeta,What just happen?
sizwe gwala,Why on earth are we watching Theresa May?
TP Muofhe,lets go to News24 at last call others to come back cyril is being influenced by the wind of some punks "Samuel is fine Here she is 😁😁😁😁😁 SA would be like Venezuela!!!! through poor politic decisions Venezuelans are now suffering migrating to countries like Peru Mexico just like what happened in Zim jeah but we must not misuse that democracy!!! U dnt wanna be subscribed to sanctions "Ag man this is being rejuvenated by some power hungry politicians Its better if hes stealing while improving the country not like how other African president are looting
Monique Jones,What happened to ANN7
Vuyani Kheswa,The Elite is in control now flip!!!
Tembalethu Tele,This woman came all the way from Britain to tell us about Mandela???? You must be kidding me!
R Botha,what is the real reason for her being here shes a gangster look at the chain
Angie N,Ufunani eMzansi you have all our mineral stash on your crown mos? sound quality is bad please fix
LoneSouthAfricanBear,someone shoot this chick my word biggest word salad ever
Winston Fortuin,Britain gangsta?
thompson ndlovu,that chain though
J Ganasan,May should offer white farmers political asylum cyril did the wrong thing. as bad as Mugabe samuel - don't be racist. you sad man thats one fat lady mbambo - u want to turn S Africa into another basketcase like Zim SA will be worse than Zimshitville and Venezuela mkambo - but just as corrupt cyril is a despot like Mugabe. Made millions out of government contracts. He will steal even more now as president
عبد العزيز,تبدیلی
For Ever Young,"this an opportunity to address the terms of reference and deeds of land they bought form dutch east indian company in 1814 
Samuel Makgeru,you see what whites do. if they don't want to broadcast they must leave. we want to fix our country. we don't care about the evaluation from UK. "whether we are growing or not never. I think sabc people don't take us serious when we view online. we are much serious and we want to hear every single detail. they must fix the sound. "Zuma must be imprisoned "@Nomthandazo
ntokozo mncube,so this is so called state capture...i mean really. "This whole testimony is too vague Menor is mental challenged.
BHUKULA NYEMBEZI,the correct spelling is mentoor the name is correct but the surname is spelt incorrectly i know the mentoor family from kimberly in northen cape i do not see even one indian person attending the inquiry why there are twelve official languages in sa but we are always encouraged by africans to speak english this is just a joke i agree with u jackson mpala
William Chabalala,@TP Muofhe how so?
Ntobeko Tyandela,how about we give commission chance to do their job and judge their work from their final report your sound is like you amateurs in the business but hey surely Thokozani benefited from this Gupta and Zuma corruption indlela le ayimele ngayo uba zange yenzeke pathetic? I think that word is suitable for you in this case because the corruption that Zuma and Gupta did in this country we all feel it only you don't but only here the media shem poor Thokozani
noko yamebetlwa,who is this sanction by the way why should all African countries sanction by this rubbish oversea countries ur sound is too low guys news 24 is okey they use fibre
Romeo Moyo,Sound sound please
Mogomotsi Maeco,soud please technically team address it
Netshidzivhani Mbengeni,Jaa sound is bad here
Jerry sigidane,sound is kill us....can someone try to talk with the technician so we can hear clearly.... She'must not scare'athough she looks like she's scare'Mentor plz today is your time is not like yestday....prove them wrong Thokozani....that woman she'cannot lie'she's the one who waz there'lets listen plz so we can judge the way we can as plp know how to analys....but at least the nation knows the truth
Paul K.,this woman is egocentricand i think she have desorder "no time of gossip  sabc fix the soud please "@shabalala
Mpho Tsimane,"there's only 1 thing that the sabc does very well
Tebza Tebzza,mpho u made my day nw here go gossipin u trust me dis whole commission wil b contestd at de high court wil b stuck of de roll.dis de de de nonsense
Jan Nare,Sound plz 😞
Themba Manganyi,SOund please
Avis Yetti,Zuma chonchiler-chorwaan day 5 Chris sounds like a prolonged fart This is the SABC we apologise for the break in trasmission Operation Zuma Chonchiler Chorwaan day 5 Agreed the Guptas are Chorwaans but they were aided and abetted by the Zuma Chonchilers "Ndlovu sorry Chorwaan -Hindi for thief 9.50am "Even if you fart in the water  "Foul deeds will rise though  Innocent until poven guilty Mpala Play the game not the person This is the SABC we apologise for the break in transmission Mpala-takes one to know one slalani garshler-stay well junk chair -junture ventilate-get rid of gas this is the SABC we apologise for the break in transmission You could have booked into at the Intercontinial at ORT at taxpayer expense tea and scones at my expence
Mpilwenhle Shabalala,"Obviously if you want to defend corruption "This is how she speaks "I'm also African but truth be told how did we get to this as a country?
Mandla Maluleke,"@Thokoza don't you think it's early days to call it nonsense @Thokozani actually I am "Unless you say you know for a fact that vytjie was never at Saxonworld @Thokozani I am very interested in your views because you seem to know more than what meets the eye "@Thokozani can we assume that the less complex definition given of state capture @Thokozani now a tru definition of nonsense is your last statement the question is have they have ever been charged "I am responding to your statement that they have never been foung guilty @Thokozani I will advice you that in future don't engage in debates because you don't have a brain for that you see what I am talking about "@Thokozani Zuma is on trail as we speak
Frans Bafedile,PLS CHECK YOUR SOUND PRODUCER
Chris-Mari du Preez,The sound is very annoying
I S,Try watching via eNCA Live - sound is much better than this
Thana Ndlovu,i like this woman please check sound Avis i disagree @Mbambo ...they are guilty lol Mandla @Samuel...The Guptas are the cause of this ...Not that I am defending Zuma but Guptas destroyed SA @Jackson....The tendencies of undermining woman must stop .This woman was threatened. @Macdonald... everything is important..she refused bribe. yes ..tea break please fix sound while on break @Jackson watch news more and listen yes back @Nature....yes jackson is a supporter of corruption Zuma 0. .....Mentor 50 @Jackson. .. she was offered a position but she's handling just fine @Jackson. idiot mmmhhh Guptas though. .yooh lol and Zuma Same thing happened with Makhosi..she told the truth and was released from ANC... everyone..Malema Ndlozi and many more...Are all these people lying about Zuma???? @ntokozo...i suspect Ajay must go to jail... finish im from NCA ..same problem aah Chair is wrong .. I'm glad ..they dealt with ANN7
Hlayisani Austeen Maluleke,😎
Lonwabo Sogoni,😎 This reminds me of American series
Achiever Trading,wat time has it started
Dan Bourne Yeshurun,"😂😂 ""I asked myself last night""" can we focus on the commission I wanna hear about the apartheid spies at CODESA sounds like she had one foot in and one foot out r they coming back
Jackson Mpala,"Vytji Mentor is a mental case "Vytjie Mental is a facebook politician "metal case wanted a job from msholozi but she talks too much so umsholzi never gave her the ministerial portfolio hence these lies "Gupta must have CCTV Cameras at sex world or whatever the name of the compound is "So far Mentor 0 "Mentor zero "Infact the real capture of the state was the media Mandonsela based her state capture report based on evidence from people such as this mentally disturbed magogo Mentor is a facebook blabbermouth Sello
Apiwe Xuma,waste of state money just to listen to the gossip of vytie
Lebogang Setlhaba,Is Vytjie a psychologist. How does she know Zuma emotions and feelings at tht time. Waiting patiently for EFF press conference at 12:30. Seems Muilti Choice is in hot water. He is out News24 is better in sound
Macdonald Molokwane,"what is so important about the flight times @Nomthandazo Ndlovu this information can be ventilate in a court of law @Thando Nkutha Thank s for the heads up
Sakhile Ntenga,I'm confused
Annie Robb,I believe what Vytjie Mentoor says is true but wish she had kept a detailed diary when it happened - 8 years ago is a long time i think there is enough other testimony - VM sows enough doubt i cannot remember what happened in 2010 clearly
kgomotso Manamela,00 0. " . .
Athanus Kamau,Watching this from Kenya thank you
Munyai Hector,watching this am from venda .u r wellcome people's of kenya
Shaheen Orrie,Just joined...Are they on a break?
Tony Jantjies,yes Yes define a weak testimony Wonga 😂 send a foto
Leonora Matee,"Ey Ku Rough Emzansi... State Capture
Nature Mkhatshwa,Jackson Mpala you here to defend Zuma we see you people like Jackson they need our hands to be discipline
Madiba Ndipiwe,Zuma 12 - Mentor 0
Chris Mavhina,zuma 0 Mentor 9 Zuma 0 Mentor 20
Mothapo simon Lesibana,mentor 0 zuma 9 based on the testimony of mentor i total agree with Jackson this lady doesn't make sense xem
Lonwabo Oros,zuma and his son ??????? lol unyanisile #Santjie Ntuli
peter pott,"sindiswa "women's league fill the court in Oscar's pistorius case "nkutha "this commission must just take 2 weeks. the truth can come out. follow the money I am going to the commission to assist my mom mentor
Mogau Tsetsewa,Mpala you are so in denial that Zuma and Gupta captured us. is pity they won't go to jail
Lipuo Kamele,Jackson wake and see what's going in this country haibo
zama khumalo,so the state was not captured before Zuma? 🤣🤣🤣🤣🤣🤣🤣 Jackson stop it
Pholani Ndlovu,Who knows the name of the Adv leading the evidence?
Sipho Nkawu,What is a giftfriend?
Santjie Ntuli,maimane is like a dog without a tail nd one eye nd only 3 legs hes not speaking his mind nd that makes him idiot in the public
Nhlanhla Mazibuko,There we go Ajay want to cross examine Jonas and Mentor
mz k,Anyone would like to cath me up on whats happening here??
Gambu,they are trying to Sensor Ms Mentor. we want to hear every word she speaks.
Aadil Moolla,im sure ANN7 must be streaming this as well
Anonymous Google,That explains.....they are capturing our streaming
Fils de l'homme,juge makes the sound as if he is having sex with mentors voice
Ntombentsha Mzati,What is happening now? Now we cannot here some hear sooory
siphiwe mathibela,What is wrong now? there's no sound now This inquiry is going to create a lot of Problems for our country....watch the space some of the quetions Mentor is not sure
Tlhankga Matlala,so they don't want us to hear all the testimony
Sofonia Lethuba,ANN7 would have done a better job tham this other channels but the white monopoly capital dealt with it
Thembinkosi Mengu,The Chair is breathing heavily
Tiny Nontulo,Pls share the link for the eff conf
Thobile Nxumalo,Which youtube channel please @Thando Nkutha ? "The sound is horrible
Sekgololo Johannes,is news 24 showing tye sound is horrible here
Sofia Sofia,LOL she understand Omitted but doesn't understand what understand mean ?????
Gugs Teixeira,salve galera to fazendo uma live do jogo the division no ps4 ajuda la
