author,message
Gugulethu Xhosans,"Kate Hoffmeyer: ""Chair may I say something I didnt feel their efforts. lol obfuscating at its best Cheeky Miss Kwinana is gatvool now How is it even relevant @Henrique he is going no where We are trying to milk a dead cow here @LB after this one "@Siseko you wish 
Ismail Petersen,She has to go to prison including dudu miyeni "Where is that R4 "Is her qualifications legitimate ? Or is it being fabricated. This lady is a disaster to society "Zuma is no where innocent "Dokolo what are you talking abt "Zondo is aware of everything Ndikho ypu could be right & also very arrogant like baleka as i know baleka. salute !!! Joel why dont ypu apply your mind man
Xolani J Masemula,"taking a while this "haaaibo anyone can just attend a board meeting no chair I cannot throw light "OMFW "@Christy connection dropped "Haaaaaayi bo "the question is do you know what is conflict of interest "Guys I got here late "ty @Naledi Barron "How can Ms Mbanjwa let her bury herself like this "She didnt even hear the question that time she just said ""Yes chair""" Did she just implicate hereself oh lord "Gogo stop just say your knees hurt and run "We aare Flabergasted chair GubbaFlastered "@thando cezula may he never be gusted FATCAKES 😨😨😨😨😨 "If the Fatcakes were bought from the neighbour the plane would have fallen chai Yah maybe she should have stuck with selling the Fatcakes 🤣🤣🤣 "Later she will claim insanity "But what about Atchar or uMangola gogo Chair is Flubbagasted🤣🤣🤣🤣🤣 "Chair just gave up MAAAAAAAAGWINYA🤣🤣🤣🤣🤣🤣🤣🤣 "Mr DCJ sir get yourself a bottle of Jameson its gonna be a long day "She is going outside now to sell the rest of her Magwinyas "I think I can hear her crying Gogo ate too much Magwinyas this morning you Vetcoek example🤣🤣🤣le @Salmaan Abrahams y you gotta do me like that☹☹☹ "Glistening once more "So someone actually decided that she deserved her qualification
MOLLY PHUNGULA,KANTI WHERE IS THE COMMISSION UZONDO HAS GAIN WEIGHT SINCE THIS COMMISSION HAS STARTED AIY YAZI THESE WITNESSES ARE CAPABLE OF RUNNING AWAY 🤣🤣🤣 i don't understand WHICH EVIDENCE Khaparipe papapa 🤣🤣🤣🤣🤣🤣 MR GORDON I don't remember resigning Cameraman comeon SHE IS RESPECTFUL NOW She is demonstrating ignorance uyajuluka aiy suka man 🤣🤣🤣 ZUMA ADMINISTRATION Thami Ngwenya I am enjoying her she must come back tomorrow. i am also flabbergasted ke manje 🤣🤣🤣🤣🤣 oh really chairman Ms Myeni flabbergasted and horrified 🤣🤣🤣🤣🤣🤣🤣🤣🤣 JAH NKULUNKULU WAMI JEHOVA JAYIRO ELSHADDIA I LOVE THIS COMMISSION AIY WAYIFUNDA NEYAMA ICOMMENT JESU WHERE IS MS MBANJWA
LB,SA on time as always @mvubu1234 😂 the witness and her lawyer has no clue. and these are the people that taxpayers are forking out another 10.5Billion for Pienaar that was the line of the Commission its gonna be a long afternoon for this tannie More evidence of why SAA is a mess No she's just stupid. Not drunk or high What are the chances she gets arrested this week Wow playing doff for REAL this afternoon She's defeated right now "Yup Most people know more than this 'CA' Is she expecting sympathy now ? She can F-Off she cant remember why she resigned Pravin must also come to this commission - he's also rotten please dont read it - time is precious Oh yess She had finished her looting - thats why this is a sad sad joke. These are the people the ANC put in power Pravin is the reason why we're paying SAA another 10.5 Billion Diana - yes true such an important stage in one's life and she cant remember No. Not shame. She deserves it "Hahaha no one is guilty Kate is the MVP so far in this commission Here we go - pearls of wisdom from Ms Mbanjwa A board decision in a meeting that anyone can attend Fat cakes - like Fat cats Fat Cakes - the entire NEC Here we go. She's too dumb to be a proper player. She was just a puppet who signed off whatever she was told to I could honestly do a better job than Mbanjwa Careful folks. Seems like we got some trolls with us now. Dont entertain them Ah Joel - that is such a tired argument. Dont take the bait people. Joel & Lion are trying to get a rise outve us Chair Dude Myeni must be getting excited about coming this week Chair. I want vetkoek Lion - got put on your red shirt and go push over a bin or something Just throw her in jail please. Save us the time and money please. We've got bigger fish to fry You dont know anything This woman should only be allowed to approve up to R100 She's not a CA - that is quite clear whats confusing this witness is simple questions The lawyer needs to speak up once in a while - as she admitted she gets paid for it hahah the answer cannot be yes or no She's delusional. And she's a crook flawed or frot "she's not a professional this Mbanjwa is a nasty piece of work. Useless I cant take another day of this woman tomorrow When is Dude Myeni in the seat - thats the one we need Thanks @Musa Mabunda Thanks @Gugulethu Xhosans
Rahab Takalo,Board member who interfered with operational matters in a company really 🤔🤔 is this woman a registeted CA? @FieliesSA i aggree this is shameful "Her responses are like i did it 😆😆😆😆😆make up gradually melting look at the chair pls CA mbanjwa is hibernating for now @person of interest😆😆😆😆😆 ahhh this woman is pathetic "just buying time @valencia well said yes @magesh very true evidence leader is throwing upper cut now serious 100 000 milion alleged kickback selective amnesia these SOE's were serving the master the CA does not understand the procurement rules jojo this gogo PFMA madam "she brought the CA proffesion into disrepute "lets continue pls "the more she respond @Pastor J J dont worry she is now in a dreamland shhh she is breathing thru the wound @Rdup welcome be revived😆😆😆 this woman is pathetic rolling eyes "things are heating up now gasted lol she is a lost soul indeed talk madam talk yes chair yes chair yes yes yes or no madam simple was it not alleged R100m? just read that dudu's assets and bank accounts to be freezed "corporate governance cannot be compared with raising and advising your children "shhhhhh selective amnesia listening is a skill neh yes i dont trust this memo sir yes i dont trust it ignorance at its best 😂😂😂😂😂😂😂😂😂😂😂 "flabagasted this moment really explains flabagasted "ja chair you heard her correctly baking recipe? not horrified lol but flabbagasted😆😆😆😆😆😆 this mama child and vetkoeks embarrassing no man cheeky old lady "no no no chair "u see now wa thintha abafazi evidence leader is frustrated of this woman "SAICA must redeem themself go to sleep mbanjwa @lindelwa no man zondo biased? no i disagree nonnnoo answer question pls "betrayal is you madam this is pathetic @joel aphane really @Joel aphane she is defeated now throwing tentrums she is breathing thru the wound "she is serving back to zondo "with due respect @mpho khoza lo😆😆😆😆 "@joel aphane really r you watching the same proceding as all here watching zondo is flabagasted aii mbanjwa again mbanjwa is sickening "considtency is a virtue very true she is trying to frustrate the chair mbanjwa is flabbagasted
Uno Kapitako,AWOL....
Sir Mko,Where is SABC now? Chicagooooooooo No wonder ejikeleza kangaka kukho i Chicago in the mix Best decision ever made She gets excited for the first time at 15:30 shame Fat cakes haha Ms Kwinana what was my question?? “forgoten about it ...”😂😂😂 Circus this one yoh
Person of interest,@Molly Me too! did the witness run away? @Rahab Yes ungaaz I think she's not well Concentration problem She is definitely not ok. I think she needs a medical evaluation. she looks scared Shhhh don't wake Mbanjwa Brainfog Wait for the knockout punch 👊 Very painful Maybe she is too scared to think straight Somebody change her Depends @Tebogo Just don't mention products from clicks She's too busy defending herself to be honest @Pastor 😂🤣 "Please I need a drink Nothing wrong with this woman's language and understanding. But she does blink verrrry slowly She has a thinking disorder @Musa 😂😂 I've got flabbergastritis from all the vetkoek "@Nature no ZAP 🔥 🔥 🔥 🔥 @Rasheed go home boet she's 🤪 crazy @Canis 👍🏾👍🏾👍🏾 @SABC thank you! 💜 "Ms Mbanjwa sat down a few months ago as instructed I want to be like Kate when I grow up. @Joel why are you still here? Go home to mommy Kate I love you 💕💜
elton van neel,a board member that asked for documents when it's given she still try to lie
