author,message
Joyful Technologies,"I wish all those ROTTEN TOMATOES be locked
Thulani Mgcotyelwa,kwatsha phaa
Nyasimi Geoffrey,zuma called me earlier yesterday he said he wants to testify again
Jabu Nhlanhla,mrng all no used to pay Sidney
Tee Makara,Who’s this guy? @ Phillip Cwazibe Thank you "I’m lost "@ Mbuso Ndlovu Thank you Wow!!!
Jeffrey Kangara,sad how it seems this guy was correct
Mulunghisi Mulunghisi,former NPA KWAZULU NATAL
Phillip Cwazibe,"@Tee Makara ​Who’s this guy? Mr. Sandile Nxasana @TG Swartlane ​Mxolisi not Sandile: He is Mxolisi Sandile Oliver Nxasana @makhosi nobhatyi : It is said that the rumor spread was that Mr. Nxasana would prosecute the former state president. @ Gee Peex1 ​I was very disappointed with Advocate Kate Hofmeyr on Friday....what did she do? I think she was clear and articulate. @Gee Peex1 ​@Danie Nilsen : She is the evidence leader and I think she must seek clarity and understanding with the witnesses. @Danie Nilsen Agreed with that. @ Danie Nilsen ​ Over site committees should not be constituted on the basis of majority but equal representation of all political parties. "@ Anne M. ​@Phillip Cwazibe Traditionally
TG Swartlane,Mxolisi not Sandile
jasper dougal,Mr Pretorious is not the bet Evidence Leader here and yet he gets to question the most serious people of interest "Zondo not the best Judge either  Going back over evidence already given
eva tiana,why all this
Kevin Simon,jasper dougal ​Going back over evidence already given. There's nothing wrong with making sure of the facts. Probably a pivot point in this matter. Mbuso Ndlovu ​Is Zondo not corrupt????. Do you have reasons for your suspicion? Here we go. We must amend the Constitution. Parliamentarians should be elected NOT nominated by the crooks who won the election.
Mbuso Ndlovu,Is Zondo not corrupt???? I had that some of the Judges are captuerd Gavin Watson faked his death Zuma was scared of prosecution The money is already finished Taxpayers What the point of having points
Slindile Ngcobo,@jasper dougal ....this is not a court case...it is a commission.
stanley mashaba,jst joint 🤔🤔
vincent kganyago,Zondo can actually see he doesn't need this glasses
makhosi nobhatyi,Why former President wanted Nxasana to be guilty whereas courts acquitted him not guilty no squabble I don’t understand but himself sitting with there with lot of allegations on corruption and fraud Former state president used those rumors very funny coz president had no basis to fire mr Nxasana he was desperate to find something to linked mr Nxasana guilty @ Phillip Cwazibe After this session @ Maxwell Sibiya President feels unsafe when mr Nxasana wanted to prosecute his own people who are protected Gangster state led by gangmaster mr Zuma Zuma destroys people career Tjooo because he was looking for favors if he doesn’t control you anymore then you will be axed by midnight "@ Bev Daniel I don’t have doubts about Ace Magashule He is a master @ Diwi the Doer Constitutional courts findings was in correct decisions @ Nelson Musoliwa DCJ is careful to comment on the findings but there loopholes in judgement so he will come back with findings on later stage @ Gee Peex1 yes for me that Judgement was not decided on bringing back coz he never vacate office by himself he was persuaded by the president to vacate office He was trying to buy you sir Zuma Attoneys and minister D. Mahlobo We will listen those telephone conversation right here see who lies Commission will go to investigate those conversations recording and we will hear who lied here because DCJ is looking for facts "We not just satisfy by one individual who tell us stories ANC must stop defending individuals who are accused of corruption and leave there without investing this to protect integrity of the party look here Anc is absent here @ Singi Mathebula you correct I still believe there are those who still have consciousness to lead clean government but cowards to speak out coz they will subjected as if they embarrassed party @ Danie Nilsen DCJ have sympathy for this man They must pay him back that R10 mil @ Gee Peex1 it is sad poor man never wanted to vacate his office he was forced to do so "It is so said seeing foreign shops looting Report when they done wrong n
Born free,Watson was due to answer Tax evasion questions at the commission the day after his alleged suicide. Zuma The enabler of corruption To give evidence What is going on with the tie of Adv Pretorius ? 🤣 must be the stripes Pressure from Jiba and Mwrebi No exoneration for the corrupt ANC JZ was never capable of written correspondence he does not have that level of intelligence. "This witness has already said he told Zuma ""if you want me to to resign you must pay me up till the end of my contract""" Wrong JZ just has smart lawyers.. Yes The dumbest Zondo has a voice like Barry White if he sang his words would be faster 🤣 It's just that Zondo has a very deep voice. Nothing wrong with Zondo. Exactly how long was this witness head of NPD? It sounds like this man was not employed for longer than 6 months Surely a contract of 10 years has other legal contractual terms referring to termination of employment. He did nothing wrong he was forced to leave because he was doing everything RIGHT. He was not corruptible He did not breach his contract it was Zuma and Jiba and Mrwebi Iam glad he spent the money
Maxwell Sibiya,thank you @Makhosi
watson mutanga,"The then president appointed this witness
Lebone Maine,mxasana also was personal when deciding cases as he went personally to oppose bail of the former ANC provincial chair Cde MO2C
Michael Faling,"You've got to be kidding
clive oconnell,"Zuma only loved him only short time Should be safe from looters 🔥there in Addis
fikile mbokodi,this guy is back
Lucas Marikeni,The tie of Advocate 🤣
Michael Michael,hi is Mxolisi bk tody?? ok is bcz they said will be sabc tody.thanks Geee pp Bev he will but dont think he will last for 2 hours in that chair.bcz he is a pathetic liar Singi he will have zero mark Is true Gee
Singi Mathebula,zuma is a professional liar. so bad 😱@makhosi yes Michael "i tell you people skhakhane prepared the letter on his behalf. his was to sign. zuma must go for lie detector. 😂😂😂you made my day@Diwi i am both@Gee Peex1 do you want to conduct inspection in loco? what relevance does this question has in relation to the proceedings we watching anyway?@Gee Peex1 you some times want to give an empty vessel to expose his/her stupidity@pastor j that was a setup advocate. "Eeeeh! we never had over site under Zuma's administration. there were all captured. i suspect zuma has influenced every one not to consult with his practise sorry state indeed.
Theodorah Hlatshwayo,"
Cerebis,Ex Finance Minister Nene was the guy on youtube that fell off his chair when it broke?
MasterdeepkayTV,The ruling party seems to be acting beyond the limitations of the law through bias decision making🕙
Bev Daniels,"Not seems to act "Where will Magashule appear - if he does
Legwame Matshoshane,Mr Nxasana was pushed out by the former president.
Bonolo Easy Masomeng,Did Magashule confirm to appear tomorrow??
Sindiswa Moolman,Hayibo @Bonolo Easy Masomeng. Was there a request for him come tomorrow? Or a report @Bonolo Easy Masomeng... The Commission will recommend that he be compensated for losing his practice. I can see that coming from line of questioning from the Chair
Makwa Choma,Why people blame Zuma only n not his party We are exonorating the Anc "The president said in parliament the country resources are depleted Why the media did not help the public with explaining that statement??? "Please leave ZUMA ALONE Watson the president said in parliament that the country resources are depleted "My problem is once you mention Zuma only The ANC must fall because after Ceril we have the biggest thief DD Mabuza Ceril has big skeleton with many legs not smallanyana Giant skeleton Which party is better then ANC?? or less harmful Thami no there must please lets help each other to discuss alternatives "PAC  We all agree ANC IS irreparably damaged lets use the platform to education each other as local election is coming in 2years Jabu on DA municipality level i agree 100% with YOU Jabu i think at this stage DA is better options or else the way to maputo is clear
ApmbGreatenessForecx,these governmental introverts are forsack not biding by our rules since we experdise wht is to expect off them!!!.
muabrke korma,is very nice wider to dye Addis Abba
Isaac Patsa,JZ lied again how many lies must we hear about him without any consequence
Diwi The Doer,Zuma the career killer. Real life destroyer....giggling while at it. The lie detector will break down because of overloading.
JoziTube,what's the point of this commission
Syug,If ever there was a more credible witness! Where is the “Collective “ response of the ANC? Justine of many caught as innocent victims of state capture
Paul Buchel,@Diwi The Boer 😎🤣🤣🤣
HBWorx,I'm smelling a rat here with this agent Nxasana ... 😂😂😂
Pastor J.J,@Singi Mathebula I expected you to ask the question sooner rather than later. I found the question to be very disrespectful and inappropriate. Well done @Gee Peex1 You dont seem to have the ability to shut up for a few minutes to breathe. You are a very disrespectful and despicable person. Dont force people to communicate or respond to you. I will not @Gee Peex1 I have forgiven you already because I love you
chris,no witness they will get paid buy american tax payers lol
Danie Nilsen,JZ is as stupid as a brick Judge Zondo very sharp "Judges are not auctioneers they make decicions on people agreed @Nelson Musoliwa what is the point you want to make if you have one there is no point int that point what so ever @Gee Peex1 kwaaks 43 million zar this year alone @Nelson Musoliwa a point is only vilid if both parties agree on the point does not matter if it is a slow agrrement or a fast agreement the point is both parties should agree on said point if al the captured moneys can be returned to state coffers south africa will be solvent again but as it stands now it will not happen and the commision can use some more millions and the clown are stil in the same jobs eating curry and all hey man not right man i want to sell some orange overalls man some nice big sizes and i will die a happy man Mabunda is witnes laywer i thought it was a TGIF day for her it happens yes she was but in a bit of a hurry remember it was friday lol @Phillip Cwazibe as she did hence bending over to the witness to make her self concise and clear "WHEN will we an oversite comitee on captured comitee @makhosi nobhatyi if that happens there will be no ANC party left only lonley anc voters "they did nit ""resign"" they RAN FORREST RUN""" @Gee Peex1 somehow to get a point trhough bending is allowed... i think @Gee Peex1 it should be aplied just before it can become as an sexual act or gesture depends on the gender of the witness this wiitnes is an gelden handshake wannabe i am afraid my pity for him has now turned to some what negative golden sorry a bit much of self pity flowing from him i say that as he is a legal person trained in lying for guilty persons for a fee @Gee Peex1 i fully agree on the supplelness very much so who paid him the 10 mill yes me too @Phillip Cwazibe then i nthink zuma must pay bach THE MONEY we will consult with malema on that "zuma can use some of gadaffi @Gee Peex1 i undrstand that the court ruled that way but zuma said no they must split the diffrence lol what is mrNxasane doing here did he not get enough or does he want more he alredy captured 14mill how much more does he want 10 % spot on @Gee Peex1 have not met her gf maybe i should fall in line oh sorry GIRLFRIEND how obnoxious of me apolagies and sad to say i am 65 years with a puanch but do ha a nice ponytail lol whoooo big present and supper at the ceasers palace at least 14 mill zar out of my legue lol I Am married for 43 years and also still get that sam trouble lol i had a tooth extracted this morning and did have some sympathy but now i must make my own coffee lol Graniet Park any relations ther GEE peex1 it seems i am getting lunch i smell something from the kitchen lol
Ntombekaya April,👍
Nelson Musoliwa,Gee Zondo got sharp minds but struggle to coordinates words to put matters into a clear and simple perspectives ; it take him long time to do so How did Zuma proved that Nxasana asked to be removed from office? IGee i agree with you that is why i said linguistically; in shied to say to coordinate English words; Hnery you r right Zondo is very careful and got sharp minds all i am saying is he struggle to coordinate English words to clear and simplify matters perspectively. Danie there can be a point till i make it clear and simple for you sharp and fast; not so? Dani i think u got it wrong fact is not about agreement but proven truth.
khethiwe Majozi,"You are right Danie
Masakane Dikgole,RZ is applying his mind very well for him not to be misinterpreted free advert for Adv Nxasana's practise
Henry Mayambu,My view is that justice Zondo is very careful when selecting the words to use as judge understands the meaning of words to some extent different from the ordinarily use of some of these words.
Bongani Tshabalala,"this whole country called South Africa must closed
