author,message
Sthakathi Khumalo,"Consent Sonibona later ke.. thina siziblomele noBaloyi haha Singing names haha "I just love Baloyi shame "He said "He reminds me of Hlaudi "Consent "He said "Baloyi is resolute shame "What a credible description of himself Looks like a Breathing navimeter watch hehe Breitling navimeter watch Its a pricy watch but for these skelms its nothing haha Zasha Baloyi hehe "But he is a skein "Consent He will just say let me correct you Too arrogant ukufa kwentaba - thats my letter haha memory loss - Hoffmeyer is chowing subliminaly RET - we have noted your response Baloyi!! Memory loss waya waya hehe
Vuyisile Ngesi,what happned to the sound?
Pastor J.J,Where is the SABC Tea Lady. She is the only one capable to sort this technical issues. Woza Mama Just checked. Perfect sound on the other channels like eNCA etc. @SABC Digital News .....Pleeeeeez ask the tea lady to fix the sound. @SABC Digital News ...I am sure that I read somewhere that Treasury paid you salaries last month. What now????????? Bye all... going to eNCA
Tshepo Chiloane,Volume pls
anya van loggerenberg,sound so soft!!
Zoli Mati,sound please
wendy Rosy,Please SABC TURN UP THE SOUND. Very low at present
funicanz,SOUND PLEASE "Sound is better in ENCA
Person of interest,HLLLLLAAUDIIIIII! WENA! Phone your friends there🙏 "me too
Elvis Malakoane,he is starting to speak slower
Abe London,enca is busy with 16 days guptas class they've attended to answer here it is
Papzen Feya,sound please!!!!!!! bye. enca 🚶🚶🚶🚶🚶🚶
Granit Xhaka,bbb
Reinette Raubenheimer,sound? @SABC SOUND PLEASE
Trevor Faragher,Idiots never learn to check the sound!!!!!
