author,message
evelyn mbao,Mrs Mayo mpapa
Tshaba Tjemolane,Echo Echo. Terrible sound
Elson Een Ntimba,OK
Thembelani Khonco,EchoPlz
David Nel,check out your router they will go to prison with special privileges anyway. Eg. Shabbir Sheik
Ant Duke,We’ll pay for this commission. Buy the criminals will pay nothing...
Robert Russell,@SABC Digital News .....sound level please Super Woman Kate is back @anya van loggerenberg this commission will recommend that a FORENSIC investigation be undertaken into State Capture @Sam_Q Mbanjwa .....the last I read the cost was R253 MILLION Advocate Kate Hoffmeyer is so professional and well prepared...... if ever I needed a Advocate it would be her for sure..... It's called CADRE deployment @MSG Rules but yes you are correct
phelelani mbele,gud morng everybody gud morng everybody
Clarence Mentor,Echo Its up to Who? Everything ultimately turns out white in the washing. Nothing.😁😁😁 Fruitless and Wasteful. Not within the ambit of the AG. Our Judge is already a celebrity. He does not need the extra money. Reddi Tlabi can't wait for her day in court. 😆 Yes Judge the sound is terrible.
Ibrahim Gassama,إن لي له و إن إليه راجعون.
Mbuso Ndlovu,Hello all What did i miss???😀😁😂 We need a better Judge!!!!!!!!!!!!!! Zondo is letting us down "@Mshika Mshika while this commission is being held Who is this Magogo??? Who will she expose?? Too many mistakes!!!!!! @Elvis Malakoane Assist what? We need exposure!!!! 👍👍👍👍👍👍👍👍 Zuma must come back and lie more @Kabelo Katjedi Stop being paranoid fool reasons Fool information??? DCJ Zondo 😀😁😂 @Makwa Choma it is not the ANC that is corrupt. The people in the positions of trust This Magogo is corrupt This MaMA is in trouble CIC Malema is lucky the ANC fired him otherwise he would be here testifying. 😀😁😂😂😁😀 Malema should be thanking Zuma for firing him in the ANC Can you imagine if Malema testify insulting everyone in the commission😀😁😂😂😁😀 What kind of a present is a Bible Verse?????😀😁😂😂😁😀 At least she should have brought Briyani like Hlaudi The state is still captured @Eliot Chauke ElioJonny Clerk was white but he was a part time Sangoma😀😁😂😂😁😀 He is a lair in the Making😀😁😂 Wasting time☹🙁😖😖🙁☹ Mr Time waister Baloyi😵 @Bianca Arnold Wasting time!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! @Mokoena Taylor What truth????? This is naturally born liar😀😁😂 He forgot even to buy false teeth during his time of looting😀😁😂😂😁😀 concur concur concur concur 😀😁😂😂😁😀 😁😁😂😁😁😁 Teeth must fall😀😁😂
fundile jali,this is a fruitless expenditure
