author,message
makhosi nobhatyi,😃😂😂😂 translation again 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ lies Same interpreter of yesterday Much better in tswana translation @Derick mampuru how can these guys represent us but not feeling comfortable to speak English "@Philip Cwazibe I am so surprised becoz asiwutholi umsebenzi uma siwufuna xa singakwazi uthetha English These guys holding these positions must make space for us coz something is not right here "Kolwana is back in the country @Aniceth De missamou hey I don’t think so people like these it is easy to be bribed Why do you accept ordinary people to be applied there Does something like this happen b4 or is it just something new? Why would you broke the protocol? They are all running away to the fact to jeopardize the meaningful of the report These visitors are not for president or government officials why did they allow plane to land there? @Dominic Przybylski you won’t see anything immediately give President at least two years results won’t come quickly as you here institutions was broken for corruption and fraud "@Dominic Przybylski yes was there for past 5 years "@Dominic Przybylski CR  "@ Dominic Przybylski please don’t be a opposition "Maleka "@Dominic Przybylski I understand you Anderson must account together with ambassador kolwana "@Noluthando Gosa they must know something if not tell us why did they behave like that That is how Guptas train this mafia at Saxon world don’t sign anything let someone else to sign 😂😂😃😃 I like wat I heard here Zuma compromise SA for his self enrichment and friends
stephen raubenheimer,lol
Derick Mampuru,Is he interpreting is Tswana or Zulu "okay @Phillip Cwazibe isn't he the same person "probably 🤷🏾‍♂️🤷🏾‍♂️ @Phillip Cwazibe "@Makhosi nobhatyi it's still early "@Anne M. and it's our money that's paying him "@Prudence Mokoena 😂 you're so right "in as much as he has the right to get an interpreter when are they returning?
Cassius Mngomezulu,Molweni This guys are playing here
Thami Ngwenya,kunzima Ke tsotsi ye just by looking Molly how are you Judge is taking over leading to save time Derek you starting now
Bruce Andrew,The new tactic to delay the enivitable. Tswana I don't know why South Africans put up with the nonsense that we do.
Prudence Mokoena,😂 there we go again😂😂 He looks so much like yesterday's witness😯 "No no
Zola Pinda,gives them time lokuxoka these are goverment for working there for years and conduct business in English. gvt officials they are playing games. they spoke English when allowing the Guptas to land their aircrafts.
Sinethemba Sakuba,these guys can speak English man this is Madness that's what their exactly trying to do Check the smirk on the that guys face he can hear English but cant speak hahahahahahahahha but gets commands at work in English hahahaha
Thapelo Motabogi,something is wrong here 😂😂😂😂 "these guys speaking in their language they are just wasting our time "he's not speaking setswana well 😂😂😂😂 ke o o araba ka sekgowa 😂😂😂😂 😂😂😂😂 "i said it
Petro Forsyth,Sure the judge knows Tswana
Phillip Cwazibe,Yesterday's interpreter (isiZulu) spoke poor isiZulu. @Derick Mampuru looks like. Money making? @ Derick Mampuru. It is the Tax payer. @Makosi Nobhatyi Ambassador yonke. @ Aniceth De Missamou he is much comfortable with English @ Phumla Setlhoke it does seem so. The interpreter 🚮 @ Thami Ngwenya indeed Derek Main ​@Molly Dhlamini I think so - someone who takes what does not belong to them without owners permission/consent. @ Yose Human What have we done as a nation of Zulus. Irritant is repeating what has been said in English. eh eh eh eh eh eh njalonjalo @Dominic Przybylski ​I you should not be held liable for misdeeds of past generations. Each person is liable for his/her own personal achievement motivation. "Wonder whether Guptas were not seeing themselves as State President
Anne M.,"@Thulani Bukani It makes one think @Derick Mampuru The Commission pays the interpreter @Derick Mampuru Correct @goolamv Me too. She strikes me as a no nonsense lady. @Sofia Sofia Because their request for a plane side reception was denied. @Phillip Cwazibe I think the Guptas were quite happy to sit behind JZ and others and reap the benefits of tenders and other stuff. "Acting Director General of Department of Military Veterans
Millicent Shozi,haibo im learning mzansi for sure @free man no thugs this roaming in state private jets @goolamv im proud EFF yes where is this Anderson. come answer for yourself @dominic beggars do that you must be one looking for integrity in a rubbish bin "so you think you found one for lunch im going to parktown commission of inquiry to have my share in the buffet
carnoth ngomane,"People have a right articulate themselves in a language of their comfort even some state leader do use interpreters so stop criticizing the witness "@Norman Zwane well said "@Robert Russell absolutely @Robert Russell true that but for articulation purposes he can choose the language of his comfort will the evidence be different if he was speaking in English? Lets learn to love and appreciate our languages and remember speaking english fluently doesnt mean you are intelligent @Sofia Sofia SO IT WOULDNT BE A JOKE IF HE WAS GIVING EVIDENCE IN ENGLISH "@Sofia Sofia the point is the witness chose the language of his comfort and there shoulndt be so issue with that "@Sofia Sofia no offence @Sofia unfortunately they do "@Thando Nkutha im enjoying it as well @Derek Main you are correct politicians always say what we wanna hear and do the opposite "@Thando Nkutha Talk with no action is fruitless
