author,message
Sir Gunutics,volume pliz
Timothy Madonsela,Not in sync terrible to watch
cresta mhangwana,sync it sound aint balanced
Neil Fraser,How difficult can it be to name a file correctly? Surely you arrive an hour earlier to ensure that they match? File drama continues 15 minutes in and still trying to sort out files and index You'd think by now someone would be put in charge to get it right "Thando - Sincedile Shweni
Monde Dimanda,And compile a file to be the same throughout....and this issue has been coming from longtime SABC please attend to the audio
Frik Brits,U see ....... it just gets worse 400Hz tone "#JS Bach  "#Lucky123 Thwala  "This kind of thing appens in the courts as well Im very sure "#tienienel  Chances How difficult is it so have the sound and video Synchronised ?? "#Thando Nkutha  There u go ............. video shedding again "SABC  "#Jack Sparrow  #Jack Sparrow OOhhh i see now hehehe The americans would like this joke "#Tommy Anderson  "#Bridgette Kekana  We need moderators. "#Gwanya Mandla  "#Tommy Anderson 
Media Girl Chronicles,What happened to the sound?
Epnet Streaming,Ouch ears - what is that sound?????
Yonam Daudi,what sounds are those
Carl Theunissen,Torture on a Monday morning. We are all being re-programmed by the aliens. "#fuzile dazana is that the advocate? Shame @Felix Muyoba The management of Eskom warned the government still in the time of Mbeki that they should start to build more power stations. They didn't listen. Mbeki later said government was wrong. "Have you read that article But it was the guys at Eskom who told Mbeki to to build more power stations?? It was the ANC government that didn't want to! I don't understand your bonuses story. Mabuza is happy that there are people like Felix that fall for their stories. "@Jack Sparrow I'm agreeing with you - my comment starting with ""But it was the guys"" was aimed at Felix. Can't stand DT "Electricity is rather pressing @Tommy Anderson don't start with this nonsense. Bye bye Tommy. Blocked! "Correct @Bridgette Kekana! These people can only sing one song. Bla
fuzile dazana,sound is also captured wow sound capture mampintsha is a drunken master this woman is demakar zondo s hang over this woman is always confused where is our general maleka chief mybe a church wine this woman no no no she is out of order adv maleka must come to her rescue no no no this woman i s wasting time
PETER STAFFEN,to the SABC well done morning.
Lucky123 Thwala,wemame sound disorganised all the time this adv has a problem. waisting our data. she is failing other woman lesgebengu nomlomo utshabukile.
tienienel,Sounds like the Koeberg siren! 👋👋👋 Give her a chance plz
Cebo Khumalo,Can they extend state capture to Mampintsha also😭😭
rohan barnard,Morning all! lukau must come and resurrect the files 😂😂😂 SABC is captured
