author,message
Lizette van Greunen,Where is this morning's session?
Bridgette Kekana,hi come back 783ml is a lot of money 783 chargers is murder 783ml l m so scared SA will b another ZIM if they dont go to jail we will take to the streets 783 Zuma charges is like murder not to destroy but to force CR to charge them one is Nomvula Thuli Madonsela for president white ppl are suited for that occupation Anc is the enemy of progress n development bcos of corruption so which party must we vote @ngomane l dont agree with u they hv realise their mistakes Lets us give CR a chance n l think the wrong doers hate CR Mantashe s construction compaa Mantashe s construction company built Nkandla Zuma from president to prisoner n Mandela from prisoner to president
Jane .Blamire,This morning session gone!!!! @Weird
Danie Nilsen,part 1 "it hink this nice word ""hindsight"" realy means caught out lol" part 1 will only be avaiable later today or tomorrow much x 207million eh and listen carefully point 20 cents "make no mistake we are now only looking at the ears of the hippo these people talk millions like it is bread money and sweetys for the kids we need to get rid of greedy politicians and busness to the person about land restatution the corruption bug is already there cr will do it in part on goverment and unused land but will not compramize food security to wich i agree to if anyone wants to farm help him to produce just remember all are not suited for that ocupation\ the ANC is their own opposition and enemy for the next election i have some black and indian farmer friend who are susessful in what they doand are just as frustration about land grabs as the rest of us "@Bridgette Kekana agreed "this is what they call fix the fukup and lie lie and lie never admit to anything unless the ""price is right""" "we must change to a goverment away from the colonial style the eff have no aproach what so ever self enrichment aka shivambo an co so let us leave them in political dessert time will be the healing aspect when us old timers and the jail (robben island ocupants) are gone and capasitated politicians are in gov it will happen carnoth you like to Kill boer kill the farmer aka eff some more bread and sweetys money do they blush when they talk this amounts can some one get this talking atm some strepsils for his throet chair there is no piont ty you chair very clever man free education lol i am born in NAMBIA a new state in africa so i must be indigenoeus when uncle mogabe finaly greet us as an earthling will he be given a state funaral or a porose burial "the chair does soud a bit ill he stole mostly from the poor his own people and stil does the anc locks up white woman who use the filthy K word but not a president who stole billions and sold the country for 3 silver pieces same here but still on lol i do not rant and no race remarks from us just political facts on a most boring evidence
Magda Seguin,Part 1 is on Youtube @Gabsile Siyaya...go to search and type in state capture live on sabc digital Adv Madonsela naned the document State of Capture:Secure in Comfort..it is exactly what Zuma is enjoying now Zuma is parading on Twitter and Zuma wife no 5 is uploading pics of their glamourous life on Instagram...nauseating EFF is populist....they condone the disasters like Venezuela and Zimbabwe...they Will make SA a total failed state.The promises in their manifesto are fairy tales Mantashe is wasting money...on this very YT you can explore the truth from the Venezuela people themselves "@Ben Cole I agree...Chavez nationalised everything hoping oil money will make a difference People who believe the EFF nationalisation plans should take heed Mantashe himself is caught up in state capture...it's a joke that he wants to take a 'fact finding' trip when the world knows the situation in Venezuela Venezuela is very familiar to me for personal reasons.Mantashe is wasting tax money....again Look what 'quiet diplomacy of SA did to Zimbabwe.....The ANC propped up Mugabe for more than 30 years and ignored serious human rights violations I blocked all the racists on this timeline...I ignore racist comments and block...there is too much hatred being spewed on a continuous basis on all social media platforms.Very destructive. @Mike Lock communism is a failed ideology...some people never got the memo @Cerebis thank you! I tell myself everyday that bots and trolls will not affect me but they are so insidious and prevalent.Many of them are paid by entities to further their nefarious ends. Multitasking 😄 The entire Eskom hearings here at the Commission is interconnected.Listening everyday is a spider web of I interconnection..it's only the characters that change daily What can be more important?
Gabsile Siyaya,I cant find part 1
welton paulse,they must give this guy a penalty for wasting time 783 thousand and million and hundred "@david jacobs Can we just agree that CORRUPTION is a STATE OWN ENTITY on its own "I would want the government to be criminally charged as well
david jacobs,how uch was looted to date ? much lol and 12 cents im scared the culprits wont go to jail and do what bridgette? destroy what little we have the problem is for who Susan i feel like not voting at all @Bridgette Kekana .yet he sitting comfortably in Nkandla we need to rid ourselves from ANC @Magda Seguin True looks like a neverending story @ Ben Lucky Lucky "we all belong to the land 
Lucky123 Thwala,783 = Zuma criminal charges . toe to toe. I voted for Zuma once and I regret that this bustered.
Susan Thirion,Please vote on the 8th May 2019 If we don't vote nothing is going change ANC must get oppisition
Phumlani Mhlongo,😎
Malopo Rathobela,@welton paulse 🤞
Ben Cole,CR said he will only take action against Cabinet (NEC) members once he received Zondo's report. "@John James. unfortunately @Darryl Lavis. Are we a democracy or socialist state? The power in the latter is centralised and benefits an elitist group at the expense of the majority. @Magda Seguin. Venezuela is a failed socialist state. The governing party is sending a fact finding mission to Venezuela under leadership of its Secretary General. To find out what? "@ Indoda Portuguese "Nee "Indoda "Amazed to see how the chat group quickly changes course. Ossilates between race
rallychamp1,"Easy ANC
bones0605,"Oh the confidence and the Articulation. This is another Shaun Abrahams with no credibility ""blah blah blah"" Hey John dis you watch Utube today "NO ruling party anywhere in the world
Sthakathi Khumalo,Is he still lying this comrade?? He has been talking Maleka is always smiling thixo "Manje
Sofia Sofia,@Sthakathi Khumalo lies have no end .... they only chase their own tail ! He will talk till his nonsense with his bald head and his pixie ears @Sthakathi Khumalo "Who watched this Vid ""UFS student cleaning up after EFF protesters has social media users divided""" I think humans are a disgrace !
A R,share the power give the DA then EFF next
carnoth ngomane,"The ANC will win the next election whether we like it or not with the right approach EFF could topple ANC "@Bridgette Kekana i agree with you The only reason that makes white hate Eff is because they are not scared to speak their minds and they speak for black people and they preach EQULITY in all spheres an that is a threat to wmc @ Bridgette we will give him a chance and he will be president "@ Danie i dont condone killing anyone irrespective of his or her race @ Indoda well said As long as America and Britain doesnt get to control any state sanctions will be applied "@ Indoda
Darryl Lavis,Apartheid existed because there was no democracy. That is all different now "@ Ben Cole
Joel Mzayidume,Maimane and his DA have nothing to offer the majority of South Africans. EFF will overtake them. ANC has been messing up for 25 years. ANC will win based on inertia. The ignorant masses are still in the dark so they'll vote for what they've always voted for. Enlightened ones will take their votes elsewhere "@Bridgette Kekana people will b voting for a party "@Magda Seguin the chairman of the ANC
Wildthing,Joel since when is it that a party must offer anything. its peoples tax money that pays for things. people need to learn that. you get what you put in. EFF can't offer what they don't have. jobs need to be created. exports improved. unions rights reduced or removed. Government sets the rules and should apply them. and people need to know the truth. I don't understand share the wealth of the country. I know that rather as work hard and honest that will benefit all. no free handouts. in Zuma stole from all for his and his familys gains. ha ha you dreaming. ha ha now you going after Indians think you getting blocked now bye
David David,Someone explain to me in law when person reach 55 to 60 years it's going to pension when all this toppies at AFRICAN NATIONAL CORRUPTION go there
Briony French,YUP to make sure we dont go that way
Indoda Yamaqiniso,Which way? "And who is ""we""?" Making calculations to sounds and look smart on TV. When did Venezuela became a failed state? Media has made people very stupid #SMH He's trying to send a certain perspective without having facts at hand. "One of the poorest "Their flow of economy "USA "The United States is no longer a world economic super-power "They has not been conflicts There*... "If these languages are a problem I'm no bra👙 "Just like America and many other Western nations They tried yes "They tried And the British couldn't allow you mate with their women. We also know your white tribal challenges i.e. British vs Jews vs Afrikaners vs Portuguese🤭 "Frik Do you agree that Verwoerd was the only Afrikaner leader who was no a puppet to the Zionists and Freemasons? Do you agree that Zuma actually did try to do the same for black people what Verwoerd was trying to do for Afrikaners? No free handouts because you're already flourishing in white privilege😁🤭 A white man is arrogant until he's poor and his skin go dark and dry like that of a dog. That's only when he realizes what life is worth. "Yes "If it wasn't for a black man called Khotso in the Eastern Cape It was then given to Tsafendas. Tsek wena This is not a classroom and you're not a choir conductor Why was this department employing so much Indians? They want to bug the building.
Charles Nkadimeng,GC?
Desmond Masilela,Someone has got the money. it was not miscalculated. How on earth can they miscalculate!!!! it cant be. Yes chair The man is confused I thought this venue was only for state capture?
leon darman,penalities were raised to strong arm the company to sell knowing they can reduce the penalities
Cerebis,"That's it Judge Zondo....crack the whip! This guy went for a toilet break and when he came back Me too Magda! I actually tune in to listen to the inquiry and cannot stand race baiters!
MIKE DURBAN,@ Indoda......you playing the Race Card again bra........naughty boy @Indoda.....that's China style Bra.. @Magda Seguin....Commie will always support Commie......no matter what No ethics at alll always been conflict between East and West....two totally different ideologies......true @Magda Seguin ...totally brainwashed...or totally stupid....... @Indoda Yamaqiniso ...sure can see you support Commies/socialists......rhight Bra @Indoda Yamaqiniso ....Bra......who built this City.Country..... @Indoda Yamaqiniso ...oops Sista? Forget about Commies/Socialism..........Capitalism....is the Only way to go.....it is the Lesser of All the evils......think about it....where does money come from...Capitalism...ony way...The
Canaverde2,Spot on Indoda! ele com o tempo vai derretendo e escorrendo e... Bosasa supplied the security equipment!
Frik Brits,"#Canaverde2 Ok thats even worse "#Ben Cole  "#Myka'Al Daud  "#Indoda Yamaqiniso  "#Indoda Yamaqiniso "#Indoda Yamaqiniso  "#Indoda Yamaqiniso  I must go ...... Heavy weather here. just my pc becomes a glowing ball of fire
Lihle Kunene,"Just tuned in
Jeremy D,"Hi do you have a family
marumo mashebe,"wasting state money
Anthony motshegwa,why all the people in the Parliament that can speak English very well
Felix Muyoba,how can a client offers a guarantee to a supplier? this doesnt make sense even from a layman like me he is nervous for whatever reason "@Frik Brits  at least we know that he was doing what in eskom..just preparing blank cheques to eskom suppliers
