author,message
Colin Yates,C v
Freedom now,a country in trouble!!!!!
welton paulse,"fedility @Desmond Masilela . does that not have anything to do with President Ramaphosa? "This guy looks very much like Mo Shaik SABC as always is proven to be run by Palookas this guy is trying to confuse the commission Jirre SABC making us watching this in chapters SABC is captured SABC is making us watch in SEASONS And this guy talking in circles is not helping us "@Yin Yang someone at Eskom is poking the load shedding button I am telling you guys this is ESKOM's doing Wonder if he was using hands free mode when he received the call. "Someone at Eskom has their finger on the load shedding button "@SABC Digital News like President Zuma once said these Houses and HOMESES "@Kurt Samson  "@Kurt Samson "this guy is dressed by the Guptas Where are those whatsapp messages? Why is this guy staring at the roof? someone hiding in the roof with answers @Desmond Masilela or he is saying Oh Gosh they gonna catch me out @Sofia Sofia very much true Oh crap Koko at it again "@Michael Rijsmus I said it this morning @Sofia Sofia i think its more complicated than meets the eye the Mafia that ruled ESKOM was very much strategic "Problem with corruption of this magnitude @Felix Muyoba . so you say that ALL and I mean ALL Indians are corrupt? "@Felix Muyoba biggest mistake is we tend to generalize people to quickly and for no particular proven fact
Desmond Masilela,Fidelity is the company now know as G4 @Lucky123 Thwala . Yes lucky G4s. "@welton paulse. I'm not sure Why am i getting all this advertisement Guys are you all getting advertisement? This man is trying to avoid the question. @Lucky123 Thwala. This man think his clever. Look at his eyes. Something is wrong with the proforma invoice. People looting the money and they end up changing names. "so all these people that are mentioned here @Thando Nkutha. Then the whole team must come forward to tell us what they know. Aiboo!!!! SABC please fix the problem. I keep on getting advert here. "SABC we cant keep on asking one thing all the time I cant recall This black out is still persist? SABC please @Briony French. 😂😂😂 This commission is wasting time with this guy Guys we are in the middle of discussing this guy and the commission here. So this thing of race should be stop. please. SABC i thought you sorted out this Black out during tea break. He can not recall. That is his answer. @Felix Muyoba @Peter Staffen The man can not recall anything. "@Felix Muyoba Look now @Peter Staffen . I get your point. "This is why i'm getting confuse with this guy. if he can confuse the adv You transfer the money to someone now. They tell you it need 24hrs in order to reflect to the receiver. But this one just go direct with no delay. Mine too. @Kurt Samson @Felix Muyoba. Imagine sending such a lot of money and it reflect same time. 🙆🙆🙆 He accept it was a wrong procedure but he still continue to do it. @Felix Muyoba. Now the cuts from 659 let them in trouble. This is because of greedy of human being. @Felix Muyoba. Now they must feel the heat. @Felix Muyoba. I'm sure the chair will do so. @welton paulse 😂😂😂😂😂 Maybe someone is giving him answers. @Felix Muyoba. Lets hope so because this man is trying to hide the truth. Haiiiboooo!!!! another 728m except 659m!!!! So you mean they must just leave them? with no arrest? Then what is this commission for if no arrest will be done. @welton paulse 😂😂😂 The man is scared he think they might arrest him now. He ask the question but he fail to ask why this rush rush of money transfer because that was benefiting him. @Felix Muyoba. yes the suppliers must also come forward. We cant deal with this man alone when we see his telling liar. I would rather do the right thing than do corrupt and things that will let myself in trouble one day. His trying to build his version I'm not white but i can tell that not all white ppl are racist trust me. We must understand something here. Not all white ppl are racist. and you are not born racist but you are taught to hate black ppl. therefore ppl must not mislead other ppl.
Lucky123 Thwala,g4s speak to Mic my man. this bustered thinks we are stupid yeye phendula stosti. this is a problem can't recall he he fulling the system Mara sabc. let's get warrant search for his house we will get money hiding.
Jean-Pierre Le Roux,A CA with deep pockets "@Mzalwane Mzala  "@Mzalwane Mzala 
Mzalwane Mzala,Civil servants are stealing money and you blame the ANC. Mxm He was a politician I find this funny because all the ANC haters want to pretend as if they are now dissapointed by something. You hated the ANC for all these years and that did not break it. The 'broken' ANC's definition of failure in these elections is dipping below 60%.
Derek Main,@Yin Yang True that - either that or they are dof @Mzalwane Mzala Civil servants!?! That's almost as disingenuous as saying it's individuals and not the ANC @Mzalwane Mzala The ANC can't wriggle out of there responisbility for this mess so easily @Mzalwane Mzala What find very unfunny is that the ANC voters have supported this looting of our fiscus for all the years and don't see anything wrong with it. They are all complicit And BTW I haven't always hated the ANC - it was only when it became blatantly obvious that they were in it for self-enrichment only that I started hating them. "I don't think that Indians are any more prone to corruption than anyone else. As we have seen in the last few months "@Indoda Yamaqiniso Besides executing them @Indoda Yamaqiniso Well what's the alternative - just let them get away with it? @Indoda Yamaqiniso Sounds pretty racist to me "@Indoda Yamaqiniso It's like me saying ""All blacks are criminals"" It's a generalisation and since not all blacks are criminals "You also didn't say ""some whites"" - you said ""whites"" which implies ALL whites - thus a generalisation" "Who is ""they""?" @Indoda Yamaqiniso It's quite clear that you're an out-and-out racist @Indoda Yamaqiniso Show me one statement of mine that is racist. I can show you plenty of yours that prove you are a racist I rest my case How juvenile. How old are you?
Welcome Kamogelo,tm
Willem van den Berg,nope Desmond Install Adblock Plus in browser
Noreply Internet,These adverts are killing me
Robert Russell,And the thiEEFs are in waiting for their turn to eat @John James They keep playing me adds every minute or so.... Just watch the number of people watching.... it jumps around all over the place.... SABC has started to make money from showing adverts.... but they have cocked up the setup parameters.... that's why you get black outs as well get adverts way too often.... but get used to the idea
Bongani Mpapele,Hahahaha crystal clear lie R659m is not a high amount???
thabelo justice mulokwe,"these insignificant witnesses are coming here to do one thing
Tich Ziny,cant recall how my face looked like before more like con artists Bawethu! "@Bridgette Kekana
steven chisa,hey who ever is controlling this channel I don't know when u leave u home u says u are going to work to do this this thing today is a mess sabc must be desolved is so useless to really on it
