author,message
Mkabayi kaSenzangakhona,just bring Hlaudi please. he's from Zambia.
Mutati Mpundu Tv,Wow!
Bernard Matolino,Impressive witness @jwarha21 T-shirt? @Christina Cilliers SABC shenanigans @jwarha21 Ohh its a nice one for sure "@Abel Matshidiso He is from Zambia
jwarha21,i like this t shirt @Lex Luger sorry meant shirt
Christina Cilliers,whats this about new lax? law? thank you
SGee373,🤘
Pastor J.J,@Thando Nkutha Any need for my services? @Thando Nkutha Or maybe I can consider some resurrections to appease my other friend @Gee Peex1 @Thando Nkutha Why done we recommend @Gee Peex1 to replace Julius as soon as he enters the tronk gates which seems to be coming soon. I think @Gee Peex1 will be a very suitable replacement SABC runnung low on data. Any sponsors? Just checked eNCA is a million times better with no interruptions. Bye bye. see u there
Pheladi Lamola,Some sense of humour with this guy. Thugs.
funicanz,"@Thando Nkutha 
puleng segane,ANC does not have aplan for South Afrcan
Moshoeu Mabusela,ANC is fast running out of ideas on how to run this country. Money is the cause.
Wildthing,ha ha ha what was the guys first name
TY M,no its not only yours and its annoying
Katlego Mashego,same here switching
Solly 12,Censoring
Mziwethu Ntombela,guys turn to CNA it's clear there is no cuts remember this is sabc yes switch to CNA ETv channel
Syug,CNA? Newsagent CNA?l
Mbombi,who is this guy are you guys aware that eNCA gets the state capture feed from Sabc News Channel 😃 even when you go to State Capture social pages it will give you these Sabc feed "I use to enjoy Question Time "this must leave he must leave eish I never liked this lady I rather watch Parliament proceedings than her I don't like any Sabc8 journalist 😃 she's not related I'm out of here il be back when she's done testifying. I'm going to watch Parliament let me block this Jacob Zuma first mxm
Derek Main,@Thando Nkutha I'm glad you've seen the light RE Malema. He and the EFF are fascists - the only thing we haven't seen from them YET is the goose-step. @Thami Nobela I do - they're all heroes who stood up to a madman. @Ian Sibin Sorry to read of your troubles. Stand firm.
Kacy John,..
Thapelo Mohane,Lol y
Buti Sipho,empty hall🥱
Born free,A well spoken and educated lady She is the economics editor at SABC Give the woman the power to govern this country Power to the Woman She will reject you.. Jacob.. only the dumb ones marry you. We will start with the zulus Haha Jacob I love to be a virgin 🤣👍 I live to be a virgin I am Khoisan.. Jacob. South Africa truly belongs to me because of my heritage. Jacob.. you are truly ugly to look at. Yes Jacob.. you have an ugly face.. it would Make a difference It would make a difference.. Jacoob.. if she left an impression on your face. "I don't mind the Nigerians going back.. just leave the Malawian's Okidoki. Aliens take over it is wise not to allow just anyone in to any country. Alpha and Omega 😂😂🤣🤣 Beginning and the End 🤣🤣🤣 yes it is 👍 I was born in the wild that's what makes me born free. True under a thorny bush tree @Sipho Dube.. I agree it has such an impact that many shipping companies are not wanting to do business in South Africa. South Africans don't want to work as well as foreigners and companies are sick and tired of protests. I think owning a business in this country is risky to say the least. Interesting.. conspiring against Pravin Gordhan. Gordhan had his special Investigative SARS team investigate Malemas Italian sponsor for tax evasion. Road Rage 😲 Intimidation You will need whites to design. My brothers are blood related as are my sisters. Since when do black people in SA refer to blacks from other countries as their brothers and sisters?? Yes it's horrible "It's terrifying being chased He wanted to frighten the ladies because he is an idiot. Who wants to work at the SABC??
Mkululi Mcotsho,yq0p
Claude Ntirenganya,stop genocide please
