author,message
Ali Mgcina,now you will hear the truth "ı wanna be a ""Social Facilitator"" when I grow up"
Ditaba T. V,so the Zondo commission is still on. True Molato gao boli so the Zondo commission is still on. True Molato gao boli
Lekgetho Baholo,"did I hear correctly
Inspiration Afri,??? name a place in the world where caucasians are the natives? "historically incorrect """i was never involved""" your right education wont help against sanctions how can it be soviet style when we are in a capitalist arena? name one communist programme dished out by them facts not assumptions free african trade african trade agreement is not an international trade blame capitalism for that "i live in a capitalist country  happy about? how does that correlate with capitalism economics is not capitalism """yes im sure""" thats not capitalism "who is private""" money is not capitalism deadman tell no tales
Penny Silima,Remember according to Ace Magashule there is nothing wrong to do business with the government while you're a leader or official of the state 😉
Sekgololo Johannes,Duduzane became a Billionaire while his father was in office through government tenders via the Guptas. This country is not going to heal anytime soon. The man is consuming water like a fish This witness has integrity The man conceded ...end of story Misrepresentation on steroids. Corruption is all i smell here. All these PHASE One-PHASE Two are just corruption lingo. @TheTruthShall SetYouFree u said it Mr. Sodi is looking for Harry Houdini SAPS should now be walking to Mr. Sodi and serving him with an arrest warrant. From his expensive suit he shud sleep later with some Orange overall. """i see that chair""..no more energy now. Concession speech to follow" @Thabo Mokoaleli imagine the indignity In RSA if you want BIG Money be INCOMPETENT Ace must account. he was in charge Mr. Sodi just admit that you overcharged because that was actually TUNNELLING to Ace Mr. Sodi was trained in the ANC Crookery and Corruption School Blaming the dead man AGAIN? Tenders r just issued...no competition? "South Africa can do with 15 departments
dennis oldude,Pricing is like the cost of a new car - How much will the suckers pay? never mind cost plus margin
سلیمه م,سلام اینجا کجاست؟ فارسی بلد نیستید
Hendrick Mathebula,:washhands:
hawa hawa,:yougotthis::socialdist::yougotthis::socialdist::oops::yougotthis::learning:‐
khoabane mokoena,when dis people ar going to be arrested coz the evidence is thr he was paid. a lot of money just to facilitate lol
Ruan Niemann,touched the files on their studio?
Davina Cutchall,howsbthe weather? i am confused to politics of here. according to school and tv we are somewhat civil. trying to convince me i am deaf dumb and blind. seemed very real. how come no other hairy multiple legged monsters are around need support group
Hakim Muhammad Arslan Bashir,freedom for Kashmir
