author,message
Nape Lekgothoane,"Hi Everyone Oho kea leboga wariks Joshua Borias "@dennis oldude lol hahahahah 2058🤣. @Joshua Borias I don't know how I feel about that
dennis oldude,and you think that anyone can tel the time? and the court actions will start in 2045 - or somewhere there about or one day when we have finished having tea or lunch breaks If it wasn't wearing a skirt dear Jacob wouldn't know what to do with it - And all he did was to do to the country want he should have been dong to his many wives
Joshua Borias,"""@HEY WARRA """@ DENNIS OLDUDE & NAPE LEKGOTHOANE  """ IT GUYS SORTING- OUT DE BACK-UP 1ST B4 GOING ON AIR"""
Thabiso Mahloko,at least we are back iyoo Dudu again
Riaan DW,Then probably 2058 "Probably All the money in the world to fly to EUROPE for the best medical attention. 🐘A big one Allegedly "More like "" Party Room "":goodvibes:" ANC sounds like a amazing place to work. I wonder if the ANC will properly apologize one day? @Lukas Drogba THE HOLE AFRICAN CONTINENT AND ME 😉👍🏻 Do you get fired if you don't join The corruption gang that is the ANC ? "440 Million for Cuban doctors The ANC as a company would supply inmates to all the jails around SA. @Vanessa 🤣🤣🤣 🤣🤣🤣 One would have thought that the Gang would stop after Zuma left. EFF just trying to look relevant EFF struggling with infighting ANC members must ready themselves to go 12 rounds when they pass on. 🤣🤣🤣 I love happy people "🤗Life is short @Andre Ackerman Yip The poor seems to be the most uninformed.... "Pie and coke Is there actually a party that can change things around in South Africa? Or start sending ANC officials to jail until they find the honest ones? Sounds like a Plan @Andre Gerber True @Gala "🤣🤣Out of context Paid Vacation Very interesting Heard of members paid for longer than a year to be at home?Suspended "Must be amazing working for the ANC  Imagine ANC members only got scared when Gupta's gave them a Written warning 🤣🤣 Welcome back @a b c 🤣👍🏻 🤣🤣🤣 WAR ROOM? = LOOTING MACHINE ROOM?? "The ANC has been so busy looting over the years Above the Law and people of SA "It's definitely the money's fault 🤣🤣 And that's why we are DOOMED under the ANC. 🤣🤣 Will come with red eyes Michael Angelo more likely.
Aggrey Laka,:dothefive::dothefive::dothefive::dothefive::dothefive:
Hlagala Masetlale,will Zuma and company still be alive by then? i hope they will not be fighting for stay of prosecution if that's the case then it will go beyond Thalente represented Duduzane his father is probably they have wanted to launch a joint venture of corruption he is throwing Zuma under the bus who was taking the minutes?can the commission have access to them?i don't zuma will remember this the tsotsi is working very hard the meeting was like a cabinet briefing niehaus must be mention along the tsotsis akhonamandla Carl is likely to have an official state funeral if Ace is the president @akhonamandla remember he will be having 3 days experience who is this jabu?isn't this guy from vembhe in Limpopo? @thapelo they will remember everything. Don't forget that the trial date is 2058 so the actual chairperson of eskom was dudu myeni @Tlou they must absorb all investigators and advocates of the commission into the NPA maybe some prosecution will take place. I recommend Hofmeyer to be its director "@LadyT a meeting was scheduled at the president 's residents to discuss the removal of three eskom executives @Thobani myeni 's son thalente was was @@Thobani governance and appointments of ministers is
Lethabo Maesela,zuma is a criminal. wow
Norman Krakra,Howizt Carmen "Duduzane was given the mandate by his dad These are the people who worked together in order to destroy any trail of where the huge amounts were planted If one follows this commission it`s more about making a collection of all the money launderers and thieves. In due course will they all be stashed in jail (hopefully). Law students pls take notes "Zuma never remembers anything Spot on Deon A big one Ettiene Riaan that`s an Elephant:elbowcough: :elbowcough::elbowcough::elbowcough::elbowcough: "Madiba Mbuso we are in deep trouble today due to short memory (rather selective).....no point in condoning it.... "If you follow this whole commission Lucky for those who left the rest of the country poor Mbuso "Akhomandla he did so to refrain from stealing from Government... "Mbuso....it might have been the reason Decomposition of their secrets Mbuso.......it`s beginning to smell/odour "It is however a shame how these guys conducted themselves.... "Carl is too old to get any position "If we follow the trend VBS is next....that`s why some individuals are not cutting their hair no more Tlou....Zuma is questionable indeed...... Tsotsi don`t even know the AGENDA Every meeting obviously gets served (MEMO) with an agenda.. "My head is bold chair "Annie Zondo is spot on Indeed Annie...more especially when you have limited DATA (lol) "Kyle...manners pls.... Vannessa Annie is in the rural areas "Very Dry for now Ghost...spot on Seelan......check it tomorrow
Phillip Cwazibe,Dudu Myeni?????
Carmen James,Hi @Norman Krakra Dudu and Thalente Myeni!!!!!! Why was Dudu Myeni at the meeting? What was her role at Eskom? So what does the Chair of SAA have to do with Eskom??? @Norman Krakra Dudu Myeni messed up SAA and Eskom by the looks of it Zuma and Myeni .......deep poison yup @ma baker Ms Myeni is the FIXER
Akhonamandla Gala,why was Talent at that meeting? but Duduzane is nothing at Eskom lol "one thing shame about Mr Tsotsi Krakra unyanisile "lol he even remember all the names is Zuma entangling Myeni? lol @Kids @Krakra why mention Carl Neuhause in the whatsapp group of Madiba? @Hlagala indeed Carl is a Tsotsi Carl even faked his mother's death @Krakra😂 "@Hlagala 😂😎 Category A State funeral for Carl @Hlagala Des van Rooyen will be our finance minister at that time @Krakra you know mos our movement doesn't really believe in youth advancement "@Behind 😂😂 @Pillay ANC can't pay it's salaries but you guys still want to apply....... lol go ahead on the other hand it is not easy to believe someone named Tsotsi Ms Myeni was the Mistress of this country during the 9 wasted years. history will judge her harshly i Zumas case postponed to 8 Dec "Mr Tsotsi 'there's a Zulu word EFF thugs are harassing journalists now! those guys likes attention "lol @Krakra that's what I've noticed @Thobani there is a possibility that maybe Dudu and Talent were staying with uBaba lol "let's go up to 5 o'clock @Thobani you like to throw 'wow' waya waya in your vocabulary neh:elbowcough: "@Thobani Zuma and the Premier league were running the affairs of the ANC "@Thobani from now on you are Mr Wow 😂 "@Yolo hahahaha howzit? no go home "@Thobani i was wondering the same thing 😂😂😂😂 it is very strange Mr Zondo when Ms Myeni chairs Eskom board with her son Talent in Zumas residence in Durban...... "@ William @Riaan from 2007 there was no plan. they compiled a vision and called it a national development plan under ANC government this country was leading the African economy and no ones was complaining Tsotsi looks exactly like guilty Bill Cosby when he's looking up @Ndumhie 😂
Mongezi Mati,interesting
ma baker,dudu involved in Eskom???? you're not sitting. chair you can finalise your report. you and we have heard enough.
Noah Kids,Yes its a serious entanglement
