author,message
Fred Desrosiers,"please people peacefully. looting defeats the purpose it has started on the other channel Are there not competitors to Clic? support business where we feel welcome better if we create our own businesses and employ people. "Start your own business today "The black community of South Africa has the most purchasing power "I am beginning to think that no one is going to be punished for the billions that were mismanaged He is struggling.. This is getting confusing. the list was supposedly 'imposed' by the minister when he is Chairman of the Board. no COB would have allowed that ok. now he is telling the truth
Luyanda Qokama,Mr Zondo you're late let me go check that other channel
Sal SA,Late start is normal but as long as we making progress:goodvibes: It's a long walk to freedom guys:goodvibes: Housekeeping!
Chris Vas,DCJ timekeeping
Richard Korver,"his alarm clock was ""loadshedded""😄😄😄"
Joe Lekalakala,what are we still waiting for?
John Spendpenny,"Boycotting is one thing
Jan Smith,boycot clicks who employs 80% black can be negatively effected makes no sense. Who will support them if they loose jobs or pay. Definitely not those calling for boycot of blackmanaged company
James Godloza Godloza,morning every one
Thobani Mkananda,It's only Fikile Mbalula who testified before the commission without a shirt and tie 🤣😂 @James Godloza Godloza Splendid morning to you too @Salome Seabe we are happy that you've repented. We hope you'll be able to influence repentance of many ANC voters. Power to you 😃✊🏽 It would be nice to read about the life of the guptas hey 🤔 "@Akhonamandla Gala "@Akhonamandla @Akhonamandla 😂🤣 Eish ja neh @Akhonamandla 'Ja neh' stands in the stead of 'wow' today 🤣😂😅 @Akhonamandla How much say do we actually hold on how they choose their actors and paint the story? 🤣 He'd fit to play that part but I never heard him speak English on set @Akhonamandla Thabo Mbeki shied away from the apartheid prosecutions and in my view he gave a safe space for many evils that we're suffering in the present day "This is an opportune time for an excerpt of the recordings of the ""robust"" engagement of the board🤔" There we go again with the signal problems
Zodwa Dlamini,mximu I dont want to listen to this 2 old people waste of time
Akhonamandla Gala,"Fikile likes to think he is a national hero "@Shange @Thabo don't forget Zuma @Garth lol true @Garth Nomvula will also blame Watson since he knows he's no more "if nothing will happen from this commission's report @Thobani i believe in future they will make blockbuster movies about these stories we are hearing here.... Guptas will have their movie as well. its a matter of time "@Thobani they will do a thorough research and all "lol but i didn't promote nationalization.... i believe our constitution is fine the way it is "lol @Thobani the film industry @Thobani i just hope they will use our south African actors in those movies instead of abo Danzel. we want magubane to act Zumas role @Thobani aka Mr Wow also known as Mr Jah neh @Bongiwe i agree the Chair haven't gathered all the facts yet so how does he know who is guilty? Mbeki was trying his best
Mfundo,Does anybody know who is representing/legal team Mr Zola Tsotsi?
