author,message
Bridgette Kekana,yes Madelein when are they coming bacl
Madelein R,I think just after 2 @Anne M. - I also agree. Then you can go out and listen Done for today? "I have checked on Builder's website. A LED light cost between R200 and R900 - Why are we hearing about lights "@Derek Main  "Tata @Andrew Mboweni - I believe the Apartheid Government also stole money. They were never found out
Wildthing,quarter past higher up the chain stopped them to do it at X time. who told him not to go on that day as dull as it is what's been proven here for the judge to take away was that Boasasa had connections all over and it what all the way to the top.
Desmond Masilela,Boring state capture ever @Felix Muyoba. Eyi I dont know this kant SABC is sabotaging us now. SABC please read our comments @Poland Man. I guess is april fool this guy looks familiar hey?? Who is this guy I can remember this guy he testify some time. Who is Mr Le Roux? @Cameron Kim . Thank you Cameron @Ewald Kruger. Ohhhhh...... Now I understand thank you very much Is there no way we can see the electric fence from the photo? How much those LED light cost?
Felix Muyoba,who is the idiot on the witness stand? @John Fagan how is he a liar? "for example @Myka'Al Daud haha @makhosi nobhatyi haha..dont judge the book by its cover..the guy is deadly!! @makhosi nobhatyi agrizzi was a crook turned witness not an investigator.. @Wallace Mandimutsira he is an investigator and he is serious..no jokes! @Cameron Kim no man..please respect other peopless culture..lobola is not tribal.. @Diana Sekatane that was dumb of him..how can a party be bigger than a country? @Diana Sekatane unless duduzane is bigger than him..
Phillip Matlou,there is no idiot on the stand
Thapelo Motabogi,"the volume guy has started and i said it this morning always "i don't think so "you know nice free food makes you lazy "now is the video guy
Anne M.,@Thapelo Motabogi I have also noticed that the volume is lower after lunch. Maybe it's a different sound guy after lunch? @SABC Digital News Please increase the volume @Thapelo Motabogi 😂 @Danie Nilsen It would have been nice if this was broadcast live on one of the national radio stations so that more people could hear what happened. @KEITH SINDILE DINABANTU This advocate has a sharp brain and would be wasted doing filing
Danie Nilsen,why do we just listen and take note what is happening to our country due to absolute greed from all stake holders maybe we can bilateraly get a salution to this puke that is ocuring plz yes i agree with you Anne but at least some of us are getting it it 770 watching now it is ridiculas then flip the remote and watch muvango stop moaning pleaze "the witness are just stating facts as much as he want to he can not speculate that is just what the chair is sayinf now this is a purpose fully sound and visual atack by some guilty persons and realy succeeding mabe the same that have sanitizes the servers remember that it takes 2 to tango on one side goverment or indaviduals there of and on the other side public entreprizes ie bossasa and the rest of them "i wonder if some of them will be coming to blow the bugle or trompet or trombone but a whisle no no way to small i want to hear it fkn loud and clearand do not forget ""TUMA MINA"" what a jole" agreed the buffalo man must take his little buffalo to the police station after this show this is a thought that enters my mind why now close to elections this corruppt pie is on the table and at the same time in the media the use of the eff and blf radical threats against a certian race group is it an tactic to divert ettenion away from the corrupt officials no it is not ok to take corupted money from corupted people even if it does not mean you are not corupted it makes you an ascccary to the fact the learning shcool of coruption is china not part as in taking envalopes but in the know what is going on in that nest he must have known "we need a instatution where we can the voters nominate our party how much could have been done with all this moneys that was paid over house cars holidays shusi on flat tummys and at that time juju was stil anc and LOVING SHUSI YES SHE IS AND MARRIED BEHAVE RESPECTFUK TOWAEDS HER WITH YOUR COMMENTS sorry caps meant to write it like that RESPECTFUL SORRY FOR THE WEONG SPELLING SHARING THE LAND CAN BE A NEW chapter of the start of a new dawn of land coruption if you look at the key players so no let the constitution speak for us through the concourt and heh heh zuma and his siblinng dudu well i think both will soon dudu on polsmoorm zuma senior can at least teach junior the tricks due to he has done a aprenticeship already that smile will soon be gone lol chair speak close to the mike no plz then we will have to be in haevan there it does not happen only place wher it does not happen arrest in bossasa has taken placwe 7 of them and then some assasins at least 1 has also taken place in kzn more to come there re a lotr of dead men walking kwaaks yes bossasa card or envalope plent much bigger no tax talk to the fkn mike ha it was given on a plate for the anc knowing already what everybody knows now no suprizes here now the dealer are as guilty s the receiver lol sars included we ha guptas as foriegn ministers and minin g ministers and sabs oficials and saa excecatives now it is bossasa i wonder who is next do not keep it for yourself go and tell the chair who and how much plz go and embarras yourself verwoerds policy failed what he left behind for the country to be useds was wasted in 24 years sis man it took the calonials hundred years to build yhe best country in africa and the anc came and fkd who is this chap a gate guard who saw or think he saw or did not see or know he did not see and he just nwant to be on tv...look mama i am on tv yea yebo yes plz inform me "[s the chinese a funny type of pink looking mlungu and the rulers are afraid of them because of all the money they ""owe"" the funny looking mlungus" "thet were caught and secerd jail time ministers and depetys but in the major leauge the anc does it look they are pro his people are hungry he buy.s a buffalo his people are asking an increase in pay quite high but high enough to die ? his peop[le are mentilly ill and cost to much for ezidemeni so they are to die
John Fagan,LIAR I just feel ...When you do a Raid...You do .i...I Think he is protecting some one I think I am Just irritated So who died
Nelson Musoliwa,Sound is very poor guys and is boring At a crucial moment as one would like to know how on earth someone tells the SIU of their pending search on them; state capture makoya here As tax payers we are the sponsors of this commission and u are depriving us to witness this process now it is unfair Zondo is right about privacy but are investigators not equipped with the legal authority to do as the guy did
Willem Kotze,this is not the truth as a expert the software and tools is available to anneliese the systems emedif
Born free,WHAT Happened to the element of surprise? this is strange probably already compromised. Airing on the same channel as Sponge Bob Square Pants State Capture is supposed to be finalised by May? It is more likely to be an ANC ploy to win the election and then the State will be captured once again by more corruption. Bosasa paid cash bribes Was Oellerman paid a cash bribe.. possibly Wow and yet these Investigators did nothing more afterall this corruption effected the entire country for a either 19 years!? for another 10 years these blatant criminal activities Carried on regardless of this Investigation.. very odd!
Thulani Bukani,Eish my ears bra
Richardt Human,This guy and the SIU was led by the nose all the way Bring in the SIU experts Gavin Watson and Aggrizi to clever for them. But they had inside government assistance all the time. "These guys are all so afraid to do the jobs that they get paid for @derek main absolutely EFF and BLF are both fronts for the ANC. There job is to see to what extent they can stir and then the ANC comes afterwards and either support or reject. All the focus is now on Bosasa. What happened to the Guptas?
Wallace Mandimutsira,wat now sabc sabc is captured "banking details for who now  that is correct
Frik Brits,Video shedding !! Ground control to Major Tom !!! Should we not hear what is being said now or what ?? "@SABC Digital News 
lucky Molepo,@SABC Digital News come in perhaps is raining in Jozi am here at the Capital of SA Pretoria
