author,message
Desmond Masilela,Guys we live. This guy was running almost 3 power station. I want to understand why? @Epnet Streaming. No mine is okay @Epnet Streaming . Could be your earphone if you are using earphone. @Musa Bakiti . Do you think so? on a hangover day?😂😂😂 @Eslon Eslon. Im clueless. sorry man Skelm @Felix Muyoba. Mr Opermann "SABC please take us live Sound please You must know. He was being handle with a remote control. He must just tell us everything The lady is well organize @Frik Brits. 😂😂😂 @Frik Brits. I be leave that would help. @Thando Nkutha. You right Thando we like more meat that bones. Now his contradicting himself. With English @Thando Nkutha. We need to physical see the mean. Not to assume maybe there's meat or not. @Talent P Sibisi. Why is it sad? His trying hard to be clean His got no answer At some point Im going to block ppl entertaining Yose. @Frik Brits . No Frik I'm just going to block someone here who keep on entertaining Yose. The guy is full of Racist that is the reason i blocked him long ago. @Frik Brits. I just dont want to see this comment of ppl commenting on Yose comment. @Frik Brits. Thank you for that. 😂😂😂 I wonder whose next? @Frik Brits. You know how SABC work they dont respond to our request. @Neil Fraser. 😂😂😂😂 "@Frik Brits. Yes its boring. I see Thando is also quite today @Frik Brits 😂😂😂 People @Felix Muyoba. 😂😂😂😂 @Yin Yang. You need to understand something here. In SA we had 2 education. There was a Bantu education and also education for white ppl.
P V,cool
Makwa Choma,African national corruption Now the very same ANC who destroyed Eskom want us to believe they can fix it Who is going to vote for thieves Proudly so
Joel Mzayidume,Gauteng whites seem to think Ramaphosa is Obama. He is not independent of the collectively corrupt ANC @Kgalemang Makgone you've been traumatised seek help @Yose Human Bosasa funded NDZ. Satisfied?
Epnet Streaming,Is your sound funny or is it me? Thanks Buddy then it must be me hehe
Musa Bakiti,Mr Opperman it's Monday hope you are going to recall more answers. Standard bank is selecting the best lairs to come and twist the truth. Chairperson Zondo leave this people alone it's a fight between afrikaaner and english lady.Let's see who is dom Kariam Brown must testified why she hate EFF and JUJU @Slindile Ngcobo Who payed Karima Brown to attack EFF Karima Brown is too old for Juju let her pick her own age like IFP leader. @Michael Michael You can have her yourself.imagine Karima Michael Michael😂😂😂 Men in RSA respect women and women in South Africa are well protected .Go to India and Arab countries and by yourself @Magda Seguin Don't go where? EFF✊ Chair it's tea time now I Like Agrizzi because he is not Afrikaaner Drought in South Africa won't go away till the land is in the black hands.The spirit of africans are not happy and afrikaaners let go of the land I believe in black magic and i pray to take the land out of afrikaaners Adv Maleka commission is missing you. @Derek Main i ll die for EFF AWB give up Terre Branch is not coming back only Jesus is. Miss Mayer is boring bring Karima Brown please She had a boyfriend at eskom "If a woman tell you she is going to leave you for what ever reason  i am scared may be the devil is waiting for me somewhere. EFF is the new Pan Afrikanist
Sipho,This guy must finish his evidence we r tired of his face here
Eslon Eslon,Anybody know when is standard bank transactions testimony presented here? inquiry became boring after Agrizzi bombshells "@Afr24News Channel "@Afr24News Channel State security agency report is out. apparently JZ use SSA to fight his political battle "eff are bunch of political hooligans. They are battalions of anarchists "Eff are political hooligans Maleka must come for the Standard bank transactions evidence presentation
Bones,morning all. Is this guy a witness or a skelm thanks..haven't watch in a while and trying to catch up klink so yeah.i vote that they bring agrizzi back ....at least just for a guest appearance
Jona Khomo,.
