author,message
SanFran Arnold,And we back That was the 2nd call chair @Naledi Barron welcome back Lady N They called him no.1 chair @Naledi Barron they seem to pop up so now and then lol 😉 "@Naledi Barron indeed "@Sanjay Maharaj former General Manager @Naledi Barron always a pleasure hun. hehehe @Naledi Barron unlike the fruitless and wasteful expenditure from so many government depts. @Naledi Barron Its just wrong. You give the right way forward's but not agreed to because it does not fit politics. "@Sanjay Maharaj agreed @Mr K Lakhan ʕ•ᴥ•ʔ hi "@Mzalwane Mzala have they denied bail yet The state said that he did not disclose his Italian passport and that he had made deposits into an off-shore account. @Mzalwane Mzala thanks "DCJ needs to connect the dots and the dots are not always the ""big shows""" "Yes chair Pelosi is the worst thing that happened to the democrats. Yes Adv. Myburg!!! "@wim louw he came out as a crook "They must take his passport and list him at all ports of exit as a person involved in fraud. His testimony still stands and he has proof "Trump has stolen nothing @Naledi Barron beautifully done @Herb Tuck He deferred his losses against his profits and that being a democratic law he only had to pay the difference. Its USA tax laws fight with them. You get assessed and they give you the bill. Its to left up to you. "@Aubrey De Bliquy indeed Just because you perceive his richness doesn't mean it always is ill gotten gains. Yes DCJ show him what you think of his ethics as a lawyer yourself..... second highest in the land @Val Speirs indeed tax abatements "@Joan Lombard yes @Naledi Barron always a pleasure @Joan Lombard always a pleasure "But you saw that Well done ADV> MYBURGH!!!!! So I out it to you - it was a contradiction and you know it *put "@Lethabo Maesela yes @Yolo More I think the new advocate is enjoying his time....😁😁😁 @Yolo More 😆😆 "Adv. Myburgh is one of the best Labour lawyers Yes Adv. Myburgh.......slay @Yolo More I am beyond pleased. They got this. 👏👏👏
Yolo More,Yeah @Naledi Barron 🤗😘 🤣 seems there was a little bit of incompetence Ahaa! Where did Zondo get these evidence leaders?😊 Amper NDPP It's getting hotter @SanFran Arnold I have always been concerned about Eskom and Transnet streams evidence leading but with Seleka and Mybhurg I am over the moon Just admit Mapoma @Rox Notshe is tops now. Advocate Hulley?🤦‍♀️ If we have Seleka and Myburgh what is Vincent Maleka for😏 """we dont know""🙄" "@GB Lynne Brown and Gigabyte will face Myburgh "@GB yes Mr K Lakhan must fall Close this issue Myburgh SC before he cries Ahaa! @Rox he was a Zuma person "@mandla tshabalala its Advocate Soni for Prasa @Jenny Whitewaves 😂thats exactly what I say earlier @GB Montana is Prasa "@mandla tshabalala relax @Jenny Whitewaves 😄 @Lennox Rashopola ANC University @Rox 🤣 Advocate Mapoma was scared of higher up/no1 No re-examination?
Diketso Moyo,We are back from lunch
Naledi Barron,Heya Lady B And sweet @Yolo More Am looking out for goats.... "@Sanjay Maharaj I think that originally "@SanFran Arnold Ever heard of the fairground game ""Whack a Mole""?" Dat's my Lady B!!!!!! @Sanjay Maharaj Quite correct! Pity that this honorific has been denigrated in modern society. Dankie Lady B Info Ninja!! "@SanFran Arnold And even more obscene is the fact that there were people like me @SanFran Arnold I gave my country my heart and soul i.t.o my expertise & experience. Retired now. I couldn't handle it any more. @Mzalwane Mzala Oh excellent news TY!! It's ok @Mr K Lakhan ʕ•ᴥ•ʔ We see you. "@Sabelo Nxumalo It's all about building blocks @SanFran Arnold Exactly Lady B! @Sabelo Nxumalo That's ok. Just tune in some other time down the line perhaps? "@Sekgololo Johannes @Sanjay Maharaj I'm very well caught up. No need to attempt any insults here! "@Joan Lombard Yes "@Mr K Lakhan ʕ•ᴥ•ʔ When anyone says ""YOU people"" @Absolom Nhorito Amen to that! @SanFran Arnold Do you smell a goat too? "@Mr K Lakhan ʕ•ᴥ•ʔ a.k.a. Goat @SanFran Arnold Done! @SanFran Arnold TY. "@Teunis van Ree Lesser of the 2 evils I expect. After all "@Pastor J.J Already done @leon pillay Really? And your point is.......?? @Joan Lombard I'm not too sure. I'm sure someone in this esteemed forum can clarify.. "@Rox Agree. It's SO critical to stick to the core "Whatever the case @Mondli Mncibi Are you capble of intelligible speech ? Oops! Apologies for my typo. Meant *capable. "@Simmy Ndlovu TY!! I get so involved @Simmy Ndlovu I greatly appreciate your understanding!! TY. And MWAH! @Simmy Ndlovu xx @Sipho Nongalo Molo friend. I embrace you! Oh @Simmy Ndlovu I pray that this is the case! It's been too long. I remember how much Brett Kebble and his mafia got away with!!! ..........I'm stil parked on the fence here with this witness "@Simmy Ndlovu I believe in our people @Person of interest Yes!! Very sharp - cuts through the you-know-what!! Refreshing! "@Person of interest Yes "@Simmy Ndlovu We are warriors "@Eddie Reddy Yes Viva Advocate Myburgh Viva!! @Eddie Reddy Agreed! I blew the whistle a number of time. Guess who got shafted????? "@Joan Lombard Was a strange @johannes mailula True! "@Eddie Reddy Yes "I feel that many of us here want the polite @Andy Cute little Duduzane is one of those I want the MOST!!! Ai Ai Ai DCJ!! @GB Agree!!!!!! @Heather Durr Very true. A long-standing piece of wisdom.
Promod Rabha,:stayhome::thanksdoc:
Sanjay Maharaj,I have found that with ZA black Africans the boss is always referred to as no.1. was not sure where that originated. now I know. who is this witness? "@SanFran "if I was 2IC to the boss "@mzawalane "@Mzalwane is an Italian still holds an Italian passport. ZA recognizes dual citizenship. only one with dual citizenship is not allowed to vote in ZA "Bank of a America is owned by Italians. ever why a slanted font is called ""italics""?" "@sekgololo "@Naledi "@Mzalwane "@wim "@Herb "@brwdley "@jabu "@makhosi "@Rox "@ntsapho "@paul getting caught this stupidly in a lie. I have not witnessed this before "@lethabo "@jahannes corrupt okes are useless. especially when your profession is that of guard at the gate "@John "@tay "@ntsikelelo this is why gov had to go to the private sector for the new CE. these buffoons are all that was available for Eskom "@Mr K
Blake Yogi,Very strange chair @Naledi I agree. 🤣🤣🤣 Are you sure you are being coy here:elbowcough::elbowcough::elbowcough: "Come on through Dammit this adv dont take ish
Sudhir Hira,This witness was interviewed for NPA head
Tumi Sereme,Dumelang bagaetsho
dominic mabe,@tumi dumela 🙏
Alfred Stango,this witness thought 🙄 @sabeliwe this guy was a puppet
Sabeliwe Mavundla,Alfred 🤣🤣🤣🤣🤣🤣🤣
Mzalwane Mzala,The state opposes bail for Agrizzi @Sanjay Maharaj Agrizzi did not declare assets that are valued in Millions and some of these are in foreign countries. Agrizzi handed over to the state a South African passport in his first case but did not reveal that he is also a holder of an Italian passport. The decision on the bail has not been made yet. He recently transferred about 11 Million Rands to Italy. I am still questioning why was Agrizzi allowed to auction his house last week. @Sekgololo Johannes MTN also sold BEE shares to ordinary black people I still hold Sasol BEE shares that were sold to ordinary black people I agree @wim louw Agrizzi is a flight-risk. The case of the VBS CFO is a stark reminder that state witness can be given a custodial sentence. Agrizzi knows this. Trump's victory in 2016 is another reminder that people vote in elections based on a variety of reasons. I find it strange when some in South Africa expect us to vote based only on what they hold dear
