author,message
Blake Yogi,Adv Siyabulela Mapoma Transnet vibes who is this evidence leader? "@Andy Sounds like he already choking on his own lies She laughed. oh woe Guys who can spell out that legal term? "Ask your ask "@fuzile He needs time. You never know what info he can extract. Let him have it🤸‍♂️🤸‍♂️🤸‍♂️ Dodgy wodgy😶😶😶 It already sounds like he is setting up a trap and a half Ayeye😱 Thats very strange:elbowcough::elbowcough::elbowcough: A Mistake???🥵🥵🥵 The instruction that was there:elbowcough::elbowcough::elbowcough: For the sake of completeness:elbowcough:
Johana Pietersen,.
Collier Marimba,RSAis going down the Zimbabwe way. Politicians gets the general public emotional to get a chance to loot. Shame!
Heather Durr,Who is this man Hofmeyer's Husband? @Andy Ahhhhhh always nice to have a fresh face to entertain us @Norman Mohakala I think Hofmeyer's husband must be a man of intellect and very secure in himself to have such a successful and outspoken wife "And Christopher Todd "HeHe These boilerplate clauses are the ones that fry you "@SanFran Arnold DCJ likes them to talk rather than read. It is easier to catch them . Hofmeyer and Seleka never read @Val Speirs MI6 as in James Bond (let me not start with my #conspiracytheories) "Covid has devastated sport.I am a tennis fanatic @Naledi Barron On 16 November there will still be court cases/civil war deciding who won the US election. And that will affect the global economy @H A L O A You read Freud??? DCJ is ALWAYS in a hurry to get to lunch
Andy,"@Heather he is one of the many legal minds we have in this country I must say whoever appointed these evidence leaders was very sober and picked the very fine and best this country has I expect this witness to be honest considering what is at stake for him as a legal person should he give false evidence under oath. "Yolo and Tshepo behave he has that Barry White 'how do you do my darling' kinda voice "someone must encourage these evidence leaders to come together and write a book about their experience at this commission @Yolo you killed me ooo okay now I hear you Zuma won't come to the commission he is book off sick for that week already. Brian Molefe will come testify and to top it all he'll simply cry to drive his innocence home read the amounts I want to hear how much of my tax was used
Norman Mohakala,Heather.. you sure his her husband
Joan De Beer,who is the Council for state
Mntase,Agree with Andy. I love these evidence leaders
MUSA HLUNGWANI,Who’s here today?
Anovuyo Cebe,Goodmorning everyone...... @SanFran Arnold Thank you
SanFran Arnold,"@MUSA HLUNGWANI @Anovuyo Cebe Transnet related testimony from the former General Manager @Anovuyo Cebe always a pleasure @Heather Durr yes thanks him too This is Adv. Anton Myburgh SC The evidence leader The evidence leader is Adv. Anton Myburgh SC @Immanuel you are welcome my dear friend @Antoinette Meyer he was head of legal at Transnet "@Maxwell Sibiya He has stopped working for the commission @Yolo More I saw that too.....lol😅😅 "@Naledi Barron Lady N @Chris van der Walt always a pleasure "@Khanyi. AgeGracefully My Lady K @Rox It is Adv. Anton Myburgh SC. @Rox always a pleasure "Yes DCJ tell him to talk to the commission "@Yolo More baffled me too "@Heather Durr yes I know Adv. Myburgh: honorary member of SASLAW (having served two terms as national president); sometime acting judge of the Labour Court; member of Labour Court Rules Board. Adv. Myburgh: Co-author of Reviews in the Labour Courts; has published a number of influential articles on labour law; member of the local organising committee of the 2015 world congress of the ISLSSL @zip reeper my pleasure @Yolo More sis you see my earlier greeting to @a b c ? @Naledi Barron hehehe:virtualhug::virtualhug: @Pastor J.J this one I see @zip reeper love that song "@zip reeper had a private Standard Bank function that I was invited too and they had Boney M fly out for the Christmas function @Yolo More where the trolls at???🙃🙃 @zip reeper brown girl in the ring @rohan barnard there you are skattie:virtualhug::virtualhug: @a b c I see you baby shaking that.... lol😁 @zip reeper 🤣🤣🤣 Vincent Smiths corruption and fraud case postponed to 3 Dec @Mr L It is Adv. Anton Myburgh SC @BOIKANYO MOLOI they state is opposed to bail but waiting to hear @Mr L always a pleasure "Agrizzi health has taken a turn for the worse @Tommygun 🤣🤣🤣🤭🤭 @zip reeper 🤣🤣🤣 Yes DCJ neva "How later on "@fuzile dazana former General Manager @fuzile dazana always a pleasure @zip reeper and he wanted to be NDPP 🤪 "@Mogau Mphahlele gm @Mogau Mphahlele always a pleasure Yes DCJ!!! Minister and President "Yes Adv. Myburgh "@Valencia J gm @Valencia J always a pleasure @Val Speirs it is indeed outrageous what is happening to our farmers. Considering the fact that they are our key to food security. But we should be wary to incite violence. "@Aubrey De Bliquy I am with you it should not be seen through the eyes of race but through the eyes of crime @Aubrey De Bliquy well put sir "@fuzile dazana Adv. Myburgh is new to the commission and has to come into his own. Just like Selena and Notshe "@Jenny Whitewaves the same @Jenny Whitewaves always a pleasure @H A L O sports is an important part of society. It is needed especially in times like this. Stress release. First olympics started in 776BC. Coming from a mom of a little sports star. 😁😁 @Immanuel 🤣🤣🤣 "@H A L O not selfish for my own personal entertainment @zip reeper yes "@Anastacia Stanley welcome @zip reeper 🤣🤣🤣 @Fred Desrosiers that would be correct @Valencia J don't leave skat @Morag Swanepoel its Transnet "Agrizzi found the Lord and needed to come clean. If he goes to jail
