author,message
Madelein R,Morning I am sleepy 💤 "@Quintin Jacobs - it is the law What is PP @funicanz - thank you. My brain is dead today "A lot of people still haven't decided who they are voting for. I know I have to vote @Norman Zwane - I planning to party as well "@Makwa Choma @Norman Zwane - I will vote for the party who gives me a Loui Futton Bag with something in 🤣🤣🤣🤣 Morning Transvaal @Magda Seguin - Yip
Yonam Daudi,morning comrades
zanmbeki,morning "he should if Parrafin doesnt want to be cross-examined then he must shut his mouth. the fact that Pravin's Lawyers are not here shows tgwy know the verdict
Nhlanhla Nsele,morning bathandi bezindaba if u were Moyane i would just file a new affidavit with proper facts and ask to come to the commission and give evidence...that will lure Gordhan to ask to cross exermine
Allan 28,"Hallo Pravin must Be cross examined just like everyone "​Pravin does not want to be questioned by public protector Just get to the verdict chief @Amanda Watson Interrogating is what is being sought to be archived but Pravin does not want that This then means no one must be cross examined "@welton paulse yes so why should others be cross examined and Pravin not?
makhosi nobhatyi,"Morning people Moyane is implicated with testimony of McBride Moyane is fighting Gordhan "@Elson Elson I agree with you Gordhan is not going to fall down ngamasela down It’s a fight back by moyane and all of this thieves "He will come here "Carnoth ngomane "Moyane was a puppet of Zuma Moyane has no evidence rather than Rogue unit which was dismissed many times by NPA and ssa "Moyane cries is baseless coz he is guilty "I will defend those who stand here to speak the truth nothing but the truth Moyane must first tell us he accept or denied allegations put by mr Gordhan Dali is angry also coz he loose his Job 😃😃😃 Moyane must be arrested "@ funicanz yes I can agree with you "Let us all defend the truth "We want all of the executives who are implicated to accounts to the nation by saying his or her version known by the country These statements made by moyane was uttered by eff so he can with these nonsense Quinton Jacobs please don’t just come up with baseless accusations I wish eff loose more support Gordhan know all laws at sars and treasury "That is how advocates does "DA is failing to run Johannesburg council  "O’Sulluvane the eff target 😳😳🤪🤪 When transnet coming? "Mahumapelo province working with premier league to defend JZ
lucky Molepo,Tom Moyane will be granted t cross examine Parrafin the media darling "parrafin diesnt want to be questioned by public protector y so long Zondo cooking his wasted so much time zondo is wasting our time
Yvonne Morudu,this fools are against Gordon bcz they want to loot it is all about continuing with looting yes EFF have to protect the looters bcz they are the champs in looting he is Edi AMIN even his comrade in EFF are scared of him a dictator of note Dali mpofu is being bought by EFF to do their dirty job he is loosing every case incompetent Dali Mpofu and Mabuza EFF will never get anywhere this application is childish mphofu and mabuza don't read they are being exposed for their foolishness tell me guys is Mpofu a real advocate he loose every case
funicanz,"Morning So.. Pravin doesn't want his version to be cross examined? We must just believe his version as it stands. "@Amanda Watson  "@Eslon Eslon  And they will use Adv. Mxolisi Zondo to discerdit DCJ. "Should Chair deny this application 🏃🏃 "@Magda Seguin  I see a deny here. "@Magda Seguin ... let's leave it there. We might just find ourselves blocked "@Quintin Jacobs  "My assumption Time wasted. "@Magda Seguin  "For as long as we won't entertain those who won't agree with the judgement and encourage the commission to move on @Wandile Wiseprince 😆 "@Magda Seguin  We know who follow this commission religiously and we skip their comments due to those that feels this is a playground. "@Thando Nkutha  "@Amanda Watson  DCJ has been reading for more than an hour. "They will go for a short adjournment Public Protector Yhooo!!!! DENIED I smell a press conference to remove DCJ coming in a few hours.... @Magda Seguin 😆😆 90 minutes to be exact. He needs sugar. When are they coming back? "So when Adv. Pretorious says "Corruption within the ANC is rife and cruel "If they weren't offered bribes and agreeing to maneuver tenders. They were spending our tax money on themselves selfishly. Imagine "McBride's evidence is complicated Why adjourn if you will take a long adjournment at 13:00?
Eslon Eslon,"Moyane will be granted to the approval The issue is not that Gordan refuse to be cross examined but that Dali Mpofu want to bring issue rogue unit which was not part of the Pravin evidence The truth is that Dali want to use the commission to bring the Rogue unit and discredit Pravin evidence "@carnoth Mark my word the eff will noise if Zondo refuse to grant the cross examination Guys remember the eff was here the day Pravin appeared and attack the commission Moyane was suppose to first present his version to the commission b4 applying to cross examine Pravin "@Sindiswa mzalwane Malema and the eff will be paranoid if this application fail Jerrrr this long verdict Zondo is clumbing on Mpofu heavily now Moyane and Mpofu must understand that the commission is about law and facts not emotions "I remember the day the eff were here when PG appeared "I'm not a PG supporter but Tom Moyane "@Magda Seguin That name Paul O'suluvain "@Magda Seguin @Nhlanhla.. Tom Moyane won't do that bcoz he will expose his skelanyana skeletons when are we expecting the eff press conference to attack and accuse the commission of protecting Pravin and his cabals "@Magda Seguin... Please don't laugh @Robert Russell... What do u mean by spy vs spy? why do I feel like Mcbride's testimony needs a higher arena than this commission? "Mcbride's evidence is highly complicated that it needs a bench of few judges to ventilate it not only Zondo and Pretorius Patronage is a strong word to use Plz proof the patronage you're referring to Mr. Mcbride "I can't imagine that DCJ Zondo has to sit analyze "@carnoth ngomane... Imagine Zondo has to sit alone analyze This commission was suppose to have two three judges along side Zondo plus evidence leaders to exact more infos from witnesses instead of two people exploring facts from witnesses Mcbride is somehow intelligent There's come the Mxolosi Zondo story now
