author,message
Mohamed Mia,no sound
Marika Kotze,No sound
Abel Manyedi,sound plz
Harduro Racer,this presedent is no better than zuma
MrMoyoT,can someone simplify whats he saying i know its english but its not making sense
Lorna Kavanagh,transet was run by regimens and trillion much more than 93 mil more like a few billion
Granny Mokwena,nothing in the thousands.. these thieves have finished me ohhh all happened in the 9 wasted years "I can clearly remember Ben Ngubane trying to justifying these payments to Trillian "companies that ruined their reputations for a quick buck trace the paper
Scelo Xulu,Zuma is my president forever
Derek Main,@Scelo Xulu Sorry for you.
ofhie Muofhe,xulu weh
Felix Muyoba,not even elaborating what work was done..just work done..thieves!! imagine!! "so @welton paulse true they are part of the looting @Thando Nkutha @Lexi 😂 true boiling is even better @Lexi true @Thando Nkutha 😂😂 work done!! that is true..who was the GCE then?\ "@Lexi even that is a lot of money @Lexi kikiki but those people should be asked about what they did with that money because thats a lot @Lexi it went to transnet account "hau I think these are the anonymous whistle blowers who revealed these malpractices to thuli @Michael Wild 😂😂 true DCJ is struggling with the word unsolicited @Singi Mathebula true..these things started from there but we were not allowed to question them otherwise you go to 1oth floor! 10th floor @Michael Wild but normally you cant get rich on stolen money..you didnt work for it..period @Michael Wild true "so i think he was one of the people who was leaking the information and i commend him for that.. @Cerebis do you think the CIC will accept that? @Cerebis he will never go back because if he goes back thats betrayal of his party and what if they frustrate him at ANC and tell him that why did you agree to come?
Alexia,back pocket scary numbers but sad how the country gets robbed like that I'll take just 500K for WORK DONE 😂 Felix at least everyone in Chat will get a cut😂 What happened with the so called REFUND? This guy is not telling the whole truth His story sounds buttered 😂 Thando 25Bbln went to China scary nr's with so much stolen it is surprising S.A still has a National Treasury 😂 Malusi Gigaba what job he got now Minister of Corruption Microsoft Disappear Edition Could they lease without taking any computers but just paying for nothing? Brian is in dog box wise questioning skills he came prepared was this guy CFO of Transnet?
welton paulse,93 million ....bathong Monopoly money These people were litterally playing monopoly with real money jirrrrrrr yessssssis
Wildthing,AA and BEE lead to this. instead of a process of education and promoting staff that meet the requirements. it broke down working systems and let crooks take over. how to optimise the stealing of Tax money I am not a fan of PW but he could show where all his money came from and he was not rich. Felix I agree but you could see what he had and where he retired to see he was not living like a king and travelling world wide showing off. he was a nasty man and that will stay in history Bosasa command room 1000 x R8.000.00 a lease would mean you pay more because they cover repairs and on site visits and renew after 3 to 4 years. so it would work out to 450 × R10.000.00 true where are the scorpions. we need them back. start by S/n and Gumtree or they never arrived and it's a fake payment money laundering just made that it could happen.
Sthakathi Khumalo,Sekalexabiso always see that company pass sandton hmm "Just arrived here
Msimozy MSIMOZIE,ha...umali engaka we Thando lemali uybale wena youre not the only one ...nami
Singi Mathebula,this looting seems to be worse than pw botha's era😱 "@felix 10th floor or not what is the difference? you have life but you don't have money to take care of yourself and family. its better to be dead than alive and endure the pain. we voted for the five mafias and others. 450 computers? this madness😱 "malema has spoken my wish @makhosi
Musa Bakiti,@Singi Mathebula P W Botha was looting lives of black people and ANC is looting cash with Mandela face
makhosi nobhatyi,"@Singi Mathebula you don’t know what you are talking about Brian Molefe is sucking down now They are busy digging money underground "I love my President for what he doing he acted rational NPA must charge them No Thando Nkutha don’t worry we will fire many people "President is very aware "Malema is not prophet "@ Singi Mathebula we are watching what Magashule doing there at Luthuli house deploy Carl Niehaus to be defended he is already did that Hanekom was also defense of Mbalula reminded Carl about his corruption that we are not forgetting him for what he did lied about dead of his mother claiming money to building Boubat is going to be fired watch the space "@Cerebis I personal wants him back long time ago
Sofia Sofia,5 controversial ANC members who are heading to Parliament ? IS THIS TRUE ????? 1. Nomvula Mokonyane 2. Bathabile Dlamini 3. Malusi Gigaba 5. Mosebenzi Zwane 4. Faith Muthambi I AM UTTERLY SHOCKED ! IS THIS WHAT HOPE WE PUT INTO CR IS THIS THE BENEFIT OF DOUBT WE GAVE HIM "These are the people who will represent you in Parliament AFRICAN CHRISTIAN DEMOCRATIC PARTY (ACDP)National Assembly: - KENNETH MESHOE- STEVEN SWART- WAYNE THRING Regional: Western Cape - MARIE SUKERS AFRICAN INDEPENDENT CONGRESS (AIC)National Assembly:- MANDLENKOSI GALO- LULAMA MAXWELL NTSHAYISA ACTUALLY I CANT GO ON ! THE DISAPPOINTMENT WILL KILL ME
Robert Russell,Yes @Sofia Sofia ....this is the new dawn from the ANC NPA = NEVER PROSECUTE ANC
Mpho Mniki,clearly common sense is not common practice
Richard Gaoab,🤔
Ariel Heaven,The whole A N C government is gangsters in the gangster state..
William Pieters,"my Farther worked for 44 years for Transnet and my Mother has a R5000 a month pension with R1200 a year medical for Doc
Cerebis,"@makhosi nobhatyi During the Zuma presidency
Jabu Malinga,Malema uses Louis vitton in private and overalls in public. a wolf in sheep clothing. he no.2 shivambu is even more corrupt. a band of thieves..ali baba malema and 40 thieves Malema the same guy who was involved with tenders and on point engineering. same guy who used public funds to buy a farm.. is that the saviour of the sa people??? mr die for zuma.anc for life.same 1
