author,message
Bongani Umkhuxuzi Ngubane,ababoshwe labofishi abakhulu
delphin yvon Moukouma Mboussi,I am waiting to hear all. It supposed to be starting at 10:00 This guy will incriminate again the all powerful Guptas Yes. Boysen was driven to Saxonville to meet the Guptas Maleka remain the best She is not consistent as said the judge. Let bring the advocate Maleka for the General Black girls are just naturel Musa Bakiti! That is well said Fils de l'homme. bantu does not mean black my friend No. You just uses one fore other. All black people are not bantu Fils is just a corrupted man here I am not poor but I am still a proud bantu Malema is a young Mugabe of South Africa No. Malema will reclaim Orania
Wallace Mandimutsira,wat time are we starting lol FBI same as ZRP early adjournment my bro zondo is not feeling okay today
Dams daily motivations Madamalala,Zondo Commission of inquiry Zondo is late Zondo u gai? Boyseen lols his younger brother make him tired my advocate Pretorious & maleka super lols schools leave my girlfriend alone lolest
edmond tshishonga,10:01
Briony French,This tardiness is not okay Someone needs to set these peoples watches 5 minutes faster so they on time
welton paulse,Eish Zondo late again. "@Abel Manyedi "Zondo didnt pay TV license on time Zondo is tired already Mara why dont they allow Adv Maleka to lead the witness? @Desmond Masilela lets hope so "@Edwin Arthur  "From the beginning files names and numbers have been a problem Z reminds Zondo too much about Zuma "We need strict professionalism here Guys where is Adv Maleka? Eish eish eish "@Magda Seguin  Eish General is lost @Magda Seguin And MCbreezie his deputy @Aniceth De Missamou . I picked that up as well "@Magda Seguin Something is MOERS wrong in our country I am starting to lose interest in watching this commission "@Magda Seguin "this reminds me of our soccer teams way back in ekasi "@Aniceth De Missamou  "@Magda Seguin "@Magda Seguin  "@Magda Seguin "@Magda Seguin @Musa Bakiti so jy kan afrikaans praat my maat @Musa Bakiti whats your native language? "@Musa Bakiti  "@Musa Bakiti Nooooooo Seems like corruption is a fashion trend or a status. Our government is just taking it to the next level "@rohan barnard also because instead of investigating real crimes Surname id Gupta
Abel Manyedi,the PIC commission always on time nd only take 30 minutes lunch brk where's Zondo commission does s opposite 😀😀 maybe he drives frm KZN t Parktwn every day.... shame our DCJ eish this gonna b boring guys.. where's Mr Maleka
Magda Seguin,I noticed they do the preliminary first before connecting to save broadcast time PIC is not so complicated and vast as the Zondo Commission A certain Mr Panday from KZN will allegedly be mentioned today @welto do you remember that Selebi was Interpol Head @mvubu 1234 yes This man could have been Minister of Police @welton will then be able to trust SAPS The General needs protection after this KZN had many political killings @welton paulse hat is exactly what the ANC want...for people to lose interest so they can continue with their looting "I agree About? Definitely @welton paulse...Danny Jordaan and those bribes paid by SAFA is a huge elephant in the room "The toll roads in Gauteng also needs an investigation The people were never consulted on toll roads "@welton paulse Its never easy I realised how the novices in the audience trying to ask questions as professionals struggle...it's a learning curve Ms September is doing well Burgers Park hotel owned by the ANC I was told that by someone at the hotel when we had a conference there. Yes...at one particular international confrrence We were told beforehand that there will be heightened security only to find out that Selebi and Interpol also had a meeting there. Selebi used to be a regular guest "@rohan barnard Brexit is a mess @rohan barnard don't forget the abuse of females in churches All done under the banner of freedom of religion The Catholic church has been invaded by a group delivery to break it down from the inside...I have not yet read the complete documents but it is paedophiles that become priests lasting a century @welton paulse exactly why do a minister need 8 bodyguards and including their deputies.And those blue lights!! I am Catholic practicing ALL churches stem from the Catholic church I am not upset...there is a lot I don't agree with Novice not amateur...there is a difference I also think that the modern evangelicals are hideous...they also exploit their people @rohan barnard me too R15m for police accommodation? Imflated invoices...it only cost R33k You will regret it Thank you @Gee J this disrespectful behaviour pops up all the time giving all men a bad rap What about the Watson's? @Melvict Melbourne A block is coming up "And want about KPMG Judging from the infantile conversation on this forum I deduct that some Says are not ready for democracy accountability yet. *SOME SOUTH AFRICANS The serious criminality of the ANC is flagrantly being addressed by someone who was smeared with lies is ignored for those who have the privilege to listen but they are wasting it with nonsense talk @BOBBY DCJ does that all the time to give perspective...it's his job The literacy rate in SA is compounded by the high school dropout rate(StatsSA) millions compatriots don't have the luxury to grasp or understand this commission that is why the ANC will win I meant the LOW literacy rate
Desmond Masilela,Last time she was bit nervouse. I think today she will be much better. Here start a problem with files If the chair is transparent it shouldn't be a problem for the chair to listen to his brother implicates. @Felix Muyoba. What are you thinking Felix😁 @Felix Muyoba. No wonder this country was like this😂 Are they showing us a slide of 1976 or 1994? When they talk about 1976 police I get very angry about it. anyway its now the new era. I will just swallow my pride and move forward. @Felix Muyoba. Will do so. but it seems like the man is going to tell us about the news of 1976. @digitalemotionfilms. Show me one police ppl who where not bad at that time? @digitalemotionfilms. I would like to tell you more about the police of that time but i dont want to. Because some of our fellow brothers died because of those police man. @digitalemotionfilms.. 🖐 It was not The chair is coughing heavy I've got some flu medication with me. Can someone come and get it for the chair please. @Sthakathi Khumalo 😂😂😂😂😂 @Norman Zwane 😂😂😂😂 @Lucky123 Thwala. So what need to be done. Must he consult?
