author,message
avela mbiko,who's coming today?
Fred Botha,Morning All LIP SYNC How many times do we have to hit the block in order to block the spam it just keep on coming
Tich Ziny,morning Fred
Yanela Nokhele,Guptagate today
Slindile Ngcobo,"Former Transport Minister Ben Martins and Chief of Air Navigation Services sound ahhhh....better
Choaro Losabe,Gupta man on the manu today
Anne M.,@SABC Digital News Please may we have some sound @SABC Digital News Better thank you @welton paulse 😃 😃 @Derick Mampuru Advocate Thandi Norman Morning Thulani @Derick Mampuru I don't think Adv Thandi takes nonsense from anyone. @Thando Nkutha Adv Thandi Norman Pleasure @Thando Nkutha
Born free,Sound please There was a Zulu and a Gupta on my stoep 😩 The Guptas think they are still a dynasty.. red carpet treatment etc. What a joke. The criminal Gupta Dynasty and Zumas comrades of corruption. We must as citizens if this country.. Declare War On Corruption.
Di Gibson,sound
Pugadoodle 1411,SOUND of SILENCE
Ishaad Mohammed,Check Sound 1 2 / Check TOG TOG
Kevin Simon,also known as how to get promoted for performing criminal acts which out current PP is trying to suppress. like watching a dubbed karate movie from the 70s.😁😁 Martin's looks like the Grim Reaper today. Why?
Epnet Streaming,Bad sound low and hissing noise Lip sync ??? Sound better lip sync? Lip sync still a problem
Lucky Nxumalo,I always get worried if we as South Africans reduce our debate into ethnicity. Its a fact that our Former was a Zulu but lets that talk and debate as South African Our Former President was a Zulu
Errol Gunn,Better Sound QUALITY
welton paulse,"Hawu Seems like the old Chinese and Japanese Karate movies
NHLAKA MOTAU,sound please
Dan Brown,SABC SUCKS. But then I wouldn't be too motivated if I wasn't getting paid.
Plasmodium Vivax,shama lama lama ding dong
the one and only,Guys you know the SABC is broke so everything has to be slow
Robert Russell,@Lucky Nxumalo ..... yes is a Zulu.... but before that he is a thief @SABC Digital News reload this feed to fix syncing issue
Craig Woodward,I think they're using a translator - the lips and sound don't correlate @Kevin Allister Simon 😂😂
Derick Mampuru,the Adv looks scary 😂😂 what's her name? is it me or the audio doesn't go with the picture? "only SABC does ""delayed live""" "@Anne M. I tell you she's going to grill him "@Maxwell Sibiya it's not your network Adv Thandi speaks with that confidential voice
Bongani Ntuli,wow the Gupta minister finally
lereko nkongoane,"the whole truth
Thukela Grace Bekwa,Why are we watching DELAYED LIVE? Pls fix it.
Maxwell Sibiya,"Is she calling the chairman ""miss chairman""?" My network connection seems to be feeling cold this morning. it's like the old Chinese movie here... Audio and visuals don't go together @Derick Mampuru.... Thank you so much. I was worried
Millicent Shozi,SABC didn't have money to pay workers this month @thulani👋 tenders must fall
carnoth ngomane,they are battling to SYNC @roberto wilco former transport minister The pot is about to boil The evidence leader must exhaust everything The guests of the President @Thando Nkutha i agree he is lying already The whole minister with a law degree could see that the guptas had no grounds for litigation
roberto wilco,Is this guy one of the whistleblowers Thanks guys His a lawyer
makhosi nobhatyi,Kuyashisa baba today "@thando cezula I have problems how come someone has diploma never work office work only politics he knows Kushubile today @carnoth ngomane Guptas was thinking they are military "@ Thando Nkutha I tend to love the former minister Ben Martin "Ben Martin is born again Christian
thando cezula,Another Gupta lackey! @makhosi nobhatyi he was a deputy minister @makhosi nobhatyi and also a minister This one is going to be roasted!
