author,message
pius194,when will johan rupert testify makhosi & eff dont wait 4 media to tell u how rupert and oppenheimer families captured the state since apartheid to date make your own reseach "wait for dudu myeni to testify "makhosi u r ignorant "redriger makhosi u r misinformed where is marcus jooste who stole 20 billion of government employees
Paul Buchel,"Wow "1287 nights accommodation at R930-00 per night Are you all dumb....why aren't you actually listening to Mr. White???? "@Pastor J
makhosi nobhatyi,"What’s Ruppert must testify about ?@Pius194 They were working behind the scenes hand to hand with former President Zuma and his son @ Eff student command ayoba "What she can offer us with? SAA was poor performance under her nose "I am not if there was something surely we would hear them here "@ Jacob Zuma you are ill @Derrick saperstein really we cannot be robbed by our people took all money to enrich themselves yet they blame white peoples for what? If there was no corruption SA would be far greater less job loss "I am not interested with ANC division which tended to confuse people Panday was long overdue to be in prison
Phumi Ts,R4000 vs R90 000!! 😱 R86 000 profit
Teressa Pavlakis,Vote for a new gov with honor and not entilted to earn They want monies for the time they where in jail or exile But they want to go after Tawane------
chiz Coti,crooks must be charged...
Derek Main,@pius194 I suppose it depends who you talk to. @james 112 Breitbart is fake news @redriger Howzit Anything exciting today? Politicians are all the same. The ANC has become just like the Nat government. Only in it for themselves. NEVER trust a politician! @XhoiXhoi GrandSon Careful what you wish for. The EFF are politicians - they tell you what you want to hear but are only in it for themselves. They've already started acting like politicians - stealing VBS funds and living the champagne and caviar life but wearing overalls just to fool everyone. @Vincent Sipho Khumalo Very wise - they are all the same. @Fidhffjgf Dgygd Democracy only works if the voters hold the public servants to account. @Jabu Malinga He's one of the untouchables and must be dealt with. @Paul Buchel Multitasking @moelamin jaiteh Only if you allow yourself to be sucked in by the BS. @moelamin jaiteh I don't have all the answers - I suppose it's a matter of educating them on their rights and responsibilities as voters.
Wildthing,Puis you race batting. people of all race are investigated. and found guilty. if Law and Order is not in place then this is what happens. let's stay in RSA and leave USA alone. we are not Americans. GrandSon stay on subject or you leave. open case ar police if you have evediance of wrong doing. here it's about Durban police please can all focus on this story for now. it's about how the police functioned with rouge members. not political parties. and chain of command. Grandson. what's your point who here denies it happened.
Bongumusa Mabika,Car manufacturers have long term contracts with the state as you cannot wake up tomorrow with a new brand in the market. So you can't change them every 3 years. The same goes for mines.
Derrick saperstein,"Hey Guys "Well said
Elvis Malakoane,Jacob Zuma white monopoly capital is not a government or Ministers Jacob Zuma make sure you don't make a habit of being obnoxious cos it will stick with time Thelsa Me and my wife did not benefit Lorraine Naidoo apartheid was bad as we all know but they left functional municipalities though state was bankrupt but systems were there and functional State capture was a Holocaust xhoixhoi grandson you must be taking a drug of some sort from 1978 in our township we got electricity we never had load shedding xhoixhoi the more you make your statements the more you expose your ignorance bagof redriger I see somebody left a bag idiots open today if police are so corrupt then where do you report corruption
Thelsa,Is there anybody on this forum who did not 'score' something from the State Capture. F#ckittt ! It seems like there is not a soul left in SA who did not benefti !!
