author,message
Blake Yogi,🤸‍♂️🤸‍♂️🤸‍♂️ haaibo who is this Where is Adv Vuli'gate? @Owen I dont know her. Just glad its a lady of colour. Its been a minute since we have seen 1 Adv Segels-Ncube Dig out some truths girl. excavation:virtualhug::virtualhug::virtualhug: "@Thando for sure. Brains She said just call her Adv Ncube. @Samuel we wont be disrespecting advocates here today blocked the chicken guy Adv Ncube @Hosia. Yass "@a b c No 1:elbowcough::elbowcough::elbowcough: You can figure out who is no. 1:elbowcough::elbowcough::elbowcough: 😂🤣😂 zuma could not have been number 2 to anyone else boet @Madzi yess!!😂😂 "Number 1 is so smart. The only evidence against him is talk from witnesses "Johnno ASAMP:elbowcough::elbowcough::elbowcough: @Valencia you know exactly why "@Neil woo guys. are we crediting politicians for our manhood now. wow. Just go and play outside guys Chair took over the questioning somma "@Nick 😶😶😶 Kate deals with Aviation matters. @Louis C 🤣🤣🤣 "Lord 🙏🙏🙏 #Sanfran exactly!! shouldve brought an interpreter for this witness so he could express himself even more
Damon Radebe,"Just imagine there was something like this in USA "irregularities on any operations "but going on a reviewing all operations of government is wrong and unlawful
Heather Durr,@Damon Radebe I am a staunch anti-Trumper and GOP hater but the democrats have their fair share of dark secrets. Politics is all about money and lies and secret undercover ops "@Damon Radebe it would never happen as everyone is involved.They had enquiries into the Clintons @Willie Makena Poor Thuli-I wonder if she listened yesterday Why is the SABC in front of parliament. Hope all 'Honourables' dont mess with our state capture feed The dentists compressor broke down so they cant fix my tooth and I now have tablets. So not impressed. Who is the cute evidence leader and is Bester a skelm @Paul Buchel Myburgh is having a trial run with the sexy Adv Hofmeyer I think Euuuw Exclusitivity nooooooo such word exists @Jenny Whitewaves One is pregnant and the other is in prison @Pastor J.J How come you never call me Dearest I am also trying to understand @John Batwell Yup-he Myburgh is there in the gallery I recognised the ears
Willie Makena,Sorry Thuli no amnesty
Fred Desrosiers,All politics dirty. I found out when my brother ran for public office that the people who make it to the top are all connected thru favors. Rarely is an honest person able to get to public office. Big mistake to ask Mr. Ready to talk to Sighn. It is like asking the wolf for candy. Was Melrose Arch the headquarters of people doing dubious things. Salim Essa again? He seems to be in everything.
Maxwell Sibiya,Who are we expecting as the witness today?
Carmen Johannes,And we back WHAAAT!
Karen x,@Maxwell Sibiya --- why dont you read on the left instead of asking such a stupid question...its in writing @roza a stupid one at that.... @Magesh Difa whatr land
roza,karen x u are rude SanFran morning dear Vanessa morning Who is on doom chair today Maxwell asked a question answer if we have sumthing polite to say otherwise shut up Karen x u are not worth it Lennox leave her shes dom Valencia eina!!! i think maybe i shud call the eff in our little town to help with my problem the blesser ninja turtle🤣🤣🤣🤣 Pastor how u doing Alta hi dear Alta my longe gee op Alta met al die stress daai sigg help nie meer nie Louis that dont help makes me aggro louis that doobies are what is making india hype rite now🤣🤣🤣 Find 1kg of hash there nd u gone goneeeee south africa is free Louis durban has a special store where u can buy gummies nd lolipops now Louis dont no yet Val yes not far from us
SanFran Arnold,@Roza essack gm. @Vanessa Van Vuuren gm "@Roza essack I agree "@Roza essack former Managing Director:Rail for Hatch "@Mbuso Ndlovu former Managing Director:Rail for Hatch "@Aubrey De Bliquy to refine manganese you need @Aubrey De Bliquy smelters take huge amount of electricity most of our mangenese and chrome smelters have closed down due to load shedding @Aubrey De Bliquy you do understand that smelters can not just go and switch back on when the lights go back on? They have to build a new furnace overtime that happens "I am not asking you this "@Aubrey De Bliquy smelters are one industry that needs a constant supply. Once the power goes off and the ore solidifies @Aubrey De Bliquy your point makes it impossible for smelters to survive in SA. You would need to first sort out power before smelting can be done @Khanyi. AgeGracefully My lady K how are you? @Gift Mazibuko he is allowing is junior to take this one @a b c really volatile today "@a b c draining to say the least @Gift Mazibuko 🤣🤣🤣 "@alpheus masango yes @Annie Van Niekerk @a b c lets go Im hungry....😂😂 "@Annie Van Niekerk me too @a b c that would be fantasties 😃 @Jenny Whitewaves agreed @ALTA more my skat:virtualhug::virtualhug: @Mathieuw N. Muyenga yes @Pastor J.J 👋👋 @Elvis Malakoane can you see me now sir? "@Elvis Malakoane excellent @Annie Van Niekerk 🤣🤣🤣🤣 Anoj Singh was the Gupta's CFO and he moved through all SOE's to get the contracts and the money @Elvis Malakoane Dit gaan baie goed met my dankie "@Val Speirs yes indeed Adv. Seegels is doing a fine job on her first outing to the commission👏👏👏 "@Anne M. agreed Yes Mr. Bester tell us the truth because those to follow ill not *will
Vanessa Van Vuuren,goid morning
