author,message
Mali Mthimkhulu,Im here first in the other news...USDZAR= 13.95 (realtime) Hooray the rand is improving
Sthakathi Khumalo,captivating haha "The way I am ignoring AWB people "Those teeth and grasp of the queens language As for the weed tooth THIXO!! Mfundo BEHAVE CHIEF HAHA "Mfundo Veerasamy Anginawo amaningi nsizwa!! Ubaba womuzi lona. as for ikhonde Fuzile angu enentswebu kaOmatoso hmm "Mfundo Veerasamy kubonga mina "But guys Omatoso on state capture haha "Mfundo Veerasamy Sengikuzwa kahle Mutti uyaTeketisa ngaso eMalini Fuzile Fuzile aka Omatoso is a comedian also "Fuzile is one character "Mfundo Veerasamy sengisuke ngazinza eDurban "em D he is just a weird character to be honest "Mfundo Veerasamy nginokuzwa ngayo Mfundo Veerasamy Nsizwa enye ngathi uMasihambisane wawufunda kakhulu!! Kuhle ukuhlangana nabantu abasancela isintu njengawe!! "em D Nah...I doubt bro Peter pott I am still asking myself bro?? How is this possible though Abafana baka Malume Joshua Door = Mcebisi and Fuzile Sam Vanguard but that is wrong though. We want to participate in the economy when we seek land for shelter and sustain a living among other things Was he fired or did he resign??
GH MG,Chose to spoke?? yet he wants to sound so english. Why do lawyer like to caress their buttocks when speaking? he wants to sound english lool Bonani...my observation too...so irritating and how did he lose the tooth? "Items Mfundo...lol maybe there is too much air entering the mouth through the gap Noooo Mfundo who uses thereafter other than in writing? this guy though...lol which coconut Anele? Paaageee 55! "Because of the gap Fuzile laughs and suddenly stops like Kanye West michael who???
Kevin Davis,whatever happens let's not have malema as our next president we will be relying on bank notes
peter pott,"luthuli house just keeps both pravin and CR president @mg we learn that from Europe courts. and may choose to emulate them "look at fuzile "@Lukas "they always used the reason of how much the Rand went to beautiful girls are one reason I watch this at times😀😀goodness why to I have to work in Europe when such beauty is back home "astute judge "@Veerasamy "not saying there is a law against. Fuzile works for std banks What are they deleting niw "one this commission exposes is how weak was our leadership . all of them fooled by a boy "fuzile "praying says he was appointed transnet CEO "if you thought advocate Maleka English is annoying "are saying that first minister of finance under democracy "this man says he didn't apply for the job "pravin has really infused arrogance is these young black men "people can start appreciate what mess apartheid has placed SA under. it looks better under whites
Ewald Kruger,It would have gone right over the head of the 33 percentagers. I feel for you @Sthakathi Khumalo. "Lungisa Fuzile "Google ""REFLECTIONS ON A CAREER IN PUBLIC SERVICE WITH LUNGISA FUZILE"". Interesting stuff..."
Zack blade,Viva Malema down with white monopoly capital… Eff ViVA "2019 "Da "DA "DA "Da "DA "DA "DA
dave east,loool gh mg yes my lord looool mfundo yes my lord a line is not a paragraph africans need to create their own industry not work 4 white people loool khalid right guys why do you people watch this stuff informed about what and to do what youtube is supposed to be a communicating technology but as a black people we dont use it wisely im currently in the usa on holiday and meeting and see groups that want to talk and unite with africans abrosd youtube should be used to unite our people globally... keeping us up to date with progress .... setting up charities where we can donate and fund the struggle. our people is an african . we are in an economic and political war and the implications of this is death thando youre a fool and joking is what u do leb m malema just recently said that african women arent supporting the EFF. why ive been paying attention and seeing a lot of indian and white women starting femenist groups in South Africa and the women have been going along @thando how can the women be joining femenist groups when feminism is about fight patriarchy. the patriarchy that runs south africa is white men. why are our women fight for feminism against us when we are poor thando its a serious question How can african women be fighting FEMENISM in south africa against black men when we men arent in control. patriarchs control land jobs and money and white men do this we black men are poor? right @lee are there any african women here woman lungaisani are you a black woman lungisani How can african women b fighting FEMENISM in south africa against black men when we men arent in control. patriarchs control land jobs and money and white men do this we blackmen are poor? how so thando patriarchs control land money and jobs . what do south african black men control for black women to fight us for? guys its a serious question. if we ss men dont control anything why would our women be joining femenist groups to fight for womens groups but not for pan Africanism it makes no sense
Peter Lukas,He dont sound English at all "Us realy think that Malema gonna make it better for all South Africans everyone is and are different "I also live and stay for the last 25years in Europe but im a sales advicers for a big company
Mfundo Veerasamy,Guys is this LIVE? IS IT DAY 3? IS EFF STILL PICKETING OUTSIDE FOR 3 DAYS? vele bathi indonga ze jericho zawa after 7 days "😂😂😂😂😂😂😂😂 Dave I now feel for our poor people "lol Bongani his ""S"" are so sharp on my ears" "@GH MG "HAHAHAHAHAHAHHAHAHAHAHAH "peter pott "I CAN HEAR THE HONORABLE JUDGE BREATHING VERY HEAVILY MTHAKATHI MTUNGWA 🙏 WENA OGIBELA IKHONDE NGIYINI MINA NESIBONGO SASE NDIYA😀 "Peter Lukas i WAS JOKING WITH PETER POT "Sthakathi Khumalo "@ Keryn​Standard Bank CEO "Sthakathi Khumalo mcom student "​@Mfundo go search "Sthakathi Khumalo ngizwa khale "WOW THIS GUY WAS HEAD HUNTED MY RERUNNING HAS GOT IMPLICATIONS FOR YOUR CAREER PLANS Sthakathi Khumalo UYAZI EBUTTERWOTH ETOWN "@ Sthakathi Khumalo "Sthakathi Khumalo Sekwaba INSTAKAVUKELA UMCHILO WESIDWABA UKUTHI INDLU EMNYAMA IZENZE ONDLEBE ZIKHANYA ILANGA. BUKA ALL THESE MAN ARE BLACK BUT THEY ARE TALKING ENGLISH SHOWING THAT WE ARE ENSLAVED STILL "dave east "This guy knows his story "THIS MAN IS LEARNED I ADMIRE HIM LIKE THABO DLOTI R450 Bil to 2 trillion 2015 SAB WAS SOLD TO ENGLISH WHITE MONOPOLY CAPITALIST FOR R1 TRILLION "Sam Vanguard COZ THEY WERE SERVING ONLY WHITE PEOPLE N WERE NOT CAPACITATED FOR 55MIL CITIZENS CHAIR IS VERY MICH AWARE OF MASHONISAS LOL KWAAAAAAAAAAAAAA
Bonani Maphini,this guy is annoying..why is he speaking like this maan 😀😀 "Yes Thando "Wesley "They even clapped hands for Joshua door This inquiry is captured...
Lindikaya Myeki,yes indeed he is annoying
Rifa Dzivhani,this guy mara 😏😏😏😏...is he trying to be fancy? 😁😁😁dave east wesleey...what is it abt? sam..you are very opinionated . sam..are you campaigning for a political party? sam..what have you got to say abt sam as a farmer?😂😂😂 wesley...noted. sam...who did your grandfather fight against? lolest ...your grand father fought with the english but forcefully took the land from blacks .....blacks just want a share why are you soo greedy?
Lucky Dlamini,😅😅 Sounds like a job interview. Is this how a budget is defined without expression?
Basani Mongwe,😀😁Language
Lorna Kavanagh,The advocate is speaking slowly and clearly ... what is wrong with that !!! This chap from treasury is impressive
Piet Kgasi,"I am waiting for the sacp "when blf apply to testify
mbongeni zondi,ngisayochama @Mbuso Sibisi siyazi The EX has follen
Hlanganani Khosa,yah neh
Lesedi,me too @Thando
Zizoh,THE BOT IS BACK LOOT THE LAND WITHOUT COMEPENSATION
anele mtiki,whose this coconut
