author,message
Adriano Aldrin Natasian,FINAL KONSTITUSI TORAH DE YAHWEH 2020 KONSTITUSI TORAH DE YAHWEH FOR NEW YAHRUSHALAÝIM YAHSHUA IS TORAH TORAH IS LOVE BABY BORN 2020 HONG KONG FREEDOM TIBET FREEDOM WEST PAPUA FREEDOM CHINA FULL ECONOMI HUMAN
clive oconnell,I’m sure she’s praying 🙏🏼 the evidence will finish soon.
Seripa Mamabolo,HELLO THERE They impeached him because he started taking action interms of black economics he sparked free education but that doesn't interest government and white entrepreneurs hence they impeached him
Jacqui Baumgardt,Hi all Is someone arresting Thoshan yet? so they took a plea deal????? Are these companies still in business? Please block Adriano - not sure how
Bev Daniels,No they too lazy "As Mr White explained
The Native Touch Dj,"""let's allow the process to unfold"""
amelia sekhonyana,Hi
Anne M.,@Adriano Aldrin Natasian Please go and troll somewhere else "@Jacqui Baumgardt Click on the person's name and 3 dots on the right will appear. Select Block. If you want the moderator to block
Yumna Thomas,hey guys what's happening today
Romano Sparks,Are they on tea break
Elvis Malakoane,Adriano Aldrin Natasian A u sure you wanted to be on this chat in South Africa or you in wrong side of the world
HBWorx,Mr White and Adv Wentzel is just busy exposing themselves and the agenda they serve. This commission is set out to find Zuma corruption exclusively and ultimately exposes to what ends they went to find evidence. We all know the real state capture started way before 94 ... Lol come on guys ... People have been working to destabilize the state since they found out they won't have political power anymore. Yaaawwn jy ma! Jy klink soos n ... verkrampte Fake downgrade ja Wenzeni uZuma??? What did Zuma do? "Revolution is coming Mike lol "The self proclaimed south african's
Le Roux Strydom,@Henrique Botha ...how would you then establish the findings and to whom do they expose themselves?
MJ,GIVE ZONDO A PEN!!!
Kevin Simon,Henrique please clarify This Commission has affirmed the reports in the press about these corrupt dealings. If Zuma still wants to challenge the legitimacy of it he is confirming his complicity in most of these matters. Zuma has left an ugly stain on this country's reputation. Sipho are you proposing al 57 million people (less the Whites) become farmers?
Md IRSHAD,hai
Somebody's Thunder,B for Bad 😅 quote of the day
digitalemotionfilms,Henrique Botha yaaaaawn Henrique Botha ZZzzzzzzz.......ZZZZzzzzzz
MIKE DURBAN,Geeeez.......sure reckon we have deteriorated since the take over.........facts reckon these Commies/Socialists cannot do anything right......just destroying our wonderful country ....facts Downgrade....here we come....... Nee....ek is n Engelsman Suid Afrikaner........just facing facts..... Man........ol Zummatjie is trying everything in the book to get out of it........ Zuma and Co must fall.......heheheh N verkramte is like a Commie......cant think further than the ......Nose............ @Sipho The Xing ....work and pay for it.....Bra @Sipho The Xing ....well then...prove it ....Bra Bye Sipho..... Blocked you...Bra @Kepler 438 ......reported and blocked...... Eeeeeeesh.......Jacob.......all the Bra's are dodgy....heheheh Eeeeeeesh Lee......that sound a bit like a conspiracy theory............too much Youtubing...heheh It's a Commie conspiracy................in which the Bra's believe and have been totally brainwashed...
Wilson Hishono,its every where in africa
Graham Putini,wat i wat is n verkramte
Brian Amery,Advocate's hair is gorgeous today
energy for life,sipho that's true
Lee D. Hendrix,"...No approved landings of a private aircraft on a Military Base due to possibility of damage "​...The wealthy ...Persistent conspiracy theory is correct. "...Profoundly "@Nkululeko Mdluli 
Thami Ngwenya,"Sipho free advise
Kepler 438,report him don only block.
Papilele matlaila,Donation is Donation why add to it
roza,it seems that is a next time they talk of million rands so easy talk abt now Pheladi🤣🤣🤣 hes old school well im old school 2 who is linda hats of to these evidence leaders really its time consuming nd sanity to get through all this evidence nd investigations leave alone the administration mr Zondo has to also absorb all of this nd keep head above water to understand all of this
Pheladi Lamola,Chair being so formal saying romantic partner instead of boyfriend 😂 🤣🤣🤣🤣
Nkululeko Mdluli,"Please can the lady be changed now
