author,message
Nelson Musoliwa,A bug from the heart perhaps Will the day belong to the comm or Mr MAnyi Like to know how he transfer came about; who initiated it and why Sorry how his transfer came about Articulating govt position is different from personal opinion finish and klaar Is media not watchdogs only TNA must be govt mouth piece what about biases nature of its reporting Manyi is lost too deep now So Thato you are implying that TNA was a govt mouth piece Manyi is knowledgeable about media but is wasting time because we need to know how TNA got govt tender and what was his actual role If the gupas can appoint ministers and they are owners of TNA u can draw some conlusion @trucker No me and u are not in court but are on public opinion and evidence have been provided to that effect by govt officials anyway and under aoth. Do u ignore that as well Are we not hearing it for the first time that business people hire and fire ministers Thato i may be not updated perhaps are u @Trucker u do not have evidence to counter govt officials evidence either and the overwhelming indicators to gupta treason activities The right to exist on the part of TNA is not wrong but how it came into being and how it operated is what is in question here.
Sindiswa Moolman,Where is everybody?? Morning everyone Today belongs to Mr Manyi I dont think the Treasury lady will say anything new
jackisto jj,Ses la
Thoko Molefe,😁 🙆🙆🙆 Poking holes again. How many more!! Yep At least he did not have to go beg for this evIdence from GCIS. Blackstar from 11 to 20%!!!!! Whose daughter was a director in the company by the way?
Mzukiseni Dzo Manyebese,Goodmorning...👌 So help me Allah Mr Mokoena is in hurry...
kegomoditsoe olebogeng,ses hierso
Charity Mareya,morning
Smanga Sanga,Morning everyone
Elton Mokgatle,Jimmy my boy I'm waiting for you son
akhona mafuya,gud morning people
Desmond Masilela,Macanda looks nervous. She must try to look at the chair. @Norman Zwane. The Chair said she must try to look at him. Not sure why. @Ayanda Kleyi. 😂😂😂😂 oh are the also Guptas there? How old is Macanda? @Norman Zwane. Yes age. @Thando Nkutha @Marvel Ramatshela.Thank you guys. "I now swallowed my words by saying she was nervous
Ayanda Kleyi,she looks like my sister but with longer dreadlocks When is Omotoso due in court again? @Desmond Masilela So that she does not get intimidated by the Guptas in the gallery What does she me sorting out Mr Fuzani? *mea* *mean* Where is Manyi? "Jimmy ""As It Were"" Manyi" Didn't this guy FINISH his testimony the other day? I thought Manyi is here for questioning' Hahaha Manyi is Captured Manyi is now going through other meetings
Norman Zwane,@Desmond Masilela Why must she not be nervous? Why must she look at the chair? @Manelisi Hala She is a witness & did not audition for the part; do you mind? @Manelisi Hala Ofcourse I am jealous Mnguni yintokazi yakwa Macanda ebizwa ngo Phumza. Do you need an introduction bru? Mnguni angisoli lutho. Since after Black Friday I am in the mood to receive cattle "@Manelisi Hala Usindwe zinyawo mfo "Futhi the more she talks "Lutho Mnguni labo basekubhaceni eDubhai @Manelisi Hala: Sheep yi party yini? Kwake kwenziwa umsebenzi ngemvu kodwa? Imbuzi baba. Uleveni ozomthenga emakethe Esiphingo. @Chela brake Now you are talking. What is your clan name Brake? Asiqale ngezithakazelo. asilobolisi yinoma wubani. "@Chela Brake: Lets press on Nkgaruba; Name the colours of the eleven cattle @Glorify Gumede: Isikhipha ngamakhala Mnguni @Wilson M: We past that obvious fact by now Wilson. we looking out for remedial actions beyond kicking the ANC into the thrash bin in 2019 @Glorify Gumede; Uzwile Mnguni? Benign? Ngingaka nje angikaze ngiliphimise lelo gama. Yigagu leli. "@Vuyisile Ngesi Bopha baba @Josh Sparks: We washing our dirty linen and even people from Ghana can see our shame.... @Wilhelm Weyulu: We can't help ourselves @Thando Nkutha: Shwele Nkutha uBobaat not bobejaan nkosiyam lol "@Star Shine I am personally ashamed at how low our elected officials sank @Wilhelm Weyulu: The THWALA custom gentleman will not apply please.... @Josh Sparks: Say more please Josh to explain the point you making @Star Shine Maybe I'm just angry at myself @Desmond Masilela: Ageism Masilela???? @Marvel Ramatshela: By my reckoning she has already gone places...you mean she will go further? Her Lobolo may be quite astronomical for mere plebs. "@Louis Eloff That is how trouble starts Louis. She is a witness. "I saw you "😁 I saw you Sadly she is done but for the few minutes the Judge is giving us. @Louis Eloff: Court of public opinion says Phumza is HOT HOT HOT "As for me @Marvel Ramatshela Problem Nomgcobo is an advocate she can ask you questions whilst you are drnk with her looks @Star Shine Me and many others saw one flwless just now. Umona phansi maZulu "We do "Ya neh Mbeje is advertising something @Fakeng Reverse yakhona????? 👌🏿 Maleka thinks Jimmy will be an easy meal.... The caveats are not going to help Jimmy
Manelisi Hala,she's nervous and beautiful though. "Norman Phumza looks and sounds sincerely on her statements I must say. "Mr Norman are you saying since its black monday 🤣🤣 and I am willing to add 2 sheeps on top man. Louis that's true
Dams daily motivations Madamalala,10th Dec
kings and Queens fragrances,Zuma dnt gv a care abt this country*shame*
Glorify Gumede,zingane zakwethu. umuntu waphuthelwa. ubani lentokazi ethula ubufakazi phambi kwejaji? ubani loMinister abakhiluma ngaye? intro to her? kodwa mntakaMangethe yini usolani? "hahahaha ngiyakuzwa. zigcwele le kithi emakhaya kuyacaca phela ukuthi lomlisa abakhuluma ngaye kuzomele avele phambi kwekhomishana ithi lentokazi udabuka eNgiya Ndiya iyacula nansi intokazi futhi angingabazi ikhuluma elimsulwa iqiniso "abalandwe phela UAE @Chela Brake I have withdrawn from the race due to the nature of competition iyasishaya isangisi nansi intokazi i'm sure the judge will allow for selfies after the session lol her surname is Macanda? @Thando Nkutha i have no further comment @Mutuque Samussodine Jr. in what way? this is a commission of inquiry on the alleged state capture @Mutuque Samussodine Jr. i understand. i thought you wanted to understand the background of these proceedings @Mutuque Samussodine Jr. i can only do so in english because you not familiar with local languages @Mutuque Samussodine Jr. it is alleged that certain people in government structures were working with a wealthy family (Guptas) of Indian origin to control control the state and milk our mineral resources that is the background of this commision @Mutuque Samussodine Jr. my pleasure white balance Mzwandile Mbeje a seasonal journalist @Mutuque Samussodine Jr. do you know a place called Polana? "Durban Ngungunhane? So you are a student of history? ok i will send you an invite on fb "not at all but i know my story yeah so much history there ok man i have to switch to isiZulu now Renamo kwaphela kanjalo madoda kwamane kwathi lwaphe njengekhandlela ubani futhi losisi? lol ngoba legenge yakaTV idlalile ngathi @Thando Nkutha hahahahahaha siyavuma nathi siyabingelale Manyi put himself in the corner with comparison he is prepared but lets wait for the adv
Sibongakonke Madwaleni,asazi yep
Chela Brake,#glorify i offer 20 cattle and 10 sheep for these lady Nkgaruba is my clan name #Norman Zwane she deserve white and brown barman cattle "to be hornest  @vuyisile mr weekend special van rooyen the judge can nt let these pritty face go oof him that quick
Lucky123 Thwala,kancane kancane ukhumbi uyabaletha. kwasuka ukushisa stop it so on
Matheus T Hangula,watching live from Namibia
Wilson M,"welcome sir
Speckled Trim,Boycott racist Discovery Bank Some interesting share trading when the rand crashed following Nene's resignation 🤔 Resignation = Axing Bobart? "correct These guys recruited Bell Pottinger et al to write ministers' speeches and spread fake propaganda. They used PR experts "You can see when someone is talking the truth I like this lady. She has not been corrupted ✌ 🤣😂🤣😂🤣😂 Thanks Norman 👍 let me remain impartial (but her story seems credible) Thanks @Star Shine. You are right What is the court of public opinion's verdict on State Capture so far? @Star Shine I give someone the benefit of the doubt until they give me reason not to. @Norman I agree 😎 That will be the deciding point Marvel :) cant wait to see some of the implicated
Wilhelm Weyulu,"watching live from Eenhana Namibia people don't put their linens into public like what is happening in SA face masks for the lady please anything can happen to her from now on. her safety should be a priority please mr @Zwane
Vuyisile Ngesi,She is very sober...... and she is a breath of fresh air... @Norman Zwane hahahahahaha.... my apologies @Thando Nkutha Bobat was an advisor to Des van Rooyen imposed by the Guptas..... A lot happened in those four eventful days....imagine if Van Rooyen had been Minister for more than a week..... Manyi is next Is he there to defend the TNA or speak of his role as Head of GCIS? Clarity please
JOE PEE EMPIRE,watching live from Ghana i think this interrogation is very excellent "i don't think you are washing your dirty linen in public it's time we end the indoor meetings in Africa and publicize all interrogation
Tshepo Mahlangu,Welcome @Josh Sparks
