author,message
Lameck Mauhy,m m.p ..6.o
Thapelo Motabogi,"Morning ola better than games of thrones "he's foolish
Granny Mokwena,11 am don't you guys get tired of this bickering shoo
Jabu Nhlanhla,olla thaps
Christian W,Ola I have not missed a single episode start watching halfway through and set it on 1.5 or 2x speed that way you get through it quickly an you skip breaks
Thulani Bukani,I've seen 80% of all testimony YouTube said we start at 11. what did I miss? what are we discussing? yesterday was hectic I dont understand that Oscar Pistorius got a dedicated 24h channel on dstv but you can only catch state capture on YouTube and snippets on news channels. even though we know we will still vote them back into power
Graham Jackson,Could not watch yesterday. Anything exciting happen Jan do us a favour. Go back to Oranje and look after your mealies. If you cannot be construction then get off this site Jan what about your apartheid uncles/cabinet ministers who molested youn on an island just off PE. That was you kind of apartheid. Hang youe head in shameg boys
nhlanhla nkosi,troll at work blocking him works the most
Lesego Ntshid,marete a apartheid
Malisti04,Jan van Der merwe - are you trying to annoy us just for fun. our next president???? 🤣🤣🤣🤣
Rirhandzu Golele,"@ Jan Van der Merwe "If Jan is white
carnoth ngomane,@nhlanhla nkosi it is an attention seeking puppy just ignored it
Bev Stevens,just ignore Jan. looking for a reaction. block him
Phumzile Mkhize,Someone does not deserve our attention.Please don't even waste your precious brains to argue with the Flagged person herein Don't even mention the name. Just ignore
Mbuso Ndlovu,"During apartheid Why are they wasting time. What is this argument about????????? can someone tell me No dought You look a like @Yin Yang what is a demeanor in China??? @Yin Yang was just asking @Yin Yang I like Chinees and i even like chinees Food eg SSUUSSHHII Zondo mist resign we need a fresh new judge They must all take pension nor wonder there is a lot of youth unemployment these people stay in positions so long like Mgabes Zondo is now eating a full meal Why Zondo iz not under witness protection ?????????????
Anne Gray,"Jan van Merwe. Memory is wonderful. Remember the toilets in cold (Nat minister)
Jacqui Baumgardt,sabc can block him why is Cln Naidoo hiding? Is there a hit out on him? let's stick to the point zplease1 @Jane - IN camera "Eish 😀 and X would be better we need a non-verbal analyst to evaluate demeanour like when your eyes shift to the left - it means you are lying the liars in this commission talk a lot and then change their story we've seen quite a few no names - no packdrill I'm a politician - in camera 😀 @Gee Peex1 easy to find. I would have changed my surname to something like Govender or Moodley 🐟 that's what I call my car 🚗 #I'mstaying yay!
Derick Randell,apartheid worked for whites at the expense of everyone else
Salmaan Abrahams,hello Jan your ilk got enough free over the years even the poor whites houses were palaces viva eff viva amandla no coloured ppl are not coz it only gave electricity to the few durr naidoo is a crook of note its Ace how about we all advance a name of who naidoo is lol jan u miss ur women not being exposed to real men "from what I see  is this Kevin bra for real I'm targeting jan andre I want to show him his view is not reflective of many whites
Vuyisani Sikobi,Ignore. If you argue with a fool people will not know the difference.
Kay Kay,what does cln Naidoo want to hide? Is it his identity or the information from the public domain? Is Naidoo trying to hide his identity or the information he has to give? who's the witness?
Sibusiso Tshikovhi,Nawu umhlola
Smart Guys,Jan go back to Holland
Wilson M,Hi youtube troll Jan van der Merve
Easy D,@ Gee Peex1.. yes i agree that's also my conclusion..
Jane .Blamire,Colonel Dhanajaya Naidoo is in witness protection. He is the whistleblower who supplied info to the investigators he was going to testify on camera This witness has to be protected. It is his location that is secret They will kill him if they find him All the corrupt cops lawyers fighting not to have him testify all the implicated persons!!! their lawyers are in a queue....
Gauta Kgang,😂shem @Jan Van der Merwe lol @Gee Peex1
SMOKING GUN ENTERTAINMENT,"naidoo's face is on google
André du Plessis,salmaan generalise why don't you someone email the picture to the witness bloody agents f007? I am agent F08 pronounced fok8 I have special cover secret agents have no demeanor cagey is not a demeanor it's a state guarded secret I agree Gert. every single one of them gershin but people won't be paid off they use Google no they need a 3d model the live person and a generic sample I agree Tebogo it's as effective as the Mugabe funeral """I think he would be aware of the application"" please get him in to confirm this" they should be digital "no Shaun21  erm... that's because that was their flag for the past 100 years... making the Union Jack the symbol of Western democracy is a stretch the British flag is subject to royal rule """in camera"" a term that means two different thing in court" """in camera"" English means there's a camera in the room. ""in camera"" Latin means in private which means no camera" 😂😂 Lorraine he's safe as houses there are so many Naidoos and Zondos in KZN... 🤣😂🤣😂🤣 this is a waste of bandwidth and tax money
Desmond Louw,Are we not a multi racial society How can you capture the department that safeguard the country from wrong doing IF you did read the book animal farm you will know from where the country come and where is it going
