author,message
Derrick saperstein,"The in-camera "The policy in SA seems to be "I was in crime prevention for 24 years
Kay Kay,This is a much anticipated evidence by cln Naidoo "@lorraine Naidoo but how he ended up in the protection program and who threatened his life anyway? "@Joanita Where's advocate Pretorious or Maleka to deal with this critical witness? Is advocate Maleka done with the commission or what? I hope colonel Naidoo has adjusted his voice Now his identity will be traced through his family with these break-in story. To be honest I don't think his identity is difficult to uncover. The only thing that will be difficult to find out perhaps is his protection location address. Are the intelligence now not busy trying to trace where the link to this evidence is coming from? he implicated himself knowing he's in a witness protection program and maybe or possibly be exempted from prosecution. did I hear some other voices on his background at one point? If the interview lasted the whole day how was he at home with his family? or is he narrating a different day events? "fmo 8
Lindi,"Does everyone know exactly what we are expecting with an in-camera interview "No thanks JS nothing has happened as of yet... probably sorting out logistics Just noticed no other channel has a live stream going "I just saw a tweet from City Power regarding an outage effecting Rosebank hello DCJ! Full name: Dhanajaya Gangulu Naidoo according to Newzroom405 Tweet "So I'm curious "@Yolo & @JSBach thank you @keisha But isn't her speciality Taxation?
Joanita Hilton,is that not only happening on Monday? LOL see our luck...the Colonel is AWOL @JS Bach I cant hear nothing on my side either @Ewald Kruger where are you listening to the stream? "hahahahahah @Ewald Kruger I think so too Its either protection levels too high or the state aint got no data to stream the colonel live or even his voice hahah #DataMustFall hahahahahahhahahah "ok so fess up LOL @Musa Mabunda LOL @Ewald Kruger I was googling like a pro too colonel KFC. This protection bs is exactly that ...bs. So far all we have learnt is calssification of documents is done to protect the evil ones "we he spilled the beans on looting within state intelligence @Kay Kay okeh @Nakrito Nakrito "well I hope he hasnt done any websurfing on advertisments
JS Bach,"We will only hear his voice. He is another place "@Tatuoachica and @Joanita Hilton ...can you hear anything? My screen says ""Started strearming 7 minutes ago"" but there is nothing going on?" @Ewald Kruger can you hear anything? Maybe Naidoo should send Zondo his answers via WhatsApp. Then nobody will even be able to recognise his voice! "Judge Z Zondo and Naidoo are off to Durban beach. If I were Naidoo I would have asked them to distort my voice. Just in case somebody recognises my voice. @Yolo Indian. @Tatuoachica I'm a pole dancer and in my spare time I do nuclear physics.
Sthakathi Khumalo,Where is Mr Naiiido in out of camera??? "There is no audio people Tholukuthi Loraine is the wife checking out where the snitches are hehe Zondo already breathing hehe SABC sound please Colonel NAIDOO.. Agrizzi us with information heheh Zondo wanted to say Rodger that haha full names?? Are the names fake or his real names "Naaaah he is Indian Yolo Hawu Zondo... why early
Anne M.,@SABC Digital News Not live. Please stream. @SABC Digital News Please update us on what is happening. @Thabiso Itumeleng Do you know for sure that DCJ is still in chambers? "@John Martin According to the statement issued by Judge Zondo Come on @SABC Digital News . Tell us what's going on. Hooray|!! "@Nyasimi Geoffrey I'm not particularly impressed with her @Kay Kay Even Adv Gcabashe @Jane .Blamire Botswana? It's where the advocate was last week. Pastor J was here this morning. @Lucky123 Thwala I accept that some of the lower rung crooks will get a slap on the wrist for implicating the bigger crooks.
Smart Guys,Naidoo under witness protection Lauraine are you a Durbannite Gee you sound like a 10 year old lytjie live now moses go back to Congo Moses is the mampara of this commission SALUTE TO YOU NAIDOO
Lorraine Naidoo,Haven't started his gone missing not yet my bro gone with the wind in hiding cannot wait to hear from him Eish Naidoo the Naidoo'S are waiting He must be from Durban Phoenix 🤣🤣😚😚 cold feet Mr Zondo please start Naidoo Naidoo are you there over nd out let's check news 24 nothing on news There we go I Maleka it's a pity he left Naidoo is loud nd clear yo i cannot even pronounce his name O no already t Moses no ways his accent is indian we are not from India .S.A. thank you Kay Kay you right hope he sings like him Naidoo sitting at the back Moses not nice not serious Moses.uncle Moses you must .Chinese Parliament is a a circus so tru Mr Naidoo going to be stolen soon you guys are to much Marri Muthu his a comedian in Durban he just gave clue .about his house where is Pastor K J
Granny Mokwena,they haven't started yet witness testimony to stream on CNN😂😂
