author,message
Edward Grosvenor,The witness has both Zondo and Hurley around his finger. he is controlling
Roy Kisten,they should also have a body language specialist in the commission to see weather this idiot is lying no chance for Alli shame for Alli
Arthur Dell,Roy Kirtsen we all can see he is lying!!! Martin you that 100% right Gert he has much too much patience!!
Marcus Mmola,"The witness knows his story  "Apologies
Martin van der Breggen,I thought this was not going to take long.....Nyathi has verbal dihorrea Time for being civil is over - answer the bloody questions And we have not even started on the Secure in Comfort report yet
Craig Johnson,"No wonder nothing happens in government "As Shaggy once said @Kerry van Schalkwyk yes it is. The lies are the same though Clearing throat is a sign of not telling the truth as his throat starts tightening up. The police service is a joke "Blame blame blame take take take kill kill kill steal steal steal "Unemployment is at 50% this year 65% unemployment for youth ANC = black privilege. " @Mpotseng Lebentlele go stay on a farm and fear for your life "Public servant Who serves the public in the ANC "@Hubert Maphumulo  When we all learn to live together. The ANC create this divide "RACE CARD "Who here is really and truly racist Stockholm syndrome noun feelings of trust or affection felt in many cases of kidnapping or hostage-taking by a victim towards a captor. "At what point do we stop blaming the past and start blaming the real criminals Every person incriminated in this commision has a tie with the ANC. Say much??? I hope that this crap 26 year legacy sits on everyone's minds the same way it has apartheid. This will be in the history books for our future generation to study. "Just a reminder "Divide and conquer "Yus if we actually changed our mindset and decided to rebuild this country @Kerry van Schalkwyk ditto I pay my taxes too and employ 3 people who rely on their pay packet which feeds their family. 😀😀😀 @Mpotseng Lebentlele lame argument
StarManRSA,"""Everything I did wasn't actually me @Marcus Mmola this is not a court of law @Alvino Theunissen how is Zondo protecting Nhleko?
Dominic Przybylski,collective irresponsibility Sounds like he did no work at all. Gupta This man is acting guilty as sin. @Marcus Mmola It would be such a pleasure to see the judge walk over to witness and give him a snot clap whenever he wastes time or doesn't answer a question properly... afternoon fantasy. "Does anyone know who was in the ""reference group""?" @Cerebis It's frustrating. I wonder how Nugent would have handled this commission. Perhaps Zondo should be wearing black leather with chains and a sjambok and give the witness a whipping every now and then. Why hide when nobody ever gets prosecuted? He seems to have avoided doing any work or taking any responsibility at all... Now that's not a crime but surely this kind of person should never be a cabinet minister. "2nd report indicates a revision of 1st report. Then obvious question is ""Why has the report been revised?""" So did you ask that question Mr Nhleko? It seems he plans to bore everybody to the point where they no longer ask him any more questions without the danger of dying of old age while in the same room. """All conditions for SAA rescue plan have now been met He didn't make anything of it because he was sleeping. "Once majority of people rely on corruption to survive a corrupt government becomes essential to them Nhleko is going to drag this out and Zondo is letting him do it. "A lot of the problems are due to a massive increase in population. Population was 12 million when I first went to school @Pienaar van Wyk Mbeki is responsible for 300 000 deaths due to his AIDS denialism. He believed it was anti-black propaganda Until our politicians accept responsibility as individuals we will be stuck with corruption and the poverty it propagates. @Craig Johnson Heh in this country the public are servants of public servants. @Cerebis I suspect that day will only come once we have all died from starvation. To identify people primarily by race can only be honestly done by people who identify themselves primarily by race. That is what a racist is. I feel sorry for them. @Zuptas have shipped their wealth to Dubai long ago. I travel by bicycle - carbon neutral. "@Kevin SANPARKS is asking for people to go cull hundreds of ostriches and thousands of warthogs because there are too many. Far too many humans Zondo is blindsiding his evidence leader. "I think most people don't care about the race of their role models whether it is in music
Ernestine Groepies-Larey,witness has an attitude 😡 true gert
Xolisa Ndevu,this person is arrogant
Richard Masigo,Arrogance won’t work here he must answer
Gabisile Mahlangu,So arrogant! @Peet Venter Very Hot! 😅😅😅 "Why is Zondo trying to play nice with this guy
Craven Morehead,Dodging questions and showing arrogance Zondo must put him in his place Looks a lot better the enca stream is horrible What is this chit chat about really? Lol now he sounds very guilty More friendly chats Can we get back to work? Really Zondo this is wasting time
Moonchild,@Craven Morehead - hope the syncing is better here 🙂 ! This Nhleko is ducking & diving & Judge Zondo is being too accommodating. Deflect all the time!!! He's trying to creat rapport between him & Zondo & then pull the wool over his eyes. I sincerely hope Zondo can see through this!!! He continually will not answer the question in a straightforward way!!! This is really irritating now & I'm getting angry. @Gift Mazibuko - absolutely agree "It's also very frustrating for the evidence leader You can hear that even Zondo is bored with this long-winded testimony! This is really a comedy of errors! They spent most of the day sorting out the pagination instead of getting on with the testimony! Now they are talking about food!!! I can't anymore. @Mpotseng Lebentlele - I agree but he needs to be more assertive now & enforce Nhleko to get on with it & answer the questions directly. @Mpotseng Lebentlele - hope so 🙏 @Bophelo Malapela - I think he needs to be more assertive with Nhleko who has been ducking & diving to avoid answering to the charges. "@Bophelo Malapela - if you don't know what assertive means @Bophelo Malapela - not at all. It is merely a question of him guiding this witness to answer the charges succinctly & directly. Nhleko is skirting the issues & we the tax-payers are paying for it. @Mpotseng Lebentlele @Bophelo Malapela - I won't dignify those comments with a response. "@Mpotseng Lebentlele - agreed & I was not being disrespectful @Mike Mike - nothing ever seems to change. "@Mike Mike - one solution is voting them out of power "@Monique’s Makeup - that's a bit of a difficult one as no political party is perfect by any means. I think the best option would be a coalition of the DA @Monique’s Makeup - bye! All the way from Texas 🙂 @Thomas Cleghorn - Nkosanathi Nhleko - firepool minister @Mpotseng Lebentlele - who are you speaking to? We are all South Africans & are entitled to live in the country of our birth. "@Sal Abdulla - yes you are right "@Bophelo Malapela - the Nats were a terrible racist regime & apartheid was a crime against humanity but the point of democracy was supposed to be the end of racism "The fact of the matter is that the ANC has ensured @Pienaar van Wyk - agreed "@Mpotseng Lebentlele - Cry The Beloved Country. If you can't see that then I'm not sure where you are living. I want us to uplift this country together @Mpotseng Lebentlele - don't show your ignorance & disrespect by playing that card! It doesn't work with me. "@Pienaar van Wyk - exactly right "@Pienaar van Wyk - you are wasting your knowledge on certain people here as they don't want to see facts "@MIKE DURBAN - yes @Mpotseng Lebentlele - if the cap fits .... @Mpotseng Lebentlele - 🤣 you are hysterical. You don't have a clue what you are talking about but ignorance is bliss! "@Mpotseng Lebentlele - I know exactly what you said @Kevin - and alcohol "@Mpotseng Lebentlele - by the way who is ""we""?" @Mpotseng Lebentlele - let's be clear - I said apartheid was a racist regime & very wrong. I then said 1994 was supposed to be the start of our new democracy without racism - that has not happened "@Bophelo Malapela - I'm sorry to hear that @Bophelo Malapela - please give me an example? "@Pienaar van Wyk - yip @Pienaar van Wyk - called the NDR - socialism & communism is the path we are on. "@Mpotseng Lebentlele - ha ha @Mpotseng Lebentlele - you are talking about yourself I'm afraid. "@Pienaar van Wyk - and eating their pets & sand to survive! Look at Venezuela & the poverty & starvation in Zim "@Singi Mathebula - that is my point @Craig Johnson - exactly. Divided by racist ANC politicians as well as the likes of the EFF. Just remember that other countries who were colonised have become extremely properous & economically wealthy eg Singapore. It took them far less than 26 years & no excuses. They just got on with it. @Bophelo Malapela - I am talking about colonisation. I didn't say apartheid. Please look at the facts once again. Do your research. @Craig Johnson - awesome. @Kevin - so true!!😃 @Mpotseng Lebentlele - you still didn't tell me what contribution you are making to uplift SA for the benefit of all??
Alex Ngoy,THIS MAN HE IS ARROGANT BECAUSE HE HAS GIVEN A CHANCE TO DO SO
Peet Venter,A bit hot under the coller Sir? "scratching you head does not change a lie into the truth clearing your throat so persistently is an indicator of lies. As a police fundi you should know this but
