author,message
Muzamani Ronald,waiting for u Mr zondo yooo dis is mr Zuma for u.guys
Granny Mokwena,"my favourite advocate I'd back she's thorough and she follows up every answer.
Vutomi Mkhabela,Morning everyone i like this advocate she is prepared
mandla mahlalela,Mrng to u too
Jabu Nhlanhla,vutomi hi Lorraine dube is for a car RR yes thami she's gud born free zama indeed injalo thando hi is ramasike he don't witch to come back yes zama
Raymond Mabilo,hofmeyer tsotsi maan he knows that is government money....
Claudia Nozipho NGUBO,"hello everyone dedelublood boy musa ukucasuka!!!
Sekake Moshesh,"Advovo is back
Sindiswa Moolman,She’s my lesbian crush...if I was one. "Hahahaha @Pastor J. I mean Sho @phelelani Mbeki. I can see that she’s on demand. She says she met with the Top 6 before her withdrawal of her resignation @makhosi nobhatyi. I can only guess that her Top 6 is the SG and his Deputy. I think he left the Commission @Ashne Hesselberg. He is now representing privately I agree @makhosi nobhatyi. The owner of Koroneka who have testimony on her involvement in the SA Link tender has fled the country. "Her lawyer has no idea She received death threats @carnoth ngomane Very strong and clear voice @kenneth arceo My Q exactly @carnoth ngomane Big time @jenelle Chetty This man is guilty of something. The moving of cash between banks is suspect Yaaa... @Thando Nkutha. He’s giving us a.. would have could have and should have situation It means I blocked this Jacob Zuma a while ago because I don’t see his posts. He is guilty of something @Norman Zwane but he wants to explain it away. Ndiyamsizela @Zama Kubheka. But he has time to consult his lawyer now. Ms applies to both married and unmarried women and Miss is for unmarried In Port Elizabeth @Zama Kubheka Zuma is a traditionalist. He wouldn’t like being grilled by a woman @Yin Yang. Hope they will assign her for Ace @Uys Ehlers. What I have noticed though is that Pretorius handles all high profile individuals Ya right @@Born free and I’m Cyril Ramaphosa’s wife. Hi @Juicy Biz Tv. Long time Steve Hofmeyr’s wife is an actress Say it again @Danie Nilsen and it’s an insult to suggest that this Adv can even consider marrying Steve Hofmeyr @Andre de Wet and then there was a fitness instructor And I’m about to consider blocking him too @Zama Kubheka @Thando Nkutha He lied to cover more lies... now he’s caught She has a delegate @Gee Peex1 "He lied before and he is lying now. From here Buying time means buying time. And his goose is cooked @Andre de Wet. He’s is big trouble. I love her energy @Thando Nkutha Yes @Thando Nkutha and she’s enjoying herself on that podium. The witness has his team of lawyers to prepare him @Gee Peex1 He still has the loot he got from the state @Gee Peex1 Hahahah @Danie Nilsen Please provide context sir Ppl like this one and Anoj Singh are giving the CA(SA) designation a bad name. It’s about a SA Link tender @Moses Sowage Ace will come after Musebenzi Zwane That’s a fact @Musa Mabunda @Sihle Xhakaza Yes... the best @Ewald Kruger
Thapelo Motabogi,😁😁😁😁 "zondo is concerned "They are done with ace magashule
vincent kganyago,slender is back
Tebogo Makoro,Lesbians who is this bald cat? looks like one of the sheik brothers
Pastor J.J,@Sindiswa Moolman Any confessions this morning??haahahahaha @Thando Nkutha Yes Thando. Believe it or Not. She is back. @Vuyisile Ngesi Vivien Natasen CEO of Neo Solutions. Part of the SA Express enquiry @Jacob Zuma When are you returning to that place you call home? The sewers @jenelle chetty Dont engage the idiot @SABC Digital News Please look at posts by Jacob Zuma
phelelani mbele,leave her alone she is mine
Antonie Engelbrecht,she is totally efficient and well spoken zondo.....eff off
Mthuthuzeli Ntlanyana,Gumede withdrawn her resignation letter as kzn mayor......ANC i don't weather we are moving forward or backwards... this advocate z here to do her job "what happened to the school kids were protesting in Durban "if u were to be president of SA as things stand
Lorraine Naidoo,morning mayor had a meeting on Monday with top six then withdrew crook this men eish what a lie hybo tell the truth don't ague he understands. very well he is so arrogant 🤣🤣🤣😂😂 this men is a crook 😂😂😂😂 Zama I want to join you for the funeral sana is it free . Zama he gave alot to the community in PE ANC members willnsy Will attend the funeral 🤣🤣😂😂😂 this is a S.A Indian put us in shame
makhosi nobhatyi,Gumede must be fired from the party "I am having problems with ANC how they deal with people when they cross their line Put Party in disputes When Mxolisi Dukwana comes back? @ Keith S Dinabantu yes I mean exactly that "@ Keith S Dinabantu I like when he clarified the matter of CR17 @ Keith S Dinabantu he tried many times to challenge Ace Magashule to lead Province but Ace was beating him by buying people with Guptas money He is CA by qualifications?
Thami Ngwenya,"vote of no confidence Zondo is laughing this chap Uyabuza lomama this man will sweat This Gupta is finished "Sexism is a crime This advocate nail PP at the constitutional court On South African reserve bank case
Edd Dance,"😂😂😂😂😂😂Mthuthuzeli Ntlanyana ANC is in trouble man
Nkululeko Malapane,Interest vs Passion Lorraine... indeed he didn't understand😂😂😂 this guy knows how to play his game @Mthue... I hear you loud and clear 😂😂
Thulani Bukani,how ive missed adv Hofmeyer surely this isn't Steve's wife?!?!
fikile mbokodi,my advocate i also missed her chiskop chap my two favourite adv hofmeyer and adv mokoena its a battle here wow yes its fire yah is what he thinks this guy is doggy yes zondo yah he need one i wish all the witnesses to be cross examine that is my wish yes zondo is very alert too much he lied before he even come to the commission he is very queck to answeer does weed give energy hahaha woow she is married guys please lenkunzi iyamjonga hahaah yasela amanzi lenkunzi hahaah now its watsapp he likes to move his head he is coming second time lol lunch is at 1
Fickson Makhense,"My Advocate
Ashne Hesselberg,"Does anyone know why one of my favorite advocates Thanks @Sindiswa Moolman 😭
Seonyatseng Mosala,Ashne Hesselberg i dont know tell me
sello mokone,He look like a crook this one.
Smith Koohwelang,HE HIDE SOMETHING
Analie Mabena,🙆
Damaking Alie,Thats what man do...we sell buy vintage cars and cars are made from parts....this advocate..what you want to get at.?.. Lorain i think the advocate is arogant....
Chumisa Coangae,hi everyone who is this man? I have been asking the same question and I'm still waiting for a response from anyone who knows @Vuyisile Ngesi
Londiwe Twumasi,Much love for Miss Hofmeyer😍 yhoo this guy. Too much contradictions baba
Mthue Nkomo,Adv Hofmeyer has that thanggggg. 😘 @Nkululeko Malapane. She just flows 🤣
Vuyisile Ngesi,who is this chiskop chap?
kenneth arceo :,beautiful ladies handsome gentlemen nice day thando can I dance with you Sha we they are all inocent Ms thonda just dance with me and smile regga reggaeton reggaeton building party with green panties reggaeton party this is a reggaeton party especially no marijuana she has a beautiful voice hi there Philip prince yup sir/ma'am can you topic about the first born baby to a woman can be free to hospital woman suffered pain on there baby birth then they paid to hospital pain and paid maybe that is wrong firstborn is issue free tuition in school I like video blog disaster we like danger all armforces hiding when the typoon attacking there are two kinds of lie lie can save life lie can put people in prison I like underwater dancing tunnel submarine transportation bcoz churches doesn't pay taxes poor people pay tax churches use Christ to earn money they lie to save me they are also a mother and father to there house open your eyes churches doesn't pay taxes poor people pay tax she is a brave lady advance Merry Christmas to all all around the world many people I see in tv in fb news has no compostable toilets many people has no stable toilets
Cotenay Wilbre Hoorn,The devil’s advocate. 👩‍⚖️🥰
mafuta,this guy is going to block up all the 🚾 's in the building.
Sam Monkoe,@Vuyisile Ngesi CC = chiskop chap lol
Linda Shabalala,msholozi I believe you Msholozi You shall find one Msholozi kwaaaaaa umlungu msholozi yooooooh JZ's mind is being haked by whites
Thobeka Mbatha,Hawu @Jacob Zuma 👋👋 We know mfokababa @Jacob Zuma @Jacob Zuma...another one??? 🤣🤣🤣🤣🤣 @Jacob Zuma OUT OF ORDER @Jacob Zuma
Zama Kubheka,Hofmeyer is back....yey!!! this is crook...u can just hear the answers lol @Jacob Zuma take Hofmeyer lol yesssssss Hofmeyer yessssssss the attitude of this witness This woman is fire!!!!! yes @Tinotenda Masvisvi She should have taken Zuma I blocked him as well I think Adv Hofmeyer will be killed by this guy lol...The questions by the time its Lunch time tjo uzozichamela @Norman Zwane well coached yes...but i think he was never ready for Hofmeyer lol its in Ms or Mrs? I agree @Norman Zwane is she married?? I want to attend Gavin Watson's funeral...does anyone know when it is? @Norman Zwane 😂😂😂😂😂😂 look at u @Deep Cherry lol... @Thando Nkutha I was abt to ask too @Lorraine Naidoo lol lets get tickets to PE LOL ok its a date @Jacqui Baumgardt thanks for the info 3 more min 442.142 tjo @lefa motlogelwa eish I miss Adv bae lol @Norman Zwane @Thando Nkutha this woman has a ring on her finger. She is married!! oh 😁😁😁😁😁😁 @Juicy Biz Tv hello blocked blocked Im done already blocked 3 ppl in 1 hour "when we comment do you this Adv Hofmeyer smoked weed?? so much energy and consistency geezzz redbull no i dont think so @fikile mbokodi they say so the smart become smarter lol @Cerebis SA would be a better place infact I think she deserves a seat in Parliment @Cerebis but she is already dealing with corruption lol no @Fils de l'homme lol wow also illegal miners called Zama zama who are bantus? @Fils de l'homme I can see...blocked! lol thatha Hofmeyer 10 more min and its Lunch
Mphahlele wa Kgosi,"So what do you want us to say when you say TSEK @ jacob zuma
MUSA HLUNGWANI,Where’s Maleka?
ThembiG ThoseGams,you dont believe that you are zuma? say that again @zama
Mlungisi Makalima,"Indeed 
Cerebis,"Am I seeing things Cat on a hot plate....🐛🐛🐛🤔🤔🤔 👾👾👾👾 🎰🎰🎰🎰 🏝🏝🏝🌋🌋🌋 🏦🏦🏦🏦 @jenelle chetty haha....you are right.....without the glasses ⛺⛺⛺✈✈✈ This evidence leader is well prepared and hits with facts only....no prejudice....why? Answering questions are easy if you are not lying @Jacqui Baumgardt Block and report him Right clic on the dots next to his name 🎼🎼🎼 @David Tuer 😎😎😎😂😂😂 Men who disrespect women are not real men @Buyani Mhlongo I am a real man This guy knows that he is being recorded hey? Rabbit in the headlights look on his face? He knows that he is in the hot curry bowl? @Danie Nilsen Can you imagine if all State Employees were this efficient? I agree @Zama Kubheka She looks happy in her current job.....might find parliament boring and corrupt....??? @Zama Kubheka She has the Law behind her now. In Parliament the political party is the boss.... Eish...Accountants again? Adv Mokoena also works with her And Adv Vincent Maleka "If I was this guy This adv is setting a mouse trap for this guy slowly getting him under the trap....trouble?
