author,message
Joy Samuel,All the leaders need to be jail to many a times they go free make and example of them The ANC P The ANC president has started on the round foot there for a vote of no confidence motion should be place against him
Sibusiso Calvin Sambo,💪
Tich Ziny,"Heyy Technical Director is sleeping on the job! Camera please "@ Felix Muyoba "@Felix Muyoba @Granny Mokwena I agree with you. quite alarming and disheartening. All this dishonesty The Chair is ANNOYED..due diligence might have been compromised here
makhosi nobhatyi,"This counsel will get married now New cabinet tomorrow Well done boy Molefe and singh must be arrested now on Young man is is promising to cement more evidence over Molefe and Singh. They will be the first one NPA will gunning for easy target We will be finds the heads
Felix Muyoba,@makhosi nobhatyi who will handle such a talkative woman? @Tich Ziny yeah..she will shred the man into pieces..i wont lie..i cant take her.. "these people were eating money but how much was the saving? he was supposed to be arrested long time ago 78mill400 thousand that money was just sent to regiment but at the end they go and share it among themselves the money is in the personal accounts.. even this hedging thing is it allowed?
Granny Mokwena,they usually have issues with women who knows what they're doing. all these figures for nothing is disheartening guys and apparently there's no money to build school toilets "MNS attorneys did great is Singh and company still in SA though? according to him all is above board?
Margareth Waterboer,The cameraman likes to focus on this lady advocate...😜 Oh my word.. I just saw some of you noticed the same thing...the cameraman's focus.. Alistair... He studied in UK and Wits We are not aware of the REAL educated and talented people are in "Yes One 'positive' thing about this corruption enquiry is that we've discovered what great and educated B My fingers messing up my messages...sorru He's not implicated. They come to give evidence regarding the acquisition of the trains.. Involved with work for MMS attorneys.. The latter invited them into investifation Investigation... I do the same with my glasses... We CAN see near...but need glasses to see far... This is common. Near-sightedness and far-sightedness depend often on form of the eye and other factors... "Yes "Me too "Yes Judge Zondo QUIET... 😀😆 @lucy. Is this a nervous-breakdown for you? 😜😜😂😂😂😂 Wow!! The judge admits inability to understand without something on paper before him..
Permission Thobejane,mmmm
Lucky123 Thwala,this is sickening greedy official Brian molefe must be arrested as soon as possible I will go and hide Dubai like his friends did
Phillip Cwazibe,"@Lucky123 Thwala What would happen to the board chairman and all other members?
Takalani Luthada,"After the findings witness name Alista Chabi "MNS thanks a million "@Yvonne Morudu "understandable
welton paulse,jirrrrrrrr seems like Molefe stole money everewhere @Granny Mokwena i conquer with you
Masingita Mzansi,all state funds looters must pay back and serve jail terms for their crimes accordingly
Lorna Kavanagh,The looters stole many billions and that is why SA is in trouble .... They should also be charged with Treason.. yes .... there is enough evidence to start proceedings against Molefe Singh Guptas etc etc etc ... It is MNS attorneys
Cerebis,This is so disheartening and depressing! These guys absolute greedy vile crooks? And now the President has been cornered by the Zupta faction and cannot appoint his own cabinet. Eishh This guy and his company seem to have done a great job in this investigation! "@watson mutanga I agree! The first test is if he has a credible cabinet. No 2 is if he facilitates the action to address all the findings of the State capture "If President CR does not positively act I see KP says he is supporting England 2morrow?
Briony French,"Its time for the people to take back their country from these thieves.... Everyone implicated needs to be arrested those Gupta's must be banned from all countries and sit in prison and no more lavish wedding for them to marry their cousins and deformed babies
Mlungisi Billy,the people of south Africa demand justice
watson mutanga,There have been calls by some to support the president of the country. My view is that he has to earn that support. What he does with the findings of this and other current commissions is key. This is the last chance for South Africa to resurrect itself. "@Cerebis I agree 100%. I am not familiar with his cabinet "@ Lee Hendrix For the benefit of all @Tshepo More: the gentleman or the company he works for aren’t implicated. What are you trying to say? Implicated or Involved? @Thabang Aphane: It’s certain that the Rand will weaken over time. If you fix prices the seller will lose out in regards to future transactions. The transactions involved are long term.
Noluthando Masondo,Mncendidi Ndlovu & Sedumedi Attorneys "Mncendisi Ndlovu is the gentleman with glasses
Piet Fourie,Mncedisi Ndlovu & Sedumedi Attorneys (MNS Attorneys)
Yvonne Morudu,who is this guy sound extremely smart guys please help who is this guy tlheee just got on line bathong who is he working for trasnet black excellence.. working for trasnet
Sthakathi Khumalo,THE ACCENT HERE!! A Mmusi Maimane blanket in white companies
Ivan Wolmarans,why now and not 25 years ago
Bonang Sithole,Alistair is a consultant employed by MNS. Not working for Transnet
Tshepo More,He's working for ALL5 Advisory Company. Executive Director Profile: BEconScie (University of Witwatersrand)/ Chartered Enteprise Risk Actuary (CERA)/ Fellow of the Institute and Faculty of Actuaries (FFA) ALL5 Holding Company was founded in 2017. Too young to be implicated like this...
Thabang Aphane,"Only contingencies are making sense but why were the procurement prices not fixed over period to avoid inflation
Born free,Oh yippee getting an education on Forex.. something I need Zonda looks confused Just as I am Aah they changed the rates?? Absolutely and he speaks English fluently well the figures may be right but the locomotives were not made for the tracks. 😂😂 😎😎😅 I am blind in one eye and can't see out the other Yes Margareth we could never swop glasses.. my eyesight is the opposite to yours. Waiting on MNS? Yes haha yeah right 🤣🤣🤣 I am a Neuro Surgeon and I am battling to concentrate 😂 I am yielding back
Lehurutse Mokhonwana,@Thabang Aphane It looks like the hedge was put in place but then Brian & Anoj out of their cleverness manipulated the figures. true😀😀 this boy looks smart.. interesting so closer items become blurry when using glasses
Raymond Raymond,definitely the guy is so clever and is confusing most of us including the judges themselves let him even from the start it was not undertable. continue true his evidence is too technical
Nkululeko Zondo,This guy confusing my older brother DCJ Zondo😂😂
Francois Cape Town,Can he start over? I don't understand anything he said Will have to replay this testimony next time i cannot go to sleep I'm adjourning my brain...
