author,message
Blake Yogi,🤸‍♂️🤸‍♂️🤸‍♂️ its happening on ENCa The witness was drinking tea while testifying and chairman was like red light Finish that tea and we will come back 😱😱 @Xolani we will be strong for now. Glad to be connected again @Heather ke pressure 🤭
Keith Fallick,Bundles ready get set go.😂😂😁 "Everyone late  Enough with the jacket already 🤣😂😁
Zinhle Big Daddy Dee,Guess who's number one today?? Zondo give us these crooks on a Silver platter @Louis C for a person who doesn't like the EFF u are very much informed on them and their presence on TV. When Mervin the Goat arrives u will be crying and by the way im an ANC member @Louis C im preparing my departure to the red brigade what party are u?? And where are your friends today?? The ones who support u on this chat @Louis C when i read your mgs i see u regconise u see the work been doing and u appreciate it Mervin the red Goat is coming @Louis C ure easy its very amusing when he brings u to your knees. I delt with u first and then Mervin and now Xolani so relax uve already been beaten over and over again. Stick with your no name part Aaaah shem this guy seems so helpless. Its so sad when u seem them like this Mrs Malahlela the lady who was here the other day already put this guy under th bus!! He is defiantly not drunk he is just sweating because he is in a corner and no way out!!! "Poor guy he's done!! lol "" U did well"""" lol hahahah"
Louis C,@Zinhle Big Daddy Dee Why aren't you at the Randburg Court in support of your fearless Leader? @alowis musodza Pandora has many boxes! We'll be entertained for some time to come! @Zinhle Big Daddy Dee ANC member!..makes sense @alowis musodza 😄 Stick around! @Zinhle Big Daddy Dee I support H Mashaba. And which friends are you referring to? "@ALTA More Dame @ALTA Soos n klip! Cloudy been reappointed? I mean for a National Broadcaster to not be able to cover the Commission that is in the interest of the Nation! I'm not having that!! "..And they want us to pay our TV livences Hendrik johannes Christoffel van den Heever!!! @Xolani J Masemula Assaulting a policeman at Winnie's funeral @Heather Durr And being paid with VBS money "@Zinhle Big Daddy Dee How do you know "@Zinhle Big Daddy Dee Yes "@ Still grumpy @Zinhle Big Daddy Dee Can't you perform without him? "@Paul Buchel Man "@Zinhle Big Daddy Dee Please try and comment sensibly "@Paul Buchel After the case @Paul Buchel He's also got a gun! "@Diana Sekatane Too slow to withdraw the hand from cookie jar "@Eddie Reddy I will NEVER defend Apartheid "@Eddie Reddy So what's your point  "@Sidney P Who Is Judge Z present??? "@Sidney P This is TORTURE "@ALTA Shame "@ALTA Ja @ALTA Sorry as ek te veel praat @Mbuso Ndlovu Prepare yourself! Ray is our next Chief Justice👏👏👏👏👏👏 "@Heather Durr Proudly White and proudly S African "@zip reeper Amongst other things "@zip reeper i know that spelling was incorrect
Heather Durr,Where is the video/stream WHERE WHERE IS SABC @Xolani J Masemula @Blake Yogi @ALTA Hi everyone-my friend Lawrence Hodes is on TV defending Malema. He thinks he is Myburgh-I must have a word with him @Xolani J Masemula No you just missed the tea international incident My WHITE friend is representing Malema-??????? DCJ lose the attitude pppffftttt @dada ngova You talk crap--that is my friend-he said nothing of the sort STFU @Eddie Reddy It only became a relic after 2000 "@Abdul Kader S The Yanks have Blackops Hodes has been Malema's attorney for 10 years. Hodes has always acted for shady slippery characters CNN here we come-Ramaphosa makes me wanna hurl 79 000 new COVID overnight in Maggotland @Ntsikelelo Vani Hodes is known for being seedy and sleazy and acting for shady clients-its easy to get a guy to contradict himself on a blurred video where you put words in his mouth. @Aubrey De Bliquy So what did my sister die of @Aubrey De Bliquy dont go confirming your fascination with conspiracy theories and dont underestimate my ability to identify facts that are scientifically proven @Aubrey De Bliquy Oh I do so love passive aggressives I trust they are going to make up this time over lunch DCJ is determined t o have his lunch 🙂 I thought he looks like that guy who rode into Ventersdorp on his Horse-Piet someone @Jenny Whitewaves Thank you for all you do Is it just me or is this oh soooooooo boring
FieliesSA,Im watching it now Oh you mean the EFF court case or Zondo @Heather Durr
Paula Cooke,SABC LATE?
alowis musodza,Where are they now??? Guys what are we going to do after this commission. It is our own reality tv channel... @louis c you think so... I thought this is the deepest we could go... It’s on at enca but they have adjourned for 5 minutes The witness had already imprisoned himself...
Gray Lawrence,"goodmorning everyone yes
Xolani J Masemula,"Okay really now! I am so amped to hear how Hoefeyster tries to defend himself Anything on eNca? "Okay we are 13Min deep now Wonder who's trolling today? "GM @ALTA @Pastor J.J @Heather Durr @Zinhle Big Daddy Dee and everybody "We have probably already missed so much evidence😡😡😡 already "@Blake Yogi Small blessings What are Malema and Ndlozi in court for exactly? "@ALTA @Louis C Badam tishhhh! "Is Mr Tjebis What still nothing? Oh no I pressed the pause button🤦 "@ALTA I am embarrassed
luzuko masoka,where is DJ Zondo now they are still bagging the witness not to lie under Oath
Person of interest,Who is in the 🔥 🔥 🔥 seat today please? must we go to enca?
ALTA,xolani loyis c heather GM oops typefault.... louis c GM pastor GM xolani.. i think it was about that assault case on ms.winnie Mandela funeral valencia hallo bongile GM diana i agree Naledi hey hey😘😘 louis c ..yes he is louis c ..... 😁 louis c .... jy vol dinge vandag nê "louis c ... ek stem saam louis c .... glad nie my vriend😁😁ek eet popcorn en geniet die show zip ....goed en jy zip ...judge said they would take a longer tea break this morning i can only smile zip ..... silence is golden... yes from silence is golden zip yes paul hello zip .... that's from *sounds of silence.... paula.... on tea break @Ronel Eksteen yes babette ..they said 25minutes babette ... pleasure zip ... then im of😁😁 "zip .... if ""your"" goat is in😂😂" zip ... ok yes zip internet buffering xolani.. refresh ..i had to do it as well internet buffering xolani 😂😂 xolani... dont worry it happens to all of us paul ... i agree aubrey ... if you do ... what would you do if your daughter/son was diagnosed with covid-19 aubrey ... so please so lets focus on this commission aubrey... we are focusing on statecapture louis c .... ek raak nooit betrokke by argumente nie ... maar jip ek het verloor 😁😁 naomi hello there zip .... is this willem? zip ... oh ok @Louis C ... wat jy gekoop by dischem ... hul het lekker choc's
Pastor J.J,eNCA is live for a while @ALTA Mrore Liefie More
Natalie Soine,Late AGAIN?
TheQueen V,nie Dai windhond nie
