author,message
yengkhom Jawan meetei,prizes drop me soon quickly sir please drop me now i fight them all now i am your community i say now
Matlou Samuel,Morning
Yusuf,reverse racism is real. we are still led by a racist government a communist party
Padmakar Jha,dr padmakar jha political science jpu bihar
Siyah Shongwe Live,Eh sekunjalo
Hloniphani Ndlela,just a waste of money.
Tsholofelo Lebelo,True.
Carl Kennedy,"the money was just ""resting"" in my account before i moved it along ." "there are two issues  "this guy is great  "can i ask do you all know the music of Sixto Rodriguez . i watched a documentary called search for the sugar man 
Maryann Diamond,😂😂😂 I'm watching this for a lil entertainment 😁 true Carl 🙄 you wont have problem articulating yourself if you just tell the truth 🙄 state wont be a state if it's not a captured . History continues to play out. just as racism is on live support kept-alive by politicians.... true #dm70
Thulani Ndzuzo,Morning comrades "When is going to be called the head of state capture "" Jacob Nxamalala Zuma"""
Salmaan Abrahams,Thulani mornings :goodvibes:
Nyiko Nkuna,This will go on for a very long time
Mbuso Ndlovu,@Stronger together Hi we are stronger together The state will always be captured
Thulani Bukani,Morning South Africa How much do we still need the ANC as South Africans? It seems like everything wrong with this country starts with the ANC
PETER STAFFEN,Mbuso Ndlovu ​ not if the law is in place and not part of the crime
Tumelo Mokhele,morning all
#dm70,"This commission is another waste of time and taxpayers money 💰. Noone will see their time in orange overalls as is always the case. If they get convicted
Jeff Maja,"We must know that states 
Cbo Ngubane,Morning SA. Didn't know that we're back on State Capture.
Max Muskat,"What levels of corruption is this guy talking about? there's been no prosecution "All that's going to happen at the end of this trail "I can't even imagine the fall guys getting into much trouble. They'll be forced to resign
Nkosinathi Mlambo,The EFF is a carefully constructed version of the ANC. We see this when the EFF brings motion to the parliament and the Main ANC has to oblige. Should the people vote for the EFF and the ANC becomes n
Dan Berriman,"There is no hope
Ndhuma Hlungwzani,I
Tamlyn taylor Naidoo,Ohja
Otshepeng Gosego Pampoen,is very cold in here
DDNSSX,:yt:
sandile dube,This commission is just a waste of taxpayers money.
Laurits Stokholm,Can someone recapture the situation here?
Peter,bring back uncle Agrizzi
Masuku William Masuku William,Is there any progress here? Mr Molefe enjoys saying yes to each question asked to him. The court is practically adjourned.
morne welgemoed,need a flight from qatar
Siya E,we will never get the truth from Politicians... this people are professional visible liers.
Lienky Olwage,Keep boders close all crimalns in sa SUBCRIBE DEZZ 001
Diana Sekatane,"this is sad for a party that calls itself a people's party
Zola Pinda,"Dr. Popo Molefe is delivering himself in a very handy fashion. professional very compelling story by the former chairman of PRASA. indeed very tragic. He's the only senior ANC person I've so far seen coming out strong on what's going on with in the ANC.
Johannes dithomo Mtshweni,"What ever molefe is saying just covering his skeletons as the know how they hire people and they can't get rid of the service providers such as security
samuel molope,sad no one wanna take the responsible
mandla sesanti,Malusi Gigaba is the architect of State Capture I have evidence
Enoch Dipela,"What we are hearing is heartening and leaves much more to be desired. This is state capture in action - we @Margareth Waterboer. i am also asking myself but Herman is Mashaba not Mashabela "@Margareth Waterboer. Okay The chairman is putting the reasons very clear....cover-up for each other..
Margareth Waterboer,Can anybody enlighten me please...which Mashable is being referred to here frequently..Herman? "@Enoch Dipela. I hear Mashaba. I listened...and heard Mashaba again. Sorry "@Enoch Dipela Yea
Rekha Birhade,Tik tok ko vapas lawo aur pubg ko bannd koro in india
Bruce Thackwell,"This is like a side chat commentary that never ends while the corruption just keeps on rolling on into the sunset Too late you can’t fix it Too much Comrade and too little common sense. It’s not a case of bringing into disrepute it’s lost credibility The real ANC is corrupt smell the coffee
G Ellis,This is tragic to hear.
Lungisani Mabaso,Thank you Cde Molefe...wise words indeed
goresmonster,"yip
Муха,что
Akhonamandla Gala,thanks Mr Molefe for reviving the values and principles of the real ANC of the Thambos and the Mbekis
Sundie Nells,POPO MOLEFE FOR PREDIDENT!!!
John Venediger,I am GREATLY encouraged by what i hear today.
