author,message
Thando Mgodeli,GM guyz
Diane Louw,morning they removed a piece of root and new denture as she doesnt know what she did with it grrrr cooked potatoes in microwave and was not done so i put it in for longer. when i took it out the cloth got caught on the microwave catch and rest is history morning akk all i mean <<<<< read heading under live stream tx Mfundo holiday makers please stay in your Province!!!!!!! is she HR? associate director she is nervous turn down her mike hi valencia j shame she is very nervous......and proud of her accomplishmeng kabooom interesting hey Heather jip and keep their credit rating heather what a list agree Hosia got a second bottle hi @Teunis van Ree dankie vir my rose... VBS Bank? a rare one so far @hirsitus and there that smile from Adv Seleka yes morning Alta how do you unblock someone @zip reeper millions apology i must of blocked you by mistake so so sorry "let her talk me too placed it under other papers Alta "they said the placed it ""previously"" but eric woods did not either see it or process it in time...at Alta" yes DCJ dcj knows her evidence is important... time for pain meds..... matric exam court case is live "i think that if paper was leaked in Gauteng but wasnt it leaked only that morning of the exam? yes Atita .and that it wouldnt be written and then the Minister went and changed her mind against all unions and teachers Atita yes they say minister must explain cause she went against all ;only paper was leaked so you will still have to arrive at the correct answer Agree Kido Kids personally i think they want to rewrite as most did not know what they were doing and paper was at a high bar so they want to rewrite at a lower bar and more to pass imho 100 % agree Atita lawyer is making a point that this all has to be with upcoming budgets that are given to schools for next year on how they preform now heather he said this break includes the lunch break agree and no long trials - facts are enough to convict at kido or he has in dubai lunch and due to start at 12h45 i object to all the live funerals etc that are been shown - its cost RRR and that monies could of been used to pay for salaries etc...... what the heck!!! zoom meeting again grrr oh my word.... all on mute sounded like it zip "hope they kept her away from any calls ex life partner proof of what she said earlier she is nervous cassim very carmen no zag its disabled lot sure where he gets his facts so i cant comment zag well said Ms Msilo Mothepu yes Thabo i agree huge difference Heather lol Valencia welcome Shari oh i like the judge in the exam paper debacle waiting on the zoom guyw ooo we back tell me lies tell me more sweet little lies... dcj is thinking ahead..... put your earphones on dammit to hear properly all there excuses!!!!! he cant hear but he can answer the question asked - really... oh my hat dont they know what to do.......pathetic haha Fezile and he can hear Praise the Lord they can all hear from where did we receive those monies wb naledi what is this man trying to do here well this man is making me want to dig deeper into all there transaction with SA its just Free State everytime.. boggles the mind Namagon H bee their license to do business should be withdrawn yes misunderstandings hahahah Pastor JJ has not been in yet today loaded ????? @Heather Durr for sure FBI/Interpol can trace anything Mr Holden could assist you with trancing tooo here we go - finallly judgment on matric exam rewrite to be handed down tomorrow by 14hoo pleasure Naledi they should use marks from previous exam basta we had home economics and needlwork when i was in school..... oops needlework yes school was fun and enjoyable then and we worked hard and we were scared of the principal and teachers unlike today @Naledi Barron heck no Louis C and to get detention was a huge huge thing... jaja oh yes the pink slips hi vanessa "hair was measured with a ruler yes and you had to wear the school colour panties and if you didnt... oh boy and boys walk on the left and girls on the right of the corridor and heads down...... and he is still waffling.......grrr ty Naledi hello @Mannetjie Joubert big moral and ethical conundrums @Antoinette Meyer conveniently wonder how much the zoom meetings are costing us... hi canis africanis afternoon been a waste as we have not learned anything new imho cc cleaner could retrieve deleted data so... got him.... you clicked that hey Sanfran... sorry cant hear you.... hahahaha this people are so predictable when they are cornered in a lie.... funny the lawyers hasnt said he has a problem with hearing like before.... have 2 kittens - my grandchildren Heather hope they all sterilized Anti Suz Shari i was never a cat person until my son came home with 2.... was supposed to be his and the boy has become grannies boy... ag sorry Louis C getting to know her Aubrey that is cheap... so Anti Suz what is your plan nice names and the other 18 @Anti Suz yes we know you Louis C oh okay Anti Suz oh we back dcj is colour co ordinating mask with his tie - nice we would all love to see and hear his stories Lerato do you really think they didnt know what he was up to - i think not i think we havent even made a dent into the scraping of the bottom of the barrel - there is so much more.... wb Goat @Mfundo or someone told and they had no choice but to come forward themselves in order to get a lesser charge i dont know just heard it hear.... here valid point Adv C bbl going back to hospital...keep me posted... bye bye thank Naledi - lekker bang....
Heather Durr,Hi @Diane Louw @Thando Mgodeli Hi. Diane how was the dentist and did you see the McKinsey offering. I think they can afford much more @Lynn Barnard @Tommygun @Mfundo @Nkosinathi ngidi @Barbara Sattler Hi @Gray Lawrence Hey there @Gray Lawrence Its all mental @Lynn Barnard Hi there Welcome to the second wave and ZAR 650 million offering from Mckinsey @SanFran Arnold Hey there @Quinton van Eeden -Hi Well Mckinsey has agreed to pay ZAR 650 mil back in light of their dubious dealings @Mfundo I think they owe in the Billions to be honest I was an associate director at Deloitte legal She is worse than Nadull with her water @Valencia J Hi She is determined to tell her story and is determined to get it out-hence the water everytime she is asked a question Breathe lady breathe Oh a debt to equity ratio of 1/3 which cant be breached @Diane Louw How to fudge the books @Diane Louw Spot on ! Oh its fascinating.................................... LOL That waterbottle is being abused 'muncipalitities' Haha @Teunis van Ree Hi "@Mfundo @Louis C What can you benchpress "I am not a bro @Mfundo Due to Covid I currently only do cardio which I hate every day. I used to work out in the gym doing weights and boxing @Maryann Diamond I train in the pit with the guys as I can squat leg press and deadlift pretty heavy weights-I dont do classes only high rep lunge/squat/stepup supercircuits with light weights. I do interval training on the stepper her ex lifepartner??? So now he is covert ops @ALTA Hi my sweet Hearsay [squared] TOO MUCH DETAIL 😂😂😂😂😂😂😂Let me just lead the evidence When is Hlope on-anyone know "@Dan Brown Hey there @Louis C You were amazed at the music I liked but then I have stuff all technical knowledge-i just knw exactly what I like DCJ is so protective of his lunch time-iyt is probably the year end xmas party for concourt judges @dee dee alleged 10 minute speech then lunch [heaven forbid he misses that] then back here @zip reeper How could I have overlooked that "@Diane Louw Yes "@zip reeper Not really more accounting stuff as lawyers like me @zip reeper I would just be happy with a job-its a @#$%^&* nightmare. I cant even score an interview "@zip reeper Yes She is still raw and hurting from all this-scared and shaken @Thulani Dlamini What? @Thulani Dlamini Whatever blows your hair back-go for it "What an incredible lady-comparing her to Daniels @Valencia J Did you greet me 😂😂😂 So these are the guys paying ZAR 650 million back to us which should be 1.5 billion in terms of actual cost of their corrupt facilitations "@Valencia J rather be the witness than the wife That media notice re McKinsey was a masterclass in terms of drafting-wonder who did it Cele is such a gangster @zip reeper They would need a notary public - its a whole complex procedure how is that-perfect statement without admission of liability No wonder SABC is insolvent and overstaffed A fine line between USA securities Law French Law and SA Law @Diane Louw pretend to be repentant and limit further claims for damages @Naledi Barron Hi there-I miss Oxford Street and the shopping Deloitte is just as shady as KPMG esp their Consulting arm Its a USA company oooh................... @Diane Louw There is a certain individual that really upset him with his wild outrageous crazy offensive conspiracy theories Chaskalson would love to tear him to pieces but cant coz of the settlement-so many contradictions Cele should go and live in Sicily-Don Bhekioni @Diane Louw So true ...or who has mustaches as were skirt lengths and no lipgel couldn't even use Vaseline on the eyelashes This guy needs to shut up now-its getting creepy in his grovelling Why are we giving them the forum to apologise to the world-?? Cringe........... @Naledi Barron Agree @Russia Magezi My Fellow South Africans tomorrow night says Mkize @summer de nobrega Frenchman "Deloitte has that culture-it is all about fees. Lip service to empowerment @SINQOBILE STHENJWA I LOVE the Blacklist-best TV series Sexism needs to raise its profile I abhor it Are PG and Koko and Mpofu on tomorrow I am delighted Chaskalson got the chance to strangle this ferret and suddenly all the oxygen was sucked out of the room @Diane Louw You also love cats Awwwwwwwwwwwwww "@Aubrey De Bliquy Speaking of vigilance Next time do your homework to avoid looking like a mindless zombie BOOM BOOM BOOM Here comes the reality of their grovelling mea culpa SABC televising a superspreader event hence our scrolling @Aubrey De Bliquy @Shari Mattera @Anne M. Aubrey stated that apparently Obama had been arrested 4 spying 4 China on 28 Nov & referred 2 Canadian article as apparently the news was suppressed in USA. "He wanted info if it was true I found the article about a CIA agent spying for China. Well so much for us brainless zombies Are these the locos that did not fit Chaskalson is such an enigma-so compelling Johnny English vs James Bond with Seleka as James Bond This guy is very slick yet predominantly credible-unusual. I trust they reward him for that combination of opposites @Moshakga Gladwell You know who she was The Doctor is a competitive fellow-he is enjoying this sparring. Mistake to misread Johnny E You see Dr Fine he is above your pay grade to put it crudely Sounds like a Lamaze class-all this confinement..... @Angelo Doubel Its a procurement process restricted to one or a limited number of Bidders. @Angelo Doubel So you basically get all the benefits and dont have to share @Angelo Doubel Absolutely "@Angelo Doubel Like at Denel I love triple bean salad @Angelo Doubel A contract simply records what you agree-so these types of contracts did pay kickbacks but you can take that clause out or never include it see you guys tomorrow in our ever expanding galaxy When do they rest for the year
RANDOM GAMES,what da just curious 🤔 no offense
Nkosinathi ngidi,morning everyone.
Tommygun,Molweni. morning @Heather Durr always nice to be seen 🙂 Im a bit slack myself. @SanFran Arnold u too 🙂 Tokyo was ex Trillian director? "Zondo shld watch this on youtube "A bit of luck and some education can get you there @SABC News Witness mic a bit too hot... "@Heather Durr Jeez "@Zweli Mkosana Not really a racist party @zip reeper Nice to hear a competent witness who can remember things and be willing to talk about them. "@zip reeper Jealousy? 🙂 All these pay scales are crazy but they are there  @zip reeper I got tons of ambition but no drive...
Lynn Barnard,Hello there everyone. "@Heather Durr @Heather Durr I agree.....much much more.
Mfundo,Sanibona bahlali abane data Today we will hear testimony from former Trillion employee Mosilo Mothepu. The inquiry will also hear from three McKinsey senior partners about money flows in relation to the consulting company. ALL RISE "SanFran Arnold SanFran Arnold🌹 ☕ OR🍵 SanFran Arnold ? "Heather Durr lol the smile She is a bit nervous They appointed her as a director on a strategic basis she was still junior Blank cheque "dominic mabe "1 "Kelly Mpande "alowis musodza She played in the big league "Lerato Moleke Private stories "Lerato Moleke She is singing tjooooooo "Lerato Moleke "Lerato Moleke More water please "Lerato Moleke "Hosia Modiga "Lerato Moleke "Louis C "Louis C "Lerato Moleke "Louis C "Lerato Moleke "Louis C "Heather Durr "Heather Durr "Heather Durr "Thozamile Yapi "Heather Durr Vusi won "hozamile Yapi "Mzalwane Mzala "Lerato Moleke "Thozamile Yapi Kgabi Nyao blame it on Thozamile Yapi he started this trend "Mzalwane Mzala "Mzalwane Mzala "Thozamile Yapi "Thozamile Yapi "Lerato Moleke "Lerato Moleke "hirsitus "Kelly Mpande "sammy sammido "Mzalwane Mzala lol she wants to say more chesaaa girl:washhands::washhands::washhands::washhands::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough: "Mzalwane Mzala See you at 12:45 Lerato "Ramaphosa won the battle in the fight to cleanse the party of corruption-accused leaders "Zinhle Big Daddy Dee Hawks officers from Pretoria descended on the Buffalo City Metro (BCM) supply chain management offices in Chiselhurst on Thursday morning Ace is going to step aside the media briefing will be at 15:00pm today We will have to wait and see if he doesn't step down the stellen mafias will be mad "Kgabi Nyao Tumi must unmute "Lerato Moleke These witnesses who choose to appear virtually have got something to hide "M4L TV - Free Downloads Daily "DokoloCity Year end zoom function "@Shari Mattera . Letsema Management consulting is based in MA This is their office Anne M.. branch delegates get bought and they are mostly hungry forces of the ground "Namarrgon H "Lerato Moleke President Nana Akufo-Addo has been declared winner of Ghana’s election with 51.59% of the vote If I were Salim I would run away right now "Lerato Moleke "Lerato Moleke "Angelo Doubel "Lerato Moleke "Angelo Doubel "Louis C "Lerato Moleke "Naledi Barron "Anthony Ramasike "Anthony Ramasike "Naledi Barron "Louis C mara why "lol Lerato Moleke "Lerato Moleke "Lerato Moleke "Daniel Shishiveni Naledi Barron and Lerato Moleke. M I the only meat lover in this chat? "Lerato Moleke "Naledi Barron "Louis C LinkedIn needs your email verification followed you on twitter dm closed "Brig Rosy Resandt appeared in court on Thursday charged with corruption and defeating the ends of justice in a R500 "Louis C
Barbara Sattler,Guten Tag
Gray Lawrence,Goodmorning everyone "Goodmorning Miss Heather Durr
