author,message
Time Hour,who is in here?☺
Jane .Blamire,Hellooooo.... his salary was R3.7 million FYI...our president earns R3.9 million now and this idiot earned 3.7 4 years ago...???? well.. he hasnt answered the question we can use them...hahaha. they used you @oupa makola you need to go do some reading on the losses at SABC because of him.....he believes his own lies Beware Narcissists are confident and charming and appear honest. dont be fooled
skeetpetegibbs,Bliksem but these people can waste time. JOSH PETERS. Then you are as stupid as him.
No 1,TaxPayers Money - Rap Up and Jail sentence!! Even the Police Force Minimum Requirements Matric - and so how many of them have a Matric?? The Reason they won't let go of the Matric aspect! Hlaudi was on the Board and misrepresented himself in terms of his applicant!! So he needs to admit to his Lies full-stop Lies won't save the Nation also!! @Thando Nkutha in 1994 all schools and education forums open for everyone? @Lehlohonolo Tsoeute 😂🤣🤣🤣😂😂 "@Thando Nkutha Schools are for educations not for any other aspect "@Thando Nkutha yes I do sympathize with conditions though If you disclosed why then put false information about Matric grades!! Eish! 😆😅🤣😂😀 @Thando Nkutha - Education POWER!! and many of us just pushed through all the BAD to be Educator to possess the POWER to know right from wrong and further our lives Mrs Swanepoel - wrong advice given 😉 "I think he is passing the buck "He falsified his symbols - how can SABC keep him in their Employ You Lied!! Jail Time @Jabu Malinga 😂🤣 They catch the Fish they were looking for!! Eish 😅😂😂 I am a 🐟 CATCH ME!! @Lorna Kavanagh 👍 @Born free 😂 Producer Executive Producer Specialist Producer 😂😂😂😂😂 Jumped from CEO TO COO 1.5M jump to 2M @Xoli Mbatha 👍 HR Custodian but they never picked up you did not have Matric Fish? 🤓😂😂🤣😅 "Eish!! The position was advertised!! Wow this evidence is enormous 🤔 How do you appoint the COO when you still advertising for the Position? Someone is confused! @Shadrack Dichaba @lucky Molepo eISH!! Hlaudi Honest? when he lies that he has Matric and fake his symbols!! 😀😁😂🤣😃😅😋 Curry but I don't think they eat MEAT 😂😂😂 @Michael Wild 😂 Bless your own People First 😂 Yes your Family Blessed because you appointed yourself and was earning more then 2M eish!! 😂You have different Race Groups and you need to cater FAIRLY for ALL not just SPECIFIC @Hloniphani Ndlela Eish!! wake up we in 2019 Lekker!!! 😂🤣😃 Do research give the People paying TV Licences view Content they want not what others decide Ibori committed Millions of dollars Money Laundering Fraud in England and was received as a Hero in Nigeria - This is local content 😂 Stop Race Remarks Racists @malizole mnqwazi 👍 "Hlaudi! agree to a point but also as Broadcaster you must reveal the truth not half truths Just Broadcast the Truth - thats all!!
Derick Mampuru,but what was so difficult to complete the matric or maybe I just don't understand what was difficult about completing matric 🤷🏽‍♂️ "I think George is trying to say ""they've hired me "he needs to come back tomorrow "I love the way he's so comfortable with everything George never lied... Period!!! 🤣🤣
Born free,What talent did he possess to be head hunted?.. I think he was Alvin Kloppers garden boy. Bring back colonization Today you will pass with F Especially with the likes of Zuma.. no-one needs Matric or qualifications . Zuma set a precedence. So his highest Matric Symbol was an E..eish.. I think it is an exemption today 🤣🤣🤣😁 "Combine his symbols.. E He failed matric dismally and never wrote again Outstanding.. meant they were waiting for his matric certificate. His sin is the desperate state of affairs in SABC 😆😆😆🤣🤣😅😅😄 That's why he is the Former COO Ahh Shame he has come along way.. dreams can come true. I but all my degrees I buy all my degrees I fly for SAA but I bought my pilots license I could not pass my aviation exam so I paid for the certificate Trump has created millions of jobs and has the greatest economy in the world.. you cannot compare our leaders to Trump. Don't insult Trump. Reverand Rawhide.. c Reverand Rawhide.. Can you notice the deterioration? Trump victory 2020 All SOEs are bloated including the ANC government. He was appointed by the Guptas The Guptas governed the government Guptas were share holders Capture the private sector.. repeat that.. Vegetable curry Currying Favour Bean Curry Why would America want to play African music. Nutter of note Ban Malema. Don't waste footage on Malema Smart 🤣🤣🤣😂🤣 Julius going to jail soon So he does not want the truth to be aired on TV You cannot glamourise people being killed and dying on the streets.
Derek Main,"@Derick Mampuru Exactly - if Hlaudi is as smart as he keeps on claiming @This Is Balls There is Orania for people like you. @Xoli Mbatha But not at the position he was employed - only at much lower levels. @Thando Nkutha Even not-so-intelligent people pass matric. @Thando Nkutha We can't advocate a situation where board members don't need to have matric. That is the absolute minimum they require. @Thando Nkutha What's the point of wasting your time getting a matric then? @Thando Nkutha OK - playing the devil's advocate. I like it! 😀 "@Thando Nkutha I agree that matric is not the be-all-and-end-all. However @Jabu Malinga Or because he's corrupt enough to meet the ANC's criteria. @Geraldine Gaggia Maybe you should apply to SABC for a job? Hlaudi was too dumb to even buy a matric. @Sthakathi Khumalo Sure - if the SABC is privatised. Glaramotise? @Thando Nkutha I can - it rhymes with Cloudy. "@Thando Nkutha It's difficult to type the ""Hl"" bit" This brand of censorship is exactly how the Nat government argued for their censorship. This was why journalists were not allowed to cover protests during apartheid. He learnt well from the Nats.
Xoli Mbatha,Apparently there were others hired without their matric qualifications ...he was initially head-hunted for a different lower level post "...as mentioned he was encouraged to pursue his metric qualification thereafter Matric I've obtained my 2nd matric certificate! Just by listening to this live-stream🤞 😵😵😵 @Oratile Masipa definitely...he was hired in the correct industry😂😂😂 "His experience thereafter may have qualified him for the COO position considering there are programs like the ""Recognition of Prior Learning"" offered by Unisa" """Recognition of Prior Learning"" recognizes one's working experience to beef-up one's qualification status." "Some people...""money likes them"" @Jabu Malinga correct! 😂😂😂 ...now the juicy part💃 True about local-content✌look at channel 157😂😂😂 @Shadrack Dichaba 💃💃💃
JS Bach,It is one thing not to have a formal qualification. Many people do not have the opportunity to attain one. But it is a different ball game to be a crook and a skelm. "He You people make my day with all your jokes about the curry......😂😂😂😂😂 I wonder what Judge Z is going to tell his wife about his day at work today..... @bonginkosi masiwa HE doesn't know himself! Why doesn't he wear his hat today? "@EDWARD LEGONG you are soooooo right!! Trump "@dino ceegage Well
sebatlelo michael,corporate governance paralysis at SABC under the watch of Ben Ngubani
