author,message
lucky Molepo,are we live thank u
Thabani Mthethwa,Yes Sir
Yusuf Towing yusuf,niyaxoka nina man
makhosi nobhatyi,Yes dear Live where is other people Sobulelo denial I think these people were trying to sobotage you chair Mabuza "Thapelo motabogi do you have evidence? If you know something go to the commission Thapelo motabogi you make me you know making too much noise here as I said go open a case this guy finds these things there done already so what sinne he did? "Mabuza is doing his job to save Eskom Listen carefully about this evidence "I am listening to the guy whose bringing changes at Eskom Let us appreciate black peoples who has successfully to their career such as this guy "@keith sindile am surprise people attacking Mabuza for what? He is no nonsense guy Ramaphosa is serving people of SA. By implementing Anc policy not like Zuma hides himself from our struggle to enrich himself "As ANC member I am not here to defend any corrupt officials  Anoj Singh That one is corrupt Anoj Singh Paul mufhadi not all Anc members were defending Nkandla only those who benefited from scandal and loyalty to Zuma. Zuma cabinet was full of his supporters and Nwc Niyakhathalisa nina maan shut up we are listening Nowonder what matshela koko did say after this evidence? He just appeared on criticism the board and executive of Eskom for load shedding which koko and others are there cause of this 😳😳 Ace Magashule is coming also he must account "😀😀😃😃 Ace Magashule is finish long time Koko in trouble hawks are looking for him @Thando Nkutha koko is a big liar they did load shedding in purpose "True we must all defend Ramaphosa 
Luleka Madikane,Lol🤣🤣🤣
Sharon Xibu,live
Zola Marali,Corrupt official must go to Jail it's high time that President to disbound all the boards in government they useless just money spenders through meeting. exactly Grant Wilkinson
Kisten Pillay,too long corruption is going on must lock all corrupt officials because in New Zealand if the officials used tax payers money to buy a cup of tea for a family member it is a big thing.
kabelo prince,ADV Maleka for President.....
Felix Muyoba,@kabelo prince rather for DCJ when zondo moves CJ level.. @Sthakathi Khumalo EFF has said all these but you people dont believe them.. @Sthakathi Khumalo i hear you.. @Thapelo Motabogi i hope all those issues will come out.. @Thapelo Motabogi he will try his best to protect his interests just board sitting fees..thats what these guys go for.. why are we just focusing on declarations? just say pathetic! they wanted double payments (normal salaries and board sitting fees)..greed! Am starting to like mabuza.. @Theo Bhengu no man "500 million is half a billion @Magda Seguin noone unless you want to jail everybody @Magda Seguin what insults? @Maria Raboshakga i agree now the email..
Thabang M,maleka is getting bored⚠️😂 😉Coffee please
