author,message
Bongani Mpapele,Awaiting in anticipation for the proceedings It's going to be a a short and long day at once "Yes it's worth watching Former mageza "That's just a background
Briony French,snap @bongani "South African qualifications are a joke
boitshepo thekisho,so waiting
Desmond Masilela,Here we go guys Gusy are we expecting any witness today? @Felix Muyoba. Thank you very much What bomb can we expect from Mabuza? Eeeeee Eeeeee Eeeee This man is going to give stories we dont want
Amanda Bentsile,Then the volume goes up @Bonke Dyan asoze uyibone keleyo abantu apha bathanda gqith uzisa into ezingangeniyo zujonge nangoku kuzobakhona udengana omathile ozomva sekethi EFF uzbuze ingenaphi kulento ithethwa apha Can someone tell the him to remove hand he is not mourning I think undivile Maleka Aka Judge Mutata
Timmy Avocado,Eskom testimony kuzoba lit outsourced staff to gupta call centers Bidvest everything!
Peet Venter,File you too
Thulani Bukani,This is gonna be madness Maleka is already drinking water. I think he is board chairman @felix Yes. @goolamv he resigned this morning? 😱👀 does that mean today is gonna be explosive?
Felix Muyoba,who is mabuza? @Thulani Bukani of eskom? thank you @goolamv @Dmitry Nikashin i have put my belt @goolamv for money laundering purposes..what else! @Desmond Masilela Mr Mabuza is on the witness stand already he is already forgetting his background.. drove taxis with a PhD? @Musa Bakiti please hahaha @Zama Kubheka why? and management "atatata mabuza was supposed to turn down eskom chairperson chairmanship.. @Fils de l'homme i dont have time to listen to your rumblings..i am listening to what is happening on the commission please.. mabuza is going to be exposed today..i can sense that.. @nichol shange this guys is trapped already @Phindulo Netshikulwe mabuza hides something in eskom saga..just follow the proceedings @Phindulo Netshikulwe are you not following the commission? but how can gvt recommend mabuza for a chairmanship of eskom when he has so many interests in eskom affairs? @Mfundo Veerasamy are you of indian decent? mabuza is becoming irritated just like manyi.. mabuza is starting to sound like mentor..lots of contradictions to himself..that will be suicidal @Fils de l'homme no man he is inconsistence @Ewald Kruger just useless recycling!! @Themba themba then vote for the change and not the same thing again and again.. @Mfundo Veerasamy he will be exposed now that his project is under microscope.. @Thando Nkutha no-one..what is your point? @Thando Nkutha apologies i meant @Mbuso Ntuli .. @Thando Nkutha thank you @Thando Nkutha apparently he resigned this morning according to @goolamv.. receipient giving a supplier a guarantee..that is the hallmark of brian.. @Mfundo Veerasamy i agree @Mfundo Veerasamy and a PhD holder dont forget! "@Mfundo Veerasamy with the cut and paste nowadays @Thando Nkutha ignore that fool @Christian W
Albert Noah,Fourth is mentioned twice
Blue moon Spring,I would like Qooma to come to this inquiry. He testified last year. hope i spelled his name correctly. Qooma testified against Lynn Brown at the time
