author,message
Dave van David,chair may I made a statement state capture started in Free state after A was made a premier he is going to throw someone under the bus🤞🏽 remember Ace daughter has a Construction company p
Musa Mabunda,There will be a great deal of amnesia today "@Connie Mose Pretorius is fine Hahahahahaha @Douglas Masuku @Connie Mose I understand Kate is on aviation stream but I so wish she can be given Brian Molefe and Anoj Singh The chap must be reminded that he's under oath Mokwena (HOD) is watching and he's like YOH BANNA!!! @Canis Africanis there are aircons and he will be there the whole day Where is Mosebenzi now? "Pretorius is fine @Lindani Moyo once 🤣🤣🤣
Jongi Cayalli,how long has this start?
mongezi xaba,let the game begin
Connie Mose,"I don't know I would like adv Kate here I am not dealing with operational issues woowu Musa I agree Kate must rest for big showdown I hope them Chair also to turn on the heat on zwane as I was told I don't know there we go as I was told I may not know the details I was told I was not aware whom did I asked ? throwing officials under the bus DCJ make the man comfortable to talk free and talk the truths not lies I was told I don't remember I presumed that DCJ doesn't understand I don't recall participating :elbowcough::elbowcough::elbowcough: I haven't read this provision chair amnesia now in full gear procurement policy of the minister I am not aware
Akhona Gala,His voice is gone already "Zwane is a fake heartless comrade :elbowcough::elbowcough::elbowcough: As I was told chair 😂 why didn't you go to those details? Hi Ace:goodvibes: @Thobani Mkandla lol Akhonamandla Gala not Gasa yes my friend lol @Thobani Mkananda sorry for spelling your surname Nkandla lol "lol SABC Live chat is very active today @abc Stripsils aka Medikeel 😂😂Zondo is in with a Vosho!!! "@Musa Mabunda 😆 he seems to forget that he's under oath look at the sign language lady when signing the Database:washhands: @Yolo More lol 😂let's see how long is he going to remember 😂Zwane uyaxoka yhooo mfondini 😂aai Zwane 😂Pretorious is wiser than him 😂getting edgy now
Lindani Moyo,Seems he already has a potato in his mouth Can someone prepare diapers for Zwane please @Thobani Mkananda He is going to need them ASAP @Thobani Mkananda I withdraw Honorable Chair. He can't even look at the Chair Hi ACE @Thobani Mkananda Please prepare diapers for Zwane. It's getting hot here Zwane is confident now. He can even look at the chair. Zwane has won the morning. We thought he was going to break. He has stood his ground unfortunately. Zwane has won the day "Stealing in the name of people Zondo is a bit polite when it comes to high ranking politicians
OS Muzik,"""If I know "I really want to see how the DCJ deals with him "The ANC takes the responsibility for honourable individuals in the organisation Too much alluding Mr.Z! "Everyone is at fault here! Starting with the human settlements minister down Companies have their own skeletons which they hide! Tired Mr. Zwane? Stop delaying and this could be over sooner! @Rox The commission needs to submit recommendations by end of March! I expect Zondo may ask for an extension. Then there will be a commission of enquiry into the Zondo Commission! "Shamilla Batohi needs to set up different investigative units
Maxwell Sibiya,"I'm trying to be like ' ahh He will probably suffer from amnesia all day long. but I'm excited his here I don't remember. It was not me. That's not True. etc.... Can someone give him a 2 litre of water. Eish... work work work. I'm gonna have to rewind this.
Douglas Masuku,"Mr. ""You will walk next to your shoes""." This will be a tough but to crack @Thabang I think Zwane is wrong to think he can hide behind the lower Officials. He is the political head who has oversight. He could have sought legal advice. @Mbuso We can still see his shoes😉😉 @ Keegan A LOOTER continua "@Mondli Abv. Pretorius has already emasculated Mr. Zwane. He made major concession this morning. It's going to be downhill from here. This man in now the one ""walking next to his shoes """ "Ace will come and do ""Quantity Easing"" with the commission" The witnesses looks like Duduzane. is he not?? There will be no further extensions to Zobdo @Thembisa. it will be down to the wire. Zondo will focus on the main looters to make the deadline Quite right Pula. SaPOona???
Mike Newlands,I cant lie I really did not think he would pitch up Amani suit BMWX5 and all - but there he is ! Can I greet all the liars & thieves watching at Lootfreely House - enjoy - although you have stolen SA blind & destroyed our SA😠 -at least we the poor have some satisfaction in watching you squirm😀 @Craig Johnson This guy one of ANS's top dog liars in parliament- lied when he said cabinet had approved comm of enquiry lied when he said did not Switzerland to do Gupta's bidding @Craig Johnson I agree he is fed up "ANC Liars in parliamnt Lynne Brown "@Carmen James ""not wait I did steal but apardhied made me do it""" @Craig Johnson 😀 "Its time these ANC thieves just said :yes I stole the peoples money  Is anybody at Lootfreely House watching this and saying where did we the once great ANC go wrong? Probably not! I wonder if the 100 subsitance farmers he cheated out of a trip to China for training in dairy farmers are watching? He took all his friends instead in thier place. Unbelievable If anybody wants to understand the corruption in the ANC NEC and Lootfreely Hse- buy ACE MAGASHULE THE GANGSTER STATE. book and be very scared @Canis Africanis more than we can afford! @teboho ramolotsi But crime does pay have you seen any of the thieves from the president downwards in jail? That is why our country is broke Zwana & friends are living proof Did he actually take the oath? @Elton Josea well he just has to lie his way thru this commission then his life goes on he knows nobody in the ANC go to jail sadly a minor inconveniance for this liar! "@MM G well it is - but at least we know why we are unemployed Who thinks the ANC will lose Joburg & Tswane next year? @a b c Fair coment but these a the metros and generally people are well informed. Not as the rural areas @Xolani J Masemula Mmmm I agree to apoint but the DA/EFF unseated them for a while a big no vote wpuld would put ANC out @Hlemphe Abiel Semelane well we keep voting them in so we only have ourselves to blame. @Rubin Naidoo he was very responsible he treated hinself to a maroon Masarati as a reward @Rubin Naidoo I am serious he had the same colour as Tony Yengeni - who was convicted of drunk driving (for the 3rd time) in CT in his Masarati. He had a wihite one before that -I think Ace's 2 sons have a least one Fararri between them! @Canis Africanis well that is there job- sadly its not broadcast on the TV channels thus the poor who really need to see the ANC thieves in action @Phillip Cwazibe I knew of one but of course they would have one each ! @Phillip Cwazibe wonder what all the ANC NEC members have hidden under tarpaulin in there garagaes "@Andre Ackerman The Hawks only arrest who the ANC tells to arrest @Precious Ntshangase exactly I remember when the ANC MP's clapped and shouted thier support when Zuma killed off the scorpions-they now new they could steal unhindered and they did "@Owen Nyilika well ""the ANC steals in billions not millions "" to quote thier own minister Gordhan" @Michael Wild 😂 i hope so but he knows no matter how guilty lootfreely house is behinf @Michael Wild behind him Ever wondered why every province is bankrupt & corrupt except the WESTERN Cape now we know why @Thulani Sokhela we expected the apardheid government to be thieves we did not well i did not expect the anc to be worst! @Ismail Petersen Hey Ismail dont send him to our prison we only take high class liars thieves & criminals this piece of crap needs to go to sewerage dept in Joburg and do time there. "@Mandla J Ngubeni & the money they steal goes to Cuba for holidays and europe giving emplyment to europeans who build tFararis
pula metsi,Douglas Masuku that must be the fist question Zondo o tshwarisa zwane Makaka so he didnt spell it HOW COULD HE NOT HAVE READ THE ACT BUT IT WAS WHAT HE WAS SUBJECTED TO WHEN OCCUPYING THE POSITION BECAUSE HE CAN SING WELL IN POLITICAL MEETINGS HOW WAS HE DEPLOYED TO THE POST IF HE DIDNT KNOW THE ACT VELE HAO CHAIR THIS GUY MUST TO THIS NONSENSE u see he knows a lot about PFMA 🤣🤣🤣🤣 lol graduation to provincial corruption 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 HE DID NOT KNOW IT EXISTED 🤣🤣🤣🤣🤣🤣🤣 lol ZWANE 🤣🤣🤣🤣 these people musty take regulation exams who's results that must be publicly published this is rubbish 🙉🙉🙉🙉🙉🙉🙉🙉 SHOCKING CHAIR VERY SHOCKING YOU GOT HIM YES YEBO YES he was there for exploitation of the PFMA what the heck every one must be tested for this syndrom """Zwanesyndrome""" """Zwanesyndrome""" he is stalling lol hes going to flop but how many houses lol Jesus on Christmas on Christmas sies maan wolawola DCJ DCJ is very practical.. that i love about him chronologically DCJ is 💪 he is going to need another personal break just 👀👀 Thobani Mkananda 😂 i think its strategic 🤣🤣🤣🤣 🤪 🤣🤣🤣 Mr Alluded Aka Alooted Zwane i like it lol Mr Alluded Aka I looted volume maan is the censorship here ? 😡 i dont like these cuts 😂 did you see it ? he froze ITS TIME FOR PAIN DELAY TACT BMN - NO ZUMA IS 🤣 BMN GENERALS 🤣🤣🤣 .lOL BMN that will be the beginning of another process. you know in SA its Process after process 🤣 After this commission all public representatives must not be affiliated to an party. 2. qualification 1st. 3 15years sentence for corruption compulsory 4 all gov employees I LOOTED Eddison Mhlongo ALL GOV employees mustbe audited 🤣🤣 hirsitus he stole ITS GETTING DEEP 💩 how they fail to spend in the first place whats wrong in this country that we cant get anything done. whats wrong they postpone services only to rush spend to steal money WWE ARE IN DEEP NOW lOL IS SCARED HE IS SO SCARED NOW Cerebis TRUE HE IS A lobster IN A CORRUPTION HOT Lourens Strydom educate the nation so they spent this money in 10 days Cerebis True Political Pressure here it comes he wants Allude why he Looted Look come on guys stop racism STOP RACISM lol last words. EDUCATE OTHERS ABOUT THE ISSUES IN THIS COUNTRY
