author,message
Desmond Masilela,Sound please SABC please help us with the sound The guy is talking as if his running for something @Felix Muyoba. 😂😂😂😂😂 The sound is better now from my side The guy dont even know what to say "All this corrupt ppl of Eskom @MIKE LOCK. They are all corrupt to the core. @MIKE LOCK. Now we keep on wasting time and money for this commission. Why cant they go straight to court and be prosecuted and send them to jail. This is just a wast. Here comes Gupta again Nothing surprised him. who can she ask because you sitting there No answer What is this guy position? @Musa Bakiti. 😂😂😂😂😂 @Tich Ziny. Because according to my understanding his answering question as if he was a jnr manager. and we dont need ppl like this. we wand the big fish. we want @Michael Michael. As if someone has threaten him if you says something against me! I will come after your family. @MIKE LOCK. We have 1 BIG fish of Bosasa. we are awaiting one from Eskom and very big one from Zupta brothers Slowly but surely we getting there. This guy looks scared really I wonder how old is he. I wish Adv Maseko was there to dig all that his hiding. The jail is waiting for him I wonder who did you block at this time They must strip all this ppl who looted our money. They must become hobos . 😂😂😂 you mean his wiping sweating ryt now?? @Yin Yang. Exactly 100% @Magda Seguin. My president keeper Who is this Mboweni? Is Tito Mboweni? He forgot that they asking question. LOL @Michael Michael... Noooo his not tired. This is another way of trying to dodge the answer. He think the chair will say you are now excuse. Jail can assist him to recall everything he forgotten. Guys can we expect another witness tomorrow?
welton paulse,Yor is this now a lip reading session? coz if it is .. i am sure this dude just said something a bout my momma
Masbu Mqu,Masbu Gebs
Musa Bakiti,i got sound Let bygone be bygone and start again with EFF .Please freedom fighter beware afrikaaners. We must start exporting our criminals to overseas like China export its criminals to Africa. Pastor Mboro told us on Sunday service that Eugene Terrebranch is missing in heaven. "I knew what was going on but 34% unemployment  BEE did not work but EFF is going to work @Christiaan Kleynhans There is sound in English not Afrikaans This guy was right empoly of Eskom till he met with the mighty Guptas This mama boy leave him alone .Go and get Jacob Mr Opperman could not recall but this one can recall things @Tich Ziny This guy is not the kind of leave South Africa and to enjoy himself somewhere.He is pure Africaaner .He holiday he goes to Orania Pure boer do aply for passport.They know that to go to Orania Republic you don't need passport. I for one i trust this Orania guy although i don't like him Mr Bester your wife is going to leave you now. @Johnny Cash EFF power do not worry about wild michael he won't bite you. "How can one pay with no job  Pastor Mboro pray for MR Bester EFF must come and clean up all old face in government @Derek Main I like the way u ask your questions @Derek Main you are the main man never aprologize
Susan Thirion,sound is a problem
Michael Michael,Sabc icu I think those young educated man and woman took advantage of the fact that.the former head of state cant clearly read and understand the writings.even if down on the line we need pardon him. Yin disagree we must forgive him Is this Yin oryt?? From prison they will re-collect everything He looked guilty But u can c he is not telling the whole story.bit of lies. Ewe Musa.he played a role. he must just tell the truth.by people like him whole country is suffering now. this guy I dont think he is stupid but act like one. Desmond no he is hiding something This lady also doing well.but Mr Maleka tooo bright.and I dont know were he comes from. Dont get him.now we must put word into his mouth Mr Agrizzi yes we give him our prayers I wish Koko can cam now Mr Majavu stop going to sheheen bcz millions coming on ur way here are criminals.we dont want to loose u. Even if u put this guy for ten days u will never ever get proper answers.he is a liar. Magda me and u suffer bcz of those 2.pure criminals.jail nothing else.Molefe wz my best on tv.not knowing wt is behind that chair.fool. Koko yes he think he is clever Magda I cant a Ford sorie Razor Koko head of Generation at eskom.acting CEO.he meshed up big time. Jonny chat with him no worked for eskom Mike yes they build it to better their life going will never change the situation we are in now.we have kids we must prepare this country for them ryt?? Magda bravo he is tired and boring in the dark Raz fine u are one of us.think no load shedding that side
Thapelo Motabogi,😂😂😂
Myka'Al Daud,Fearfontein is making this guy fearful "Rama was the chairman of MTN when Iran charged the company with corruption.....FNB IEC to investigate anc for bosasa election funding "prisoner of hope Truth shall set us free PG refuses to be cross examined by Moyane Is he hiding something or just enjoying his rights? Did we pardon apartheid agents ? "SA is a forgiving nation "We forgiven sellouts who wrote letters to SB "We gave apartheid killers 2nd chance forgave "Why divide the country Moeinie kwaat wies is reraag Derek yes lets uproot this corrupt practices but lets vote for justice n dignity for everyone "Ramaphosa didn't clean MTN He is capitalist in sabbathical leave While he sat as board member FNBSA charged blacks more interests for loans "While he sat in board of directors at Lonmin blacks stayed in shacks with no services those benefiting from this class apartheid will support Rama They protect their comfort zone "Reading bias information is useless "What stopped Ramaphosa from reading
Felix Muyoba,@Desmond Masilela perhaps the guy was warned that since you are leaving eskom and you know what is happening here if you ever expose us we will come for you where ever you are.. @Yin Yang i now agree with you on that @Yin Yang as soon as he discovered some anomalies at eskom he left..he is an honest citizen.. @Myka'Al Daud do you think investigation can yield anything? @Myka'Al Daud if the rural people were eating and drinking at an anc rally with that money from bosasa..do you think they understand that it was illegal? they dont.. @Nelson Musoliwa they knew..just ignorance..typical of african ruling parties attitude.. "@Yin Yang what homelands @Michael Michael imagine! hau wena kobus!!! kobus is still dreaming about those olden days when all privileges were on his side "but if he is lying he will be caught because other witnesses will come expose him..so "@Musa Bakiti yes
Zox Alexandreez,where is the sound?
