author,message
StarManRSA,Audio? No audio Who is the witness? Agreed. This isn't the best advocate on the team. ANC procured another R8mil jammer for R45mil 😉 Only a sound jammer To turn the sound on you must press alt + F4 😀 Alt + F4 for sound. @Moira T Hahahahahahahahah!!!! @Thelsa 😂 "@Mfundo Veerasamy hahaha...Close 😉 This lady and her filing. You can tell this guy is going to have a very bad memory Yussus my ears. "@Felix Muyoba thanks man Why do MPs not want McBride's contract renewed? "@Michael Michael @Moira T while i understand that "I know about the grabber Fmr Minister Siphiwe spilt mustard on his tie. @Moira T I just don't want to wait 3 years to find out 😞 "Yes @Moira T 😱🤣 "@King Vuka no "Yoh "Yes @Sherlock Bukuta Nkuna download tinder. Or even better - grindr 😀 @King Vuka 😂😂😂 @Suzanne Saunders he lost his cabinet position when Mbalula got his position through the guptas. Seems he might be disgruntled. @Sherlock Bukuta Nkuna no need to brag bruh. Fokulilela Mbolula "No guys @King Vuka you're wasting your time. Just block. "@Planeless Pilot yip
Chris Bard,​Audio?
Brenda Hughes,no sound!
M T,Suits me / With this Aunty 🤣 No “Men’s Shirt” today? Forget the chaps name who was so concerned about her attire 🤣 # SABCNews Wakey Wakey 😴😴😴 #Dylan 😬 Who’s that in the Hot Seat please? "Dylan 🤣🤣🤣 On cellphone #Michael 👍🏻 Ta #Thelsa - Not an impossibility 😉 Live Chat vs Lip Reading 🧐 👋🏻 Minister of Communications? OMFffffloppy hat 😱😱😱 How do these individuals get elected? Other than being Cadres? 🤨 🤡 #Dylan 🎯🎯🎯 No wax left in my ears - fo sho 😳 "Don’t think he’s slept it off #goolamv - Nah men - don’t do thet theng mahn - I didn’t recognaaz you! 🤪 😬 Orrdaa 🤡 #Dylan - So that they may continue - unabated - me thinks. #Michael 🎯 "#Dylan Totally agree 😉 "They made him remove his tie - in case he ducks to the bathroom King Vuka - He was in Automatic 😬 The chick talking now - Sherlock 🤣 Info overload 🤦🏼‍♀️ I think he’s still busy digging “his plot” #Suzanne Suzanne - They didn’t build - the broke it FUp 😱 John 🤣 Whatya have with that 🍺? #King - You’re wasting your time - Fils lift doesn’t go to the top floor! #Suzanne - Easy - No integrity or conscience. Whip Fils away 👏🏻 Cheers King Also a toppie 🤗 Lala Bwah ha 🤡 Minister of Communications? 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ John - where do you reside now? Not still in SA? Psy - they want them to remain uneducated - none so blind. "Eish - I was “trying” to work - What’s happened "John - agree - Has Squirrel been mentioned Parliament is an embarrassing disgrace - NEC must go - The “Prison Building” must be cleared to make space! "John I don’t see “Erections” taking place on 8th May! Yeah Michael 🤣🤣👍🏻👏🏻 "We live in hope! EksDom I will NEVER vote for Cyril - EVER! Billionaire in a matter of a decade - and certainly not due to business acumen 🤮 NEC must ALL be kitted in Orange - why do you think they’ve stuck together?
Thabang M,sound please!!! will those implicated canp8 Will those ANC members implicated in this commission campaign for ANC in this coming elections?
Johan Van de merwe,sound ?
0Sweetgal0,no sound SABC PLEASE SOUND
wendy hardy,"Sound What is wrong with you sabc.....fix the sound!
Felix Muyoba,sound the gentleman seems to be a tired man from his looks @welton paulse perhaps she has improved now.. @psyfrequency Techno he is just tired..these guys should move out and leave these things for the youth @psyfrequency Techno agree @Moira T hahaha @Dylan Burden adjust the volume below 10 db but why did he agree to go to saxonworld then if he was upset about the news the guptas? if mbalula was clean he should have refused to be called to the gupta residences but the fact that he agreed to go there then he was part of the guptas @King Vuka very boring testimony personally @Dylan Burden yessss @King Vuka true..at that age you know a lot already.. @Suzanne Saunders hahaha @John James mbalula not mbulula @John James no man..are you a true african? @John James no man Pietersburg English Medium Primary School? @John James but your grammatical errors say otherwise.. guys the real stories are coming up now nyanda refused to tow the line integrity perhaps @Eslon Eslon just served for 18 months! poor him! @Sofia Sofia true..if you dont tow the line you bite the dust of unemployment @Sofia Sofia yeah @Paul Mufhadi imagine!! let us pray for mbalula to come to the commission please @John James first he should come to the commission and tell us everything and then he can GO! @Minah Makota agree @makhosi nobhatyi i agree @Frank Kgwedi agree @Fils de l'homme i support that name eish @Fils de l'homme redeployment
Big vinny,in comes General Sphiwe Nyanda
Viktombi,No Sound?????
Lucky123 Thwala,sound mani sabc who's grandfather is this? spill the beans Baba we are tired of history. Razz Matazz Michael Masutha= Gavin Watson. what is the deferent between crying load and tears.
John Lepota,I thought it's my pc
PETER STAFFEN,sound please
Caweni Dombo,No sound whatapp? alt f4 se dinges
Sipho Mnyakeni,"PLEASE DONT PLRESS AL f4
Cassius Mngomezulu,SOUND PLEASE
Lizette van Greunen,sound please?
