author,message
Tamiranashe Saruchera,4
Just Saying,"please investigate the hair dresser or saloon
bongile sango,chris haybo
Mbuso Ndlovu,Zondo is delaying things what security reasons?????? "Its not sound
Thulani Bukani,SOUND IS BAD
Ghost Mapetla,yes he must read yes Mbuso what reason
Barbara Sattler,sound is always bad The lawyer is very unsure of himself
peter sikoshule,this guy is not prepared
Renee L,He has a stutter
Tumelo Mokhele,this lawyer is wasting commission's resources I think the stage is too big for him the lawyer who started with this investigation then should've been given opportunity to lead this evidence disorganized and unplanned
Hlalanathi Mbimbi,What is the lawyer even doing here? "Also what is in question here Yhooooo yhooo
Joshua Borias,""" DE PENAL CODE MUST B REVIEWED!ONUS OF PROOF ON DE 'SUSPECT' BEYOND REASONABLE DOUBT""!!!!"
Abel Matshidiso,"mrng mrng "what's d point of all these questions oh finally the comedy is over 😄😄😄 the lawyer can't read the word ceiling kkkk didn't he say he's done with the witness no wonder Lucky Montana attacked the chair last week on the newspaper
super.chanal Shafeeq ah,nise
Maryann Diamond,🙄🙄🙄💣 wow 🙄💥 true it's only entertainment 😂😂😂😂💥@ Elizabeth
Felly,Where is Advocate Pretorius who started with the BOSASA matter? 🙄 Does the Witness understands English?
Earl Breezy Baartman,why is pops battling to speak? this lawyer is unprepared ... his a comedian lol TREEE
Abdul Kader S,there seen to be no hurry this morning pace too pedestrian looks like chit chat between Zondo and laywer
Edwin Sphamandla,when are we going to see the results?
Zaku Zaku,this is just umgosi nothing will happen in the end yep
Elizabeth van Niekerk,its like watching paint drying .... the longer it take the more taxpayers money is being spend with no convictions in the end ....
Rido Patronel,Are these people getting arrested?
Michelle Wright,Can somebody please help him.. he is really lost Why is the amount of garages so important?? I bet you all there will be no prosecutions. This is just entertainment for the sake of.
Jack R,"he is nervous and an ordinary guy "this will be a waste because de because the defense can't use it
Bonelela Mgudlwa,This is such a waste of time and money..... Judge Zondo has lost the plot shem. The theme of the commission is ‘state capture’......how in the world is any of this relevant in light of the theme? Where is the link to state capture?
Rory Lee Farnham,"I think the whitey has been captured and is gonna take the wrap for all the thieves. Watch this space
funicanz,Mr Gingcana must vome through.
Alvino Theunissen,the lead not given 14days to witnesses notification now judge telling the lead what to do poor! no sitting tomorrow!
